fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,180000.0,-3488000,2005-11-09,-4.8,-5.87,640518,-3168000,415000,-5.445592473591686,-3583000
2005-12-31,117000.0,-4142000,2006-02-08,-6.4,-6.4,641756,-3286000,104000,-6.454166380992152,-3390000
2006-03-31,238000.0,-4549000,2006-05-10,-6.4,-6.93,643956,-3857000,62000,-7.064147239873532,-3919000
2006-06-30,328000.0,-4296000,2006-09-13,-6.4,-5.87,744856,-3207000,208000,-5.767557756130044,-3415000
2006-09-30,104000.0,-4057000,2006-11-09,-4.8,-6.4,744856,-4077000,110000,-5.446690366997111,-4187000
2006-12-31,158000.0,-4225000,2007-02-07,-6.4,-6.4,746975,-3037000,156000,-5.6561464573780915,-3193000
2007-03-31,258000.0,-4483000,2007-05-08,-6.4,-6.4,747750,-3792000,212000,-5.995319291206954,-4004000
2007-06-30,165000.0,-4829000,2007-09-10,-6.4,-6.4,753793,-3920000,586000,-6.406268033797077,-4506000
2007-09-30,87000.0,-5050000,2007-11-09,-6.4,-6.4,753793,-5126000,121000,-6.6994519715624845,-5247000
2007-12-31,84000.0,-5172000,2008-02-08,-6.4,-6.4,815418,-5706000,42000,-6.342759173822506,-5748000
2008-03-31,202000.0,-5048000,2008-05-12,-6.4,-6.93,829493,-4483000,38000,-6.085645086818093,-4521000
2008-06-30,149000.0,-4863000,2008-08-29,-6.4,-6.4,829975,-4212000,14000,-5.859212626886352,-4226000
2008-09-30,27000.0,-3913000,2008-11-07,-4.7146,,829975,-3748000,4000,-4.714599837344498,-3752000
2008-12-31,28000.0,-4103000,2009-02-06,-4.8782,,841093,-3341000,24000,-4.878176372886233,-3365000
2009-03-31,58000.0,-3972000,2009-05-08,-4.3346,,841050,-3497000,6000,-4.72266809345461,-3503000
2009-06-30,69000.0,-3958000,2009-09-15,-3.2,,1033956,-3219000,1000,-3.8280158923590557,-3220000
2009-09-30,73000.0,-3801000,2009-11-06,-3.6762,,1033950,-3840000,54000,-3.676193239518352,-3894000
2009-12-31,16000.0,-4575000,2010-02-10,-4.214,,1085668,-3366000,2000,-4.2139954387529155,-3368000
2010-03-31,16000.0,-4238000,2010-05-10,-0.3963,,1336850,-4224000,47000,-3.1701387590230765,-4271000
