fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-03-31,638957289.0,-54178652.92,2012-05-15,-0.0337,,516447160,,,-0.10490647856404128,
2012-06-30,860886731.0,-36779993.14,2012-08-09,-0.01,-0.02,505692825,,,-0.07273188647673615,
2012-09-30,980064920.0,-9150692.89,2012-11-13,-0.0029,-0.01,505699005,,,-0.018095137224958553,
2012-12-31,1870212139.0,39634257.0,2013-02-21,0.02,0.01,525144775,111569000.0,12379000.0,0.075473010276071,99190000.0
2013-03-31,1931476856.0,36316675.0,2013-05-14,0.02,0.01,545664850,,0.0,0.0665549100331458,
2013-06-30,2165511814.0,55684736.0,2013-08-14,0.02,0.02,580367350,,0.0,0.09594739607595086,
2013-09-30,2353031301.0,73752947.0,2013-11-11,0.03,0.02,502166115,,0.0,0.14686962102172108,
2013-12-31,3945314949.19,153921793.47,2014-03-03,0.05,0.04,588343080,437082000.0,22249000.0,0.26161911085960254,414833000.0
2014-03-31,4355470147.0,165016166.0,2014-05-14,0.06,0.05,595804855,,0.0,0.2769634463619804,
2014-06-30,5159845175.0,164147687.0,2014-08-13,0.07,0.06,597138175,,0.0,0.2748906264450435,
2014-09-30,5428556024.0,170340365.0,2014-11-18,0.08,0.07,597102980,,0.0,0.28527803528965806,
2014-12-31,8434065975.0,350992605.0,2015-02-16,0.12,0.09,598878670,505660000.0,256026000.0,0.5860829957426936,249634000.0
2015-03-31,8612699000.0,367509000.0,2015-05-13,0.13,0.1,597702935,,0.0,0.6148689900610911,
2015-06-30,9018122000.0,399291000.0,2015-08-10,0.14,0.12,601002280,,0.0,0.6643751834019664,
2015-09-30,8671245000.0,316698000.0,2015-11-17,0.76,0.79,599346325,,0.0,0.528405675967063,
2015-12-31,13901146000.0,506166000.0,2016-02-24,1.18,1.06,628282950,295638000.0,337031000.0,0.8056338310628993,-41393000.0
2016-03-31,12169094000.0,474568000.0,2016-05-17,1.04,0.98,621386550,,0.0,0.7637242872411706,
2016-06-30,13439698000.0,451605000.0,2016-08-15,1.12,0.99,622778105,,0.0,0.7251459169393889,
2016-09-30,12002324000.0,342861000.0,2016-11-21,1.0,0.99,593638380,,0.0,0.577558681431615,
2016-12-31,18980186000.0,767783000.0,2017-02-20,1.58,1.44,626846985,407808000.0,283400000.0,1.2248332023165112,124408000.0
2017-03-31,15952945000.0,551917000.0,2017-05-15,1.31,1.23,625339080,,0.0,0.8825883710962059,
2017-06-30,17516579000.0,386483000.0,2017-08-16,1.18,1.28,629352490,,0.0,0.6140962435852125,
2017-09-30,15313157000.0,338055000.0,2017-11-20,0.91,0.92,627678470,,0.0,0.5385798878843175,
2017-12-31,24129632000.0,673200000.0,2018-02-12,1.41,1.29,630538705,150816000.0,337791000.0,1.067658487356458,-186975000.0
2018-03-31,19870628000.0,529728000.0,2018-05-14,1.05,1.11,702451555,0.0,0.0,0.7541132142557504,0.0
2018-06-30,20738375000.0,681644000.0,2018-08-13,0.84,0.96,701354975,0.0,0.0,0.9718958648578774,0.0
2018-09-30,17831584000.0,228748000.0,2018-11-14,0.75,0.6,668551200,0.0,0.0,0.3421547968203482,0.0
2018-12-31,26083362000.0,688667000.0,2019-02-20,1.33,1.2,700413485,0.0,0.0,0.9832292135266356,0.0
2019-03-31,21318616000.0,872282000.0,2019-05-22,1.19,1.05,696453495,0.0,0.0,1.2524626644310257,0.0
2019-06-30,22743718000.0,813518000.0,2019-08-14,1.58,1.01,673241465,0.0,0.0,1.208359915858718,0.0
2019-09-30,19612980000.0,875474000.0,2019-11-13,1.78,1.17,675289380,0.0,0.0,1.2964427191199126,0.0
2019-12-31,29319104000.0,1455558000.0,2020-03-05,2.84,2.17,679882040,0.0,0.0,2.140897853398216,0.0
2020-03-31,18792855000.0,684825000.0,2020-05-27,1.44,0.76,684546210,,0.0,1.000407262498758,
2020-06-30,24110667000.0,1536920000.0,2020-08-19,1.92,1.97,686613335,,0.0,2.2384068611192935,
2020-09-30,23180026000.0,1244399000.0,2020-11-13,2.01,1.74,690834625,,0.0,1.8012979589724532,
2020-12-31,35774941000.0,2440813000.0,2021-02-25,3.7,3.15,696098755,,0.0,3.506417706493384,
2021-03-31,28398497000.0,1545470000.0,2021-05-19,2.41,2.31,709213000,,0.0,2.1791337722235773,
2021-06-30,29607702000.0,1092482000.0,2021-08-18,2.1,2.37,701295575,,0.0,1.5578053519017285,
2021-09-30,24921806000.0,628351000.0,2021-11-18,1.5,1.59,684019890,,0.0,0.9186151005053377,
2021-12-31,34131673000.0,1414769000.0,2022-02-23,2.64,2.09,683157800,,0.0,2.070925633872584,
2022-03-31,25244518000.0,1095663000.0,2022-05-19,2.09,1.93,680268635,,0.0,1.6106328347771024,
2022-06-30,24535254000.0,1282890000.0,2022-08-19,2.45,1.43,649671995,,0.0,1.9746733888383168,
2022-09-30,21614957000.0,1686500000.0,2022-11-22,2.56,1.69,623699625,,0.0,2.7040259964882933,
2022-12-31,31757760000.0,2233762000.0,2023-02-23,3.65,3.25,610448180,,0.0,3.659216413750304,
2023-03-31,27536383000.0,1858731000.0,2023-05-23,3.52,2.61,588062755,,0.0,3.1607698059367832,
2023-06-30,27879300000.0,2097454000.0,2023-08-18,4.3,3.2,559098330,,0.0,3.751493945617759,
2023-09-30,22765861000.0,1208292000.0,2023-11-14,3.34,2.86,552080770,,0.0,2.1886145391370904,
2023-12-31,27645881000.0,2316709000.0,2024-02-28,5.79,5.08,554564765,,0.0,4.17752649683757,
2024-03-31,27645881000.0,2316709000.0,2024-05-22,4.66,2.8,554564765,,0.0,4.17752649683757,
2024-06-30,26875168000.0,1931207000.0,2024-08-20,3.91,3.92,553677165,,0.0,3.487965771534031,
2024-09-30,20675941000.0,1045339000.0,2024-11-19,2.47,2.3,553677165,,0.0,1.887993701166997,
2024-12-31,33223841999.0,2446679000.0,2025-02-21,5.7,5.39,521501400,,0.0,4.691605813522265,
2025-03-31,26268543000.0,1942845000.0,2025-05-20,4.43,4.33,521576000,,0.0,3.724950917987024,
2025-06-30,25806360000.0,1489749000.0,2025-08-14,4.06,3.98,511765820,,0.0,2.910997455828527,
2025-09-30,21370865000.0,1220677000.0,2025-11-18,2.98,2.9,504590640,,0.0,2.4191431692034557,
