fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,656955000,38742000,2005-11-01,0.19,0.76,146663869,182397000,414482000,0.2641550387573643,-232085000
2005-12-31,697219000,119961000,2006-02-28,0.42,0.42,151919093,259828000,236489000,0.7896374157526073,23339000
2006-03-31,647601000,149212000,2006-05-02,0.91,0.87,151919093,190469000,176050000,0.9821806927191172,14419000
2006-06-30,663032000,163169000,2006-08-01,0.99,0.53,157965710,168772000,161593000,1.0329393638657403,7179000
2006-09-30,678474000,127983000,2006-10-31,0.66,0.73,153073549,127597000,425170000,0.8360882780603721,-297573000
2006-12-31,723252000,119776000,2007-02-27,0.69,0.71,167254391,337830000,957832000,0.7161306754571245,-620002000
2007-03-31,737056000,166931000,2007-05-01,1.02,1.02,167254391,81263000,966296000,0.9980664722877141,-885033000
2007-06-30,793457000,165920000,2007-07-31,0.96,0.9,167499152,218175000,1836049000,0.9905721791355696,-1617874000
2007-09-30,853036000,130841000,2007-10-30,0.8,0.58,161657522,187655000,314147000,0.8093715552561792,-126492000
2007-12-31,591558000,171996000,2008-02-26,0.57,0.54,166629231,210232000,3116492000,1.0322078483336457,-2906260000
2008-03-31,652521000,412197000,2008-05-05,2.47,2.1,169558204,221575000,57471000,2.4310059335141343,164104000
2008-06-30,674365000,139660000,2008-08-05,0.79,0.48,164791673,231941000,40557000,0.8474942784275271,191384000
2008-09-30,677145000,45701000,2008-11-04,0.2,0.32,165135955,194093000,182990000,0.27674772583596347,11103000
2008-12-31,696259000,-202515000,2009-02-24,-1.4,-0.13,162440757,170203000,576455000,-1.2467006663850995,-406252000
2009-03-31,682014000,140110000,2009-05-05,0.79,0.8,157103000,169812000,171445000,0.8918352927697116,-1633000
2009-06-30,678385000,-37635000,2009-08-04,-0.3,0.1,171530000,209627000,180429000,-0.21940768378709263,29198000
2009-09-30,671219000,140617000,2009-11-03,0.69,0.26,180977000,110048000,178762000,0.7769882360741973,-68714000
2009-12-31,719003000,-136923000,2010-02-23,-0.84,,183445000,144092000,151238000,-0.7463981029736433,-7146000
2010-03-31,696331000,214552000,2010-05-04,1.0919,,183445000,288048000,67845000,1.1695712611409415,220203000
2010-06-30,696105000,72106000,2010-08-03,0.32,0.31,183644000,244317000,69579000,0.3926401080351114,174738000
2010-09-30,707032000,104252000,2010-11-02,0.52,0.43,184168000,62356000,48236000,0.5660701098996568,14120000
2010-12-31,680259000,256973000,2011-02-23,1.27,0.36,191529000,176365000,289322000,1.341692380788288,-112957000
2011-03-31,737111000,412663000,2011-05-03,1.38,1.13,191529000,196102000,41275000,2.15457189250714,154827000
2011-06-30,730151000,108581000,2011-08-01,0.49,0.39,186144000,63938000,78158000,0.5833172167784081,-14220000
2011-09-30,727343000,53762000,2011-11-03,0.27,0.37,186065000,306631000,43346000,0.2889420363851342,263285000
2011-12-31,741815000,87296000,2012-02-27,0.37,0.44,191886000,135828000,186825000,0.4549367853829878,-50997000
2012-03-31,727466000,251522000,2012-05-07,0.97,0.89,191886000,307103000,64666000,1.310788697455781,242437000
2012-06-30,700591000,38297000,2012-08-06,0.05,0.35,186342000,-43239000,76771000,0.20551995792682273,-120010000
2012-09-30,710977000,241306000,2012-11-01,0.45,0.39,186655000,246782000,103125000,1.292791513755324,143657000
2012-12-31,687970000,86135000,2013-02-26,0.11,0.31,187529000,314403000,244562000,0.45931562584986857,69841000
2013-03-31,721016000,262922000,2013-05-06,0.61,0.95,187529000,414927000,412119000,1.4020338187693637,2808000
2013-06-30,685858000,158194000,2013-08-05,0.46,0.4,187720000,29873000,265437000,0.8427125506072874,-235564000
2013-09-30,683380000,103374000,2013-11-04,0.44,0.31,187724000,344792000,49698000,0.550670132748077,295094000
2013-12-31,674531000,-48519000,2014-02-24,-0.37,-0.44,188240000,251197000,419102000,-0.2577507437314067,-167905000
2014-03-31,660618000,82717000,2014-05-05,0.33,0.56,188240000,309131000,23486000,0.4394230769230769,285645000
2014-06-30,666606000,97008000,2014-08-04,0.41,0.31,188617000,138512000,180171000,0.5143120715524051,-41659000
2014-09-30,670909000,151524000,2014-11-03,0.69,0.5,188812000,380926000,96631000,0.8025125521682944,284295000
2014-12-31,638238000,533603000,2015-02-17,2.72,0.45,189336000,306741000,345683000,2.8182860100561964,-38942000
2015-03-31,606802000,104077000,2015-05-04,0.45,0.62,189336000,194516000,142329000,0.5496947226095407,52187000
2015-06-30,616288000,186016000,2015-08-03,0.87,0.49,189600000,-9900000,527103000,0.9810970464135021,-537003000
2015-09-30,627596000,219234000,2015-11-02,1.05,0.52,189581000,258909000,175372000,1.1564133536588581,83537000
2015-12-31,651581000,251107000,2016-02-16,1.22,0.39,188658000,228625000,136998000,1.3310169725111047,91627000
2016-03-31,613037000,-93799000,2016-05-02,-0.61,0.48,188658000,276645000,202597000,-0.49719068367098135,74048000
2016-06-30,621708000,240826000,2016-08-01,1.16,0.37,189885000,46648000,203440000,1.2682729020196435,-156792000
2016-09-30,633197000,92580000,2016-10-31,0.35,0.37,190048000,250954000,233342000,0.48714009092439803,17612000
2016-12-31,638260000,667310000,2017-02-13,3.43,0.49,190372000,426420000,360846000,3.5052948963082806,65574000
2017-03-31,620848000,63881000,2017-05-01,0.25,0.49,190372000,301285000,360846000,0.3355588006639632,-59561000
2017-06-30,626039000,132101000,2017-07-31,0.61,0.47,190444000,14932000,175764000,0.6936474764235155,-160832000
2017-09-30,528755000,-12898000,2017-10-30,0.25,0.09,190847000,345408000,147428000,-0.06758293292532762,197980000
2017-12-31,536226000,44332000,2018-02-12,0.34,0.27,198233333,198517000,163451000,0.2236354468196325,35066000
2018-03-31,536437000,9680000,2018-04-30,0.3,-0.04,198233333,265418000,185187000,0.04883134361666612,80231000
2018-06-30,541818000,124068000,2018-07-30,0.36,0.39,192300000,-24158000,125053000,0.6451794071762871,-149211000
2018-09-30,542048000,203179000,2018-10-29,0.35,0.37,190645000,246778000,407947000,1.0657452332869994,-161169000
2018-12-31,543417000,113027000,2019-02-11,0.34,0.3,189611321,314603000,149515000,0.596098373261162,165088000
2019-03-31,534668000,194022000,2019-04-29,0.13,0.28,190996000,64118000,123533000,1.015843263733272,-59415000
2019-06-30,463103000,2412727000,2019-07-29,0.22,0.23,191058000,228734000,82250000,12.628243779375897,146484000
2019-09-30,465961000,335438000,2019-10-28,1.69,0.74,191024000,105119000,146428000,1.7559992461680207,-41309000
2019-12-31,460968000,205750000,2020-02-18,1.01,0.87,191303960,264568000,86724000,1.0755135439956391,177844000
2020-03-31,444532000,17494000,2020-05-04,0.03,0.15,191113000,51448000,98794000,0.09153746736224119,-47346000
2020-06-30,343026000,-185220000,2020-08-03,-1.03,0.4,191104000,216267000,84213000,-0.9692104822505023,132054000
2020-09-30,363962000,65700000,2020-11-02,0.28,0.6,191162000,-76355000,94121000,0.34368755296554754,-170476000
