fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2013-03-31,350730000,40380000,2013-03-31,0.8352,,36378378,17877000,19445000,1.1100000115453197,-1568000
2013-06-30,359547000,26886000,2013-08-28,0.753,,36576285,36413000,179532000,0.735066450843764,-143119000
2013-09-30,378630000,110606000,2013-11-27,0.7613,,36746191,96063000,160027000,3.00999904996956,-63964000
2013-12-31,373564000,18927000,2014-03-17,0.27,0.5,36653302,4823000,186489000,0.5163791245874656,-181666000
2014-03-31,404585000,30318000,2014-05-06,0.66,0.41,36609840,9678000,18751000,0.8281380087976348,-9073000
2014-06-30,437335000,44109000,2014-08-05,0.99,0.9,35865906,37345000,200447000,1.2298309151872533,-163102000
2014-09-30,440458000,26082000,2014-11-04,1.02,1.1,35728816,63822000,101672000,0.7299990013662921,-37850000
2014-12-31,430318000,-968000,2015-03-10,0.48,0.72,35373389,61243000,197166000,-0.027365203825960808,-135923000
2015-03-31,418876000,15077000,2015-05-05,-0.06,0.32,35177157,6788000,8866000,0.42860200442008434,-2078000
2015-06-30,440111000,-3257000,2015-08-04,0.6,0.28,34830129,15937000,67777000,-0.09351099446114598,-51840000
2015-09-30,419011000,-47132000,2015-11-04,0.12,0.57,34921905,42323000,79212000,-1.3496400038886767,-36889000
2015-12-31,395157000,3202000,2016-02-25,0.12,0.06,34985116,-2576000,196376000,0.09152463579083174,-198952000
2016-03-31,375268000,-25255000,2016-05-03,-1.05,-0.16,35076388,14793000,2145000,-0.7200000182458923,12648000
2016-06-30,356184000,-40772000,2016-08-02,-0.63,-0.57,34990136,-14828000,21063000,-1.1652426843953965,-35891000
2016-09-30,343662000,-29797000,2016-11-01,-0.09,-0.57,35070047,43623000,80803000,-0.8496424313317857,-37180000
2016-12-31,324353000,-21927000,2017-03-08,-0.81,-0.66,35098597,-42893000,17860000,-0.6247258259354356,-60753000
2017-03-31,323651000,-78040000,2017-05-02,-0.81,-0.75,35153153,4253000,1005000,-2.220000009671963,3248000
2017-06-30,339729000,-55275000,2017-08-08,-0.3,-0.48,35227434,-51179000,12553000,-1.56908959080017,-63732000
2017-09-30,357992000,-31209000,2017-11-09,-0.9,-0.51,35317962,15845000,11764000,-0.8836580094853718,4081000
2017-12-31,345528000,-8273000,2018-03-08,-0.87,-0.69,35408550,26027000,12124000,-0.23364413397329176,13903000
2018-03-31,330188000,-99927000,2018-05-01,-0.18,-0.57,35528521,-1030000,3784000,-2.8125854155313696,-4814000
2018-06-30,349761000,-31864000,2018-08-07,-1.47,-0.33,35629743,-44119000,8895000,-0.8943090046986867,-53014000
2018-09-30,333397000,-143947000,2018-11-06,-0.3,-0.6,35768232,17217000,8407000,-4.024437103852379,8810000
2018-12-31,315620000,-85700000,2019-03-07,-0.69,-0.06,35796880,-42000000,16409000,-2.3940633932342705,-58409000
2019-03-31,309129000,-75336000,2019-05-07,-0.84,-0.48,35825528,2635000,1312000,-2.1028580513872677,1323000
2019-06-30,316576000,-169246000,2019-07-30,0.75,-0.54,35918920,-36762000,7439000,-4.711890001147028,-44201000
2019-09-30,304684000,-162974000,2019-11-05,-0.27,-0.27,35918916,-20403000,18511000,-4.53727501130602,-38914000
2019-12-31,294981000,-656706000,2020-03-05,-0.09,0.18,34645417,7706000,47766000,-18.95506121343553,-40060000
2020-03-31,274403000,291740000,2020-05-05,-0.18,-0.27,39643421,-2132000,400000,7.359102535575827,-2532000
2020-06-30,261507999,71477000,2020-08-06,0.68,-0.17,39643421,-6866000,2849000,1.8029977786225866,-9715000
2020-09-30,295722000,-27861000,2020-11-04,0.18,0.54,29357959,41857000,4523000,-0.9490101134074068,37334000
2020-12-31,300275000,-57121000,2021-02-02,0.08,0.43,28944908,25078000,3860000,-1.9734386441995255,21218000
2021-03-31,281519000,-42588000,2021-05-27,0.44,0.39,28946945,36776000,3612000,-1.471243338459378,33164000
2021-06-30,300602000,-14197000,2021-08-04,0.4,0.37,28669000,36441000,2968000,-0.4952038787540549,33473000
2021-09-30,301584000,2775000,2021-11-03,0.08,0.38,28684660,36753000,14338000,0.09674160335175665,22415000
2021-12-31,295619000,-56000,2022-02-03,0.19,0.41,28214650,45083000,5920000,-0.0019847845002507565,39163000
2022-03-31,275582000,-4313000,2022-05-31,0.2,0.56,28222000,5577000,7842000,-0.15282403798455105,-2265000
2022-06-30,294148000,3987000,2022-08-04,0.48,0.42,28912000,22750000,9046000,0.1379012174875484,13704000
2022-09-30,299391000,16518000,2022-11-02,0.75,0.45,28405000,-17570000,9018000,0.5815173384967436,-26588000
2022-12-31,304341000,-6977000,2023-03-08,0.28,0.35,28009000,-18779000,31510000,-0.2490985040522689,-50289000
2023-03-31,292931000,-1522000,2023-05-03,0.2,0.56,27983000,6615000,31537000,-0.054390165457599254,-24922000
2023-06-30,311522000,-1637000,2023-08-02,0.32,0.27,28058000,18210000,12227000,-0.058343431463397245,5983000
2023-09-30,330252000,4317000,2023-11-01,0.41,0.63,28959000,16711000,18373000,0.1490728271003833,-1662000
2023-12-31,362724000,-7938000,2024-03-05,-0.07,0.54,28289000,-9499000,19370000,-0.2806037682491428,-28869000
2024-03-31,337094000,6605000,2024-05-07,0.39,0.39,29239000,26679000,64562000,0.2258969184992647,-37883000
2024-06-30,359749000,28157000,2024-08-06,1.81,0.56,29462000,33665000,50354000,0.9557056547417012,-16689000
2024-09-30,356426000,28242000,2024-11-05,0.95,0.58,29719000,66022000,56987000,0.9503011541438138,9035000
2024-12-31,377215000,31793000,2025-02-26,1.07,0.61,29796000,51054000,83490000,1.06702241911666,-32436000
2025-03-31,350530000,27359000,2025-05-07,0.92,0.62,29867000,-603000,52060000,0.9160277229048783,-52663000
2025-06-30,376429000,31748000,2025-08-06,1.07,0.77,29788000,99039000,31617000,1.0657983080435074,67422000
2025-09-30,386289000,51544000,2025-11-04,1.72,0.95,29932000,23057000,29216000,1.7220366163303489,-6159000
