fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2012-12-31,225056000,-32643000,2013-02-27,-0.01,0.13,218896000,-10982000,200390000,-0.14912561216285358,-211372000
2013-03-31,229747000,32315000,2013-05-06,0.15,0.13,218896000,129161000,166463000,0.14762718368540312,-37302000
2013-06-30,255126000,34711000,2013-07-31,0.16,0.13,218896000,33251000,173293000,0.1585730209779987,-140042000
2013-09-30,278001000,44338000,2013-11-06,0.2,0.16,218896000,123659000,129922000,0.20255281046707113,-6263000
2013-12-31,290621000,48801000,2014-02-28,0.22,0.18,218903000,126229000,176793000,0.2229343590540102,-50564000
2014-03-31,279457000,49541000,2014-05-07,0.23,0.21,218903000,122484000,189327000,0.22631485178366673,-66843000
2014-06-30,329944000,55254000,2014-08-06,0.25,0.24,218903000,139649000,171282000,0.2524131693032987,-31633000
2014-09-30,326465000,59952000,2014-10-28,0.27,0.27,218903000,139085000,131678000,0.2738747299031991,7407000
2014-12-31,337897000,57164000,2015-02-18,0.26,0.26,218910000,129756000,180717000,0.2611301448083687,-50961000
2015-03-31,375094000,57029000,2015-05-06,0.25,0.26,218910000,155455000,200940000,0.2605134530172217,-45485000
2015-06-30,402412000,67795000,2015-07-30,0.31,0.25,218912000,144914000,137238000,0.3096906519514691,7676000
2015-09-30,385101000,88284000,2015-10-30,0.61,0.25,218914000,196442000,135216000,0.4032816539828426,61226000
2015-12-31,371290000,-125245000,2016-02-25,-0.23,0.26,218919000,169962000,128895000,-0.5721065782321315,41067000
2016-03-31,383141000,81816000,2016-05-04,0.32,0.27,218919000,235883000,136987000,0.3737272689899004,98896000
2016-06-30,428664000,88863000,2016-07-27,0.41,0.33,218921000,155932000,118936000,0.40591354872305535,36996000
2016-09-30,481645000,91397000,2016-11-02,0.45,0.39,218922000,262885000,116802000,0.41748659339856203,146083000
2016-12-31,510820000,83696000,2017-02-23,0.41,0.36,218929000,258376000,107268000,0.3822974571664786,151108000
2017-03-31,516193000,75940000,2017-05-03,-0.21,0.39,218929000,191673000,125944000,0.3468704465831388,65729000
2017-06-30,525450000,104944000,2017-07-26,0.48,0.44,218931000,239685000,134536000,0.4793473742868758,105149000
2017-09-30,574695000,96202000,2017-11-01,0.44,0.41,218933000,211111000,158713000,0.4394129710916125,52398000
2017-12-31,632018000,99521000,2018-02-15,0.45,0.4,218933000,254943000,255832000,0.45457286019010384,-889000
2018-03-31,437168000,101005000,2018-05-02,0.46,0.41,218933000,240916000,302297000,0.46135118963335814,-61381000
2018-06-30,435949000,67580000,2018-07-31,0.31,0.42,218934000,272331000,347799000,0.3086775009820311,-75468000
2018-09-30,507762000,107474000,2018-10-31,0.49,0.62,218938000,236132000,298926000,0.49088783125816443,-62794000
2018-12-31,557793000,93370000,2019-02-14,0.43,0.6,218938000,267316000,244874000,0.4264677671304205,22442000
2019-03-31,671883000,118660000,2019-04-30,0.3,0.49,299556000,343073000,386144000,0.3961195903270173,-43071000
2019-06-30,748652000,169594000,2019-07-30,0.37,0.54,453000000,343458000,318281000,0.37437969094922735,25177000
2019-09-30,666027000,121217000,2019-11-04,0.27,0.44,453021000,340154000,242841000,0.26757479233854503,97313000
2019-12-31,723210000,287770000,2020-02-27,0.62,0.46,452934000,297415000,241563000,0.6353464301642182,55852000
2020-03-31,774313000,-256527000,2020-05-05,0.76,0.51,443971000,393311000,172816000,-0.5778012527845288,220495000
2020-06-30,671755000,273037000,2020-08-10,0.6,0.5,443973000,345688000,140249000,0.6149855959709262,205439000
2020-09-30,679044000,246611000,2020-11-09,0.55,0.5,438926000,392894000,59197000,0.5618509726013041,333697000
2020-12-31,647480000,263891000,2021-02-23,0.62,0.58,415597000,515934999,50828999,0.6349684911103786,465106000
2021-03-31,674974000,185791000,2021-05-10,0.44,0.54,413446000,261550000,61783000,0.44937186476589447,199767000
2021-06-30,719131000,231259000,2021-08-09,0.55,0.57,413720000,452111000,78145000,0.5589746688581649,373966000
2021-09-30,763840000,255725000,2021-11-09,0.61,0.63,412714000,391333000,79829000,0.6196179436607433,311504000
2021-12-31,719210000,243517000,2022-02-23,0.58,0.65,408454000,673168000,95917000,0.5961919824509002,577251000
2022-03-31,758297000,308717000,2022-05-10,0.75,0.62,404460000,276458000,83971000,0.7632819067398506,192487000
2022-06-30,876419000,306317000,2022-08-03,0.74,0.77,404162000,466981000,107386000,0.7579064830439279,359595000
2022-09-30,837568000,265745000,2022-11-02,0.66,0.75,390318000,468768000,150148000,0.6808422875706476,318620000
2022-12-31,779437000,336324000,2023-02-22,0.85,0.72,386482000,489219000,145723000,0.8702190528925021,343496000
2023-03-31,733982000,203645000,2023-05-03,0.52,0.64,385750000,302424000,173088000,0.5279196370706416,129336000
