fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2005-09-30,18081000,6378000,2005-10-31,0.04,0.04,170092000,7947000,0,0.037497354372927595,7947000
2005-12-31,17474000,7009000,2006-02-13,0.04,0.05,204389000,7654000,483000,0.03429245213783521,7171000
2006-03-31,25711000,13781000,2006-04-19,0.07,0.06,204389000,13862000,245363000,0.06742535067934184,-231501000
2006-06-30,47413000,25159000,2006-08-03,0.11,0.11,238569000,32770000,40000000,0.10545795975168609,-7230000
2006-09-30,41766000,22518000,2006-11-02,0.09,0.11,242488000,28261000,285408000,0.09286232720794431,-257147000
2006-12-31,43651000,23762000,2007-02-15,0.11,0.1,244239000,29829000,285408000,0.09728994959854896,-255579000
2007-03-31,44132000,24937000,2007-04-26,0.1,0.11,244239000,29899000,0,0.10210081109077584,29899000
2007-06-30,41464000,22855000,2007-08-03,0.09,0.1,245534000,27846000,57700000,0.09308283170558863,-29854000
2007-09-30,39600000,19184000,2007-10-31,0.08,0.07,247250000,27108000,493400000,0.07758948432760364,-466292000
2007-12-31,50232000,24883000,2008-02-25,0.1,0.11,250934000,34408000,6800000,0.09916153251452574,27608000
2008-03-31,48948000,27928000,2008-04-28,0.11,0.14,250934000,33084000,6800000,0.11129619740648936,26284000
2008-06-30,49675000,23276000,2008-07-29,0.09,0.14,249282000,35887000,112300000,0.09337216485747066,-76413000
2008-09-30,39371000,19014000,2008-11-03,0.08,0.1,249010000,20926000,44900000,0.07635837918155898,-23974000
2008-12-31,37087000,-49863000,2009-02-19,0.04,0.03,272767000,21245000,20500000,-0.18280437149655202,745000
2009-03-31,37572000,15111000,2009-05-11,0.06,0.06,272767000,23120000,3371000,0.05539893022249759,19749000
2009-06-30,41403000,18438000,2009-07-30,0.06,0.07,301235000,26453000,1276000,0.06120802695569904,25177000
2009-09-30,69767000,33566000,2009-11-09,0.11,0.11,317431000,45380000,213819000,0.1057426653351437,-168439000
2009-12-31,90551000,50809000,2010-03-04,0.15,0.15,346457000,70979000,2178000,0.14665312001200725,68801000
2010-03-31,85938000,44630000,2010-05-12,0.13,0.16,346457000,57600000,517000,0.12881829491105679,57083000
2010-06-30,95004000,53258000,2010-08-11,0.15,0.16,344681000,66990000,13200000,0.1545138838520255,53790000
2010-09-30,92834000,69234000,2010-11-08,0.16,0.19,346242000,70485000,144500000,0.19995841059143604,-74015000
2010-12-31,149577000,122972000,2011-03-03,0.35,0.31,355903000,124686000,14224000,0.3455211110892575,110462000
2011-03-31,158183000,122176000,2011-05-09,0.34,0.41,355903000,127207000,2857000,0.34328454663208796,124350000
2011-06-30,194752000,148065000,2011-08-08,0.42,0.46,355921000,168292000,401000,0.4160052371172255,167891000
2011-09-30,185195000,135040000,2011-11-09,0.38,0.5,356014000,167247000,137755000,0.3793109259748212,29492000
2011-12-31,191867000,144747000,2012-03-22,0.41,0.41,355943000,163681000,310000,0.4066578075703132,163371000
2012-03-31,199638000,147181000,2012-05-14,0.41,0.44,355943000,163811000,395000,0.41349598109809715,163416000
2012-06-30,201408000,141414000,2012-08-09,0.4,0.37,355519000,172916000,180000,0.39776777049890444,172736000
2012-09-30,161273000,119697000,2012-11-05,0.34,0.4,355928000,128651000,638430000,0.33629554291879254,-509779000
2012-12-31,287241000,177744000,2013-03-21,0.5,0.49,356382000,254026000,1531000,0.4987457278987154,252495000
2013-03-31,205761000,133421000,2013-05-10,0.37,0.4,356382000,165612000,1900620000,0.37437637142167673,-1735008000
2013-06-30,166890000,71117000,2013-08-14,0.21,0.25,355804000,125258000,124855000,0.19987689851716114,403000
2013-09-30,166405000,77057000,2013-11-11,0.22,0.22,356557000,118672000,388000,0.21611411359193622,118284000
2013-12-31,167416000,93900000,2014-03-20,0.27,0.25,357940000,124591000,13560000,0.262334469464156,111031000
2014-03-31,165379000,79809000,2014-05-08,0.23,0.22,357940000,114832000,125231000,0.22296753645862435,-10399000
2014-06-30,148570000,63492000,2014-08-13,0.18,0.2,358097000,102543000,52000,0.1773039148610572,102491000
2014-09-30,165852000,4496000,2014-11-12,0.18,0.21,358762000,120379000,9196000,0.012531984992836476,111183000
2014-12-31,140375000,52031000,2015-03-18,0.14,0.15,371115000,94120000,99000,0.1402018242323808,94021000
2015-03-31,130504000,49419000,2015-05-07,0.13,0.15,371115000,89131000,900016000,0.13316357463319994,-810885000
2015-06-30,164435000,53726000,2015-08-11,0.13,0.13,404308000,109292000,1100000,0.13288384103208445,108192000
2015-09-30,153251000,-95925000,2015-11-03,0.12,0.13,404540000,99547000,560000,-0.2371211746675236,98987000
2015-12-31,200496000,-169262000,2016-03-16,0.14,0.13,403125000,133389000,900566000,-0.4198747286821705,-767177000
2016-03-31,187511000,40979000,2016-05-09,0.1,0.12,403125000,113754000,274000,0.10165333333333333,113480000
2016-06-30,212351000,60306000,2016-08-10,0.14,0.14,436986000,134267000,2052000,0.13800442119427167,132215000
2016-09-30,233204000,82986000,2016-11-09,0.19,0.21,441917000,161577000,800013000,0.18778639427765847,-638436000
2016-12-31,258491000,10866000,2017-03-21,0.19,0.16,441955000,174703000,2180000,0.02458621352852666,172523000
2017-03-31,197951000,61224000,2017-05-09,0.14,0.14,441955000,119923000,879000,0.13852994083108008,119044000
2017-06-30,199684000,67612000,2017-08-10,0.15,0.14,442370000,124681000,15000,0.1528403824852499,124666000
2017-09-30,203034000,66578000,2017-11-09,0.15,0.15,442476000,129121000,5000,0.15046691797973225,129116000
2017-12-31,242546000,-137711000,2018-03-21,0.19,0.16,443181000,165083000,822000,-0.31073308648159553,164261000
