fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2013-06-30,292975000,141870000.0,2013-09-18,7.1517,,119024000,,,1.191944481785186,
2013-09-30,270102000,,2013-11-12,2.04,2.39,190435000,,,,
2014-03-31,264492000,41863000.0,2014-05-01,1.62,1.82,207202000,77810000.0,36902000.0,0.20203955560274514,40908000.0
2014-06-30,272937000,,2014-08-07,1.38,1.86,207822000,21975000.0,0.0,,21975000.0
2014-09-30,296183000,,2014-11-07,1.86,1.65,207934000,23241000.0,0.0,,23241000.0
2014-12-31,319020000,117174000.0,2015-02-25,1.32,1.86,207828000,245834000.0,136050000.0,0.5638027599745944,109784000.0
2015-03-31,277437000,,2015-04-29,1.5,1.36,208479000,100129000.0,43871000.0,,56258000.0
2015-06-30,254304000,20830000.0,2015-08-05,0.84,1.22,209114000,27679000.0,0.0,0.09961073864016756,27679000.0
2015-09-30,239883000,16565000.0,2015-11-03,0.66,0.8,209349000,29205000.0,0.0,0.07912624373653564,29205000.0
2015-12-31,202976000,-37395000.0,2016-02-29,0.6,0.61,209152000,270745000.0,55852000.0,-0.17879341340269278,214893000.0
2016-03-31,153486000,-2408000.0,2016-04-27,-0.01,0.32,155244000,46163000.0,8268000.0,-0.015511066450233181,37895000.0
2016-06-30,120946000,-31398000.0,2016-07-28,-0.66,-0.04,155440000,-24511000.0,0.0,-0.20199433865156974,-24511000.0
2016-09-30,105114000,-36982000.0,2016-11-03,-0.78,-0.85,177125000,-30191000.0,11406000.0,-0.20879040225829218,-41597000.0
2016-12-31,107985000,-85291000.0,2017-02-23,-1.08,-0.77,176584000,-38677000.0,12350000.0,-0.4830052552892674,-51027000.0
2017-03-31,110731000,-35781000.0,2017-05-02,-0.72,-0.67,222564000,-9435000.0,11720000.0,-0.16076723998490322,-21155000.0
2017-06-30,117659000,-25950000.0,2017-08-07,-0.72,-0.64,222914000,1968000.0,3477000.0,-0.11641260755268848,-1509000.0
2017-09-30,108083000,2296000.0,2017-11-02,-0.66,-0.61,223581000,32052000.0,3407000.0,0.01026920892204615,28645000.0
2017-12-31,118322000,-100022000.0,2018-02-27,-1.56,-0.6,222940000,189000.0,3301000.0,-0.4486498609491343,-3112000.0
2018-03-31,115569000,-42073000.0,2018-05-08,-1.08,-0.68,223567000,-20909000.0,6323000.0,-0.18818967021071983,-27232000.0
2018-06-30,132085000,-25763000.0,2018-08-08,-0.72,-0.7,223981000,,,-0.115023149284984,
2018-09-30,128986000,-6999000.0,2018-11-06,-0.3,-0.58,224182000,,,-0.031220169326707764,
2018-12-31,145853000,-15898000.0,2019-02-25,-0.36,-0.37,223999000,1016999.0,41914000.0,-0.07097353113183541,-40897001.0
2019-03-31,144408000,-28287000.0,2019-05-07,-0.78,-0.43,224653000,-29770000.0,8145000.0,-0.12591418765829968,-37915000.0
2019-06-30,155654000,-15160000.0,2019-08-06,-0.36,-0.31,225052000,,,-0.06736220962266498,
2019-09-30,140417000,-23789000.0,2019-11-05,-0.48,-0.33,225415000,,,-0.10553423685202848,
2019-12-31,139441000,-168093000.0,2020-02-25,-0.36,-0.24,225159000,18563000.0,9963000.0,-0.7465524362783633,8600000.0
2020-03-31,123492000,-85978000.0,2020-05-11,-0.24,-0.27,58489895,-22252000.0,9968000.0,-1.4699633158855903,-32220000.0
2020-06-30,86101000,-34245000.0,2020-08-04,-0.78,-0.57,58489895,26398000.0,10291000.0,-0.5854857492905399,16107000.0
2020-09-30,84417000,-27791000.0,2020-11-03,-0.6,-0.47,58489895,21169000.0,5463000.0,-0.47514190271670004,15706000.0
2020-12-31,154190000,-15717000.0,2021-02-23,-0.12,-0.47,108089327,45076000.0,86665000.0,-0.14540751095619275,-41589000.0
2021-03-31,156295000,-20392000.0,2021-05-04,-0.42,-0.28,108955969,9641000.0,19168000.0,-0.18715817212364014,-9527000.0
2021-06-30,176251000,-8381000.0,2021-08-03,-0.24,-0.25,108955969,-7246000.0,18476000.0,-0.07692098080464045,-25722000.0
2021-09-30,197547000,-11913000.0,2021-11-08,-0.32,-0.17,108955969,-1941000.0,15819000.0,-0.10933774541530625,-17760000.0
2021-12-31,295669000,-91204000.0,2022-03-02,-0.03,-0.09,109119301,28340000.0,72290000.0,-0.8358191370745676,-43950000.0
2022-03-31,280477000,-11132000.0,2022-05-05,0.01,-0.07,109266988,-14162000.0,18550000.0,-0.10187889502362782,-32712000.0
2022-06-30,313624000,-4350000.0,2022-08-04,0.02,0.07,109582086,2055000.0,20943000.0,-0.03969626933365733,-18888000.0
2022-09-30,334351000,-17594000.0,2022-11-03,-0.07,0.18,108708651,-667000.0,19079999.0,-0.1618454450327049,-19746999.0
2022-12-31,350966000,12931000.0,2023-02-23,0.22,0.24,108743078,92943000.0,31298000.0,0.11891331602734291,61645000.0
2023-03-31,339279000,-6351000.0,2023-05-04,0.01,0.17,108854709,21323000.0,28776000.0,-0.058343824151879366,-7453000.0
2023-06-30,396917000,9295000.0,2023-07-27,0.17,0.34,109381977,25358000.0,29192000.0,0.08497743645646486,-3834000.0
2023-09-30,369818000,-13886000.0,2023-10-26,-0.06,0.27,108777429,58847000.0,26655000.0,-0.12765515904958555,32192000.0
2023-12-31,406750000,-12418000.0,2024-02-21,0.06,0.1,110325863,32781000.0,37487000.0,-0.11255746986542947,-4706000.0
2024-03-31,383489000,-2677000.0,2024-04-25,0.09,0.12,110176460,29938000.0,30739000.0,-0.02429738621117433,-801000.0
2024-06-30,469642000,15286000.0,2024-07-25,0.27,0.27,113979860,-13173000.0,36368000.0,0.13411141231442117,-49541000.0
2024-09-30,422828000,16275000.0,2024-10-24,0.23,0.25,118293677,55313000.0,32051000.0,0.1375813180614886,23262000.0
2024-12-31,436843000,23034000.0,2025-02-25,0.36,0.32,115829638,97401000.0,44418000.0,0.19886102035473857,52983000.0
2025-03-31,390872000,13948000.0,2025-05-23,0.25,0.1086,116929082,41509000.0,33112000.0,0.11928597882945835,8397000.0
