fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2020-12-31,53155000,8454000,2021-03-31,-1.8885,0.0,73482540,16133000,7320000,0.11504773787079216,8813000
2021-03-31,50558000,-13128000,2021-06-02,-0.16,-0.15,73555417,-335000,8998000,-0.1784776775855951,-9333000
2021-06-30,55178000,-2004000,2021-08-16,-0.03,-0.31,57371788,2701000,6416000,-0.03493006004972339,-3715000
2021-09-30,67558000,-16915000,2021-11-15,-0.23,-0.26,73327334,34893000,7282000,-0.2306779624634928,27611000
2021-12-31,80659000,-17163000,2022-03-23,-0.09,-0.24,73327334,31730000,6106000,-0.2340600573314175,25624000
2022-03-31,90539000,-10327000,2022-05-16,-0.03,-0.12,76672530,24932000,5633000,-0.13468969916605072,19299000
2022-06-30,102723000,-7155000,2022-08-15,-0.0889,-0.04,79420204,50923000,9838000,-0.09009042585687642,41085000
2022-09-30,115919000,-36764000,2022-11-14,0.05,-0.26,83449155,13175000,7938000,-0.4405556892697116,5237000
2022-12-31,128253000,-11327000,2023-03-01,0.14,0.04,86817797,79280000,8498000,-0.1304686411243538,70782000
2023-03-31,132356000,-5224000,2023-05-09,0.06,0.05,90522025,60757000,9424000,-0.05770971208388235,51333000
2023-06-30,149871000,4011000,2023-08-02,0.15,0.07,91279678,75005000,8455000,0.04394187280108503,66550000
2023-09-30,160387000,15346000,2023-11-08,0.21,0.11,90875789,-4860000,4075000,0.16886785984328564,-8935000
2023-12-31,170965000,13975000,2024-02-28,0.17,0.16,91370170,94131000,4181000,0.15294926123044314,89950000
2024-03-31,179049000,18806000,2024-05-08,0.28,0.17,93413342,80349000,2991000,0.20132027821036527,77358000
2024-06-30,186745000,24119000,2024-08-06,0.34,0.26,93512253,114584000,4543000,0.25792341887003833,110041000
2024-09-30,198424000,23465000,2024-11-07,0.3,0.33,94279000,-35868000,2043000,0.24888893603029308,-37911000
2024-12-31,206270000,103286000,2025-02-26,0.9,0.29,118081362,136612000,2750000,0.8747019703244954,133862000
2025-03-31,211368000,25405000,2025-06-13,0.343,0.2951,97517000,98347000,7084000,0.2605186787944666,91263000
2025-06-30,219467000,24722000,2025-08-05,0.26,0.3,95030602,122984000,5063000,0.2601477785019188,117921000
2025-09-30,229193000,28279000,2025-11-06,0.29,0.3,97832791,-47299000,6171000,0.28905441325904724,-53470000
