fiscalDateEnding,totalRevenue,netIncome,reportedDate,reportedEPS,estimatedEPS,commonStockSharesOutstanding,operatingCashflow,capitalExpenditures,eps_computed_simple,freeCashFlow
2006-09-30,2170000000,296000000,2006-11-15,0.75,1.28,393312793,1456563200,1113913000,0.7525816735892443,342650200
2006-12-31,2180000000,256000000,2007-03-15,0.61,1.18,393312793,2105898800,1629852000,0.6508814474285356,476046800
2009-03-31,2038415043,137004701,2009-05-14,0.3656,,393312793,1487000000,1136000000,0.3483352269195068,351000000
2009-06-30,2115178617,138812674,2009-07-30,0.3661,,393312793,2018000000,1069000000,0.35293200849431816,949000000
2009-09-30,2260162294,262825712,2009-11-19,0.6792,,393312793,2405000000,1435000000,0.6682358587812322,970000000
2009-12-31,2620224128,378969224,2010-03-03,0.9437,,393312793,3504000000,1996000000,0.9635313947187067,1508000000
2010-03-31,2558603478,408540377,2010-05-13,1.0162,,393312793,3283000000,1446000000,1.0387162184170298,1837000000
2010-06-30,2642902835,413630877,2010-07-29,1.0153,,393327592,2717000000,1937000000,1.05161927465287,780000000
2010-09-30,2824550840,380932770,2010-11-18,0.9593,,393327592,2677000000,2214000000,0.9684872806990871,463000000
2010-12-31,3099665884,267957244,2011-03-02,0.7755,,393327592,4049000000,3132000000,0.6812571745538767,917000000
2011-03-31,3119428928,394626551,2011-05-06,1.12,0.7,393312793,2256000000,1895000000,1.003340237143011,361000000
2011-06-30,3337102000,188270572,2011-07-29,0.61,0.82,393312793,1470000000,2857000000,0.4786789937951497,-1387000000
2011-09-30,3555724984,365351511,2011-12-05,1.07,0.95,393312793,4683000000,3202000000,0.9289082824214162,1481000000
2011-12-31,3357053299,163123983,2012-03-09,0.47,1.12,393241400,4361000000,4335000000,0.4148189458180141,26000000
2012-03-31,3388917668,295303667,2012-05-10,0.7578,,393313070,5158000000,3818000000,0.7508107142231505,1340000000
2012-06-30,3551343677,183926217,2012-08-17,0.48,0.85,392924528,3919000000,3490000000,0.4680955346213459,429000000
2012-09-30,3691430562,160589337,2012-11-09,0.42,0.89,393750000,3484000000,4071000000,0.40784593523809526,-587000000
2012-12-31,3416880507,182196565,2013-03-12,0.54,0.76,393436293,4740000000,5024000000,0.4630903865292366,-284000000
2013-03-31,3593752109,242617803,2013-05-13,0.64,0.71,393312793,3770000000,4744000000,0.6168571358928566,-974000000
2013-06-30,4018056623,97974581,2013-08-12,0.26,0.49,393382353,3253000000,5993000000,0.24905687876649618,-2740000000
2013-09-30,4148145106,241935207,2013-11-05,0.65,0.58,392777778,9356000000,7466000000,0.6159595082795137,1890000000
2013-12-31,2726506124,237099095,2014-03-07,0.8,0.66,392229039,4585000000,9436000000,0.6044914359336867,-4851000000
2014-03-31,30664000000,2881000000,2014-05-08,0.97,0.61,392394963,6715000000,11817000000,7.3420922072335575,-5102000000
2014-06-30,35330000000,1526000000,2014-08-07,0.49,0.81,392287918,11430000000,10335000000,3.889999997399869,1095000000
2014-09-30,38209000000,3212000000,2014-11-05,1.47,0.7,392185592,18249000000,13213000000,8.190000003875715,5036000000
2014-12-31,37739000000,1383000000,2015-02-27,0.41,0.75,392897727,9562000000,16559000000,3.5200000024433837,-6997000000
2015-03-31,35131000000,2127000000,2015-05-07,0.62,0.58,392352241,11931000000,15628000000,5.421149104638349,-3697000000
2015-06-30,40003000000,2297000000,2015-08-07,0.65,0.66,391979522,10002000000,15239000000,5.860000002755246,-5237000000
2015-09-30,40056000000,1850000000,2015-11-05,0.51,0.53,391949153,9782000000,15825000000,4.719999994489081,-6043000000
2015-12-31,40946000000,-1695000000,2016-03-03,-0.47,0.44,392361111,9689000000,17082000000,-4.320000001223363,-7393000000
2016-03-31,46934000000,996000000,2016-05-10,0.18,0.34,392101191,10825000000,17303000000,2.540160608693484,-6478000000
2016-06-30,52759000000,-743000000,2016-08-04,-0.13,0.6,393121693,6614000000,15299000000,-1.8900000005850606,-8685000000
2016-09-30,55849000000,-30211000000,2016-11-10,-5.17,-0.16,391638579,16721000000,14368000000,-77.1400000407008,2353000000
2016-12-31,54558000000,1721000000,2017-03-09,0.28,-0.07,395632184,15023000000,15097000000,4.3499999989889595,-74000000
2017-03-31,57003000000,25000000,2017-05-22,0.04,-0.08,390550426,24650000000,14574000000,0.06401222053717591,10076000000
2017-06-30,60162000000,212000000,2017-08-08,0.34,0.06,392592593,12983000000,13104000000,0.5399999994396226,-121000000
2017-09-30,66034000000,93000000,2017-11-08,0.14,0.11,387500000,13552000000,16273000000,0.24,-2721000000
2017-12-31,69614000000,12010000000,2018-03-02,1.75,0.22,392611965,20789000000,15667000000,30.589999976185137,5122000000
2018-03-31,75823000000,6067000000,2018-05-08,0.79,0.26,392206956,21426000000,15794000000,15.468874040061646,5632000000
2018-06-30,93034000000,1993000000,2018-08-07,0.22,0.26,392322835,27610000000,18105000000,5.079999995411942,9505000000
2018-09-30,121188000000,13203000000,2018-11-09,1.05,0.33,394119403,32210000000,23426000000,33.49999999873135,8784000000
2018-12-31,145775000000,17350000000,2019-03-08,1.2,0.04,390941866,43812000000,30968000000,44.37999996654234,12844000000
2019-03-31,130907000000,-8185000000,2019-05-09,-0.54,0.4,390941866,42640000000,30530000000,-20.93661669891349,12110000000
2019-06-30,160329000000,-2684000000,2019-08-21,-0.16,0.19,391824818,40746000000,43785000000,-6.849999991577869,-3039000000
2019-09-30,180449000000,-12726000000,2019-11-09,1.46,0.42,392293465,60307000000,40549000000,-32.43999998827408,19758000000
2019-12-31,206910000000,-10476000000,2020-03-13,-0.45,-0.24,392359551,73444000000,46591000000,-26.69999997018041,26853000000
2020-03-31,174670000000,6212000000,2020-05-11,0.26,-0.3,392385589,58955000000,48540000000,15.831366324719943,10415000000
2020-06-30,133558000000,-84630000000,2020-08-10,-1.03,-0.64,392405063,33645000000,19346000000,-215.67000016001322,14299000000
2020-09-30,173485000000,-35466000000,2020-11-16,-1.18,-0.8,392800975,48747000000,13994000000,-90.28999991662444,34753000000
2020-12-31,187473000000,44235000000,2021-03-04,-0.69,-0.54,392467394,67869000000,32736000000,112.71000005671809,35133000000
2021-03-31,234890000000,-2066000000,2021-05-12,-0.06,-0.12,392467394,93250000000,43640000000,-5.264131572672761,49610000000
2021-06-30,315873000000,-45017000000,2021-08-10,-1.22,0.48,392578704,94052000000,46976000000,-114.67000003138224,47076000000
