date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,37.88,,,,,,,,,,,,,
1999-11-02,38.06,,,,,,,,,,,,,
1999-11-03,37.75,,,,,,,,,,,,,
1999-11-04,37.38,,,,,,,,,,,,,
1999-11-05,37.5,,,,,,,,,,,,,
1999-11-08,37.31,,,,,,,,,,,,,
1999-11-09,37.06,,,,,,,,,,,,,
1999-11-10,36.81,,,,,,,,,,,,,
1999-11-11,36.75,,,,,,,,,,,,,
1999-11-12,36.81,,,,,,,,,,,,,
1999-11-15,36.44,,,,,,,,,,,,,
1999-11-16,36.63,,,,,,,,,,,,,
1999-11-17,36.38,,,,,,,,,,,,,
1999-11-18,36.5,,,,,,,,,,,,,
1999-11-19,35.81,,,,,,,,,,,,,
1999-11-22,35.19,,,,,,,,,,,,,
1999-11-23,34.38,,,,,,,,,,,,,
1999-11-24,34.31,,,,,,,,,,,,,
1999-11-26,34.13,,,,,,,,,,,,,
1999-11-29,33.38,,,,,,,,,,,,,
1999-11-30,34.63,,,,,,,,,,,,,
1999-12-01,34.31,,,,,,,,,,,,,
1999-12-02,34.38,,,,,,,,,,,,,
1999-12-03,34.5,,,,,,,,,,,,,
1999-12-06,33.75,,,,,,,,,,,,,
1999-12-07,33.69,,,,,,,,,,,,,
1999-12-08,33.31,,,,,,,,,,,,,
1999-12-09,33.0,,,,,,,,,,,,,
1999-12-10,32.75,,,,,,,,,,,,,
1999-12-13,32.44,,,,,,,,,,,,,
1999-12-14,32.5,,,,,,,,,,,,,
1999-12-15,32.75,,,,,,,,,,,,,
1999-12-16,32.38,,,,,,,,,,,,,
1999-12-17,32.38,,,,,,,,,,,,,
1999-12-20,32.48,,,,,,,,,,,,,
1999-12-21,33.13,,,,,,,,,,,,,
1999-12-22,33.06,,,,,,,,,,,,,
1999-12-23,33.13,,,,,,,,,,,,,
1999-12-27,33.13,,,,,,,,,,,,,
1999-12-28,33.19,,,,,,,,,,,,,
1999-12-29,32.88,,,,,,,,,,,,,
1999-12-30,32.81,,,,,,,,,,,,,
1999-12-31,32.75,,,,,,,,,,,,,
2000-01-03,32.31,,,,,,,,,,,,,
2000-01-04,32.31,,,,,,,,,,,,,
2000-01-05,33.25,,,,,,,,,,,,,
2000-01-06,33.44,,,,,,,,,,,,,
2000-01-07,33.94,,,,,,,,,,,,,
2000-01-10,33.69,,,,,,,,,,,,,
2000-01-11,33.63,,,,,,,,,,,,,
2000-01-12,33.81,,,,,,,,,,,,,
2000-01-13,33.94,,,,,,,,,,,,,
2000-01-14,33.44,,,,,,,,,,,,,
2000-01-18,32.31,,,,,,,,,,,,,
2000-01-19,33.13,,,,,,,,,,,,,
2000-01-20,33.0,,,,,,,,,,,,,
2000-01-21,33.25,,,,,,,,,,,,,
2000-01-24,33.44,,,,,,,,,,,,,
2000-01-25,32.63,,,,,,,,,,,,,
2000-01-26,33.0,,,,,,,,,,,,,
2000-01-27,32.94,,,,,,,,,,,,,
2000-01-28,32.31,,,,,,,,,,,,,
2000-01-31,32.56,,,,,,,,,,,,,
2000-02-01,32.56,,,,,,,,,,,,,
2000-02-02,32.56,,,,,,,,,,,,,
2000-02-03,32.94,,,,,,,,,,,,,
2000-02-04,31.94,,,,,,,,,,,,,
2000-02-07,31.75,,,,,,,,,,,,,
2000-02-08,31.88,,,,,,,,,,,,,
2000-02-09,31.56,,,,,,,,,,,,,
2000-02-10,31.13,,,,,,,,,,,,,
2000-02-11,31.0,,,,,,,,,,,,,
2000-02-14,31.25,,,,,,,,,,,,,
2000-02-15,31.13,,,,,,,,,,,,,
2000-02-16,30.94,,,,,,,,,,,,,
2000-02-17,30.5,,,,,,,,,,,,,
2000-02-18,30.25,,,,,,,,,,,,,
2000-02-22,30.44,,,,,,,,,,,,,
2000-02-23,30.25,,,,,,,,,,,,,
2000-02-24,28.88,,,,,,,,,,,,,
2000-02-25,28.88,,,,,,,,,,,,,
2000-02-28,30.06,,,,,,,,,,,,,
2000-02-29,30.0,,,,,,,,,,,,,
2000-03-01,29.5,,,,,,,,,,,,,
2000-03-02,28.94,,,,,,,,,,,,,
2000-03-03,29.19,,,,,,,,,,,,,
2000-03-06,28.19,,,,,,,,,,,,,
2000-03-07,27.88,,,,,,,,,,,,,
2000-03-08,28.0,,,,,,,,,,,,,
2000-03-09,28.06,,,,,,,,,,,,,
2000-03-10,28.13,,,,,,,,,,,,,
2000-03-13,28.13,,,,,,,,,,,,,
2000-03-14,27.81,,,,,,,,,,,,,
2000-03-15,29.06,,,,,,,,,,,,,
2000-03-16,30.63,,,,,,,,,,,,,
2000-03-17,30.13,,,,,,,,,,,,,
2000-03-20,30.25,,,,,,,,,,,,,
2000-03-21,30.44,,,,,,,,,,,,,
2000-03-22,30.13,,,,,,,,,,,,,
2000-03-23,30.19,,,,,,,,,,,,,
2000-03-24,30.5,,,,,,,,,,,,,
2000-03-27,30.94,,,,,,,,,,,,,
2000-03-28,30.31,,,,,,,,,,,,,
2000-03-29,30.69,,,,,,,,,,,,,
2000-03-30,30.63,,,,,,,,,,,,,
2000-03-31,30.94,,,,,,,,,,,,,
2000-04-03,31.13,,,,,,,,,,,,,
2000-04-04,31.94,,,,,,,,,,,,,
2000-04-05,32.56,,,,,,,,,,,,,
2000-04-06,32.19,,,,,,,,,,,,,
2000-04-07,31.63,,,,,,,,,,,,,
2000-04-10,31.81,,,,,,,,,,,,,
2000-04-11,32.0,,,,,,,,,,,,,
2000-04-12,32.38,,,,,,,,,,,,,
2000-04-13,33.25,,,,,,,,,,,,,
2000-04-14,32.88,,,,,,,,,,,,,
2000-04-17,33.25,,,,,,,,,,,,,
2000-04-18,33.25,,,,,,,,,,,,,
2000-04-19,33.13,,,,,,,,,,,,,
2000-04-20,33.88,,,,,,,,,,,,,
2000-04-24,34.94,,,,,,,,,,,,,
2000-04-25,36.56,,,,,,,,,,,,,
2000-04-26,37.88,,,,,,,,,,,,,
2000-04-27,37.25,,,,,,,,,,,,,
2000-04-28,36.69,,,,,,,,,,,,,
2000-05-01,36.44,,,,,,,,,,,,,
2000-05-02,35.56,,,,,,,,,,,,,
2000-05-03,35.31,,,,,,,,,,,,,
2000-05-04,36.25,,,,,,,,,,,,,
2000-05-05,35.5,,,,,,,,,,,,,
2000-05-08,35.94,,,,,,,,,,,,,
2000-05-09,35.94,,,,,,,,,,,,,
2000-05-10,36.13,,,,,,,,,,,,,
2000-05-11,36.94,,,,,,,,,,,,,
2000-05-12,36.56,,,,,,,,,,,,,
2000-05-15,36.94,,,,,,,,,,,,,
2000-05-16,36.69,,,,,,,,,,,,,
2000-05-17,35.63,,,,,,,,,,,,,
2000-05-18,36.06,,,,,,,,,,,,,
2000-05-19,36.19,,,,,,,,,,,,,
2000-05-22,36.81,,,,,,,,,,,,,
2000-05-23,36.56,,,,,,,,,,,,,
2000-05-24,37.25,,,,,,,,,,,,,
2000-05-25,36.88,,,,,,,,,,,,,
2000-05-26,36.81,,,,,,,,,,,,,
2000-05-30,36.44,,,,,,,,,,,,,
2000-05-31,36.69,,,,,,,,,,,,,
2000-06-01,36.75,,,,,,,,,,,,,
2000-06-02,36.06,,,,,,,,,,,,,
2000-06-05,35.19,,,,,,,,,,,,,
2000-06-06,35.25,,,,,,,,,,,,,
2000-06-07,35.0,,,,,,,,,,,,,
2000-06-08,34.56,,,,,,,,,,,,,
2000-06-09,35.44,,,,,,,,,,,,,
2000-06-12,35.59,,,,,,,,,,,,,
2000-06-13,35.63,,,,,,,,,,,,,
2000-06-14,34.94,,,,,,,,,,,,,
2000-06-15,35.63,,,,,,,,,,,,,
2000-06-16,35.44,,,,,,,,,,,,,
2000-06-19,35.38,,,,,,,,,,,,,
2000-06-20,35.25,,,,,,,,,,,,,
2000-06-21,35.31,,,,,,,,,,,,,
2000-06-22,34.94,,,,,,,,,,,,,
2000-06-23,35.0,,,,,,,,,,,,,
2000-06-26,35.5,,,,,,,,,,,,,
2000-06-27,34.69,,,,,,,,,,,,,
2000-06-28,35.56,,,,,,,,,,,,,
2000-06-29,34.56,,,,,,,,,,,,,
2000-06-30,33.75,,,,,,,,,,,,,
2000-07-03,34.88,,,,,,,,,,,,,
2000-07-05,34.81,,,,,,,,,,,,,
2000-07-06,34.56,,,,,,,,,,,,,
2000-07-07,34.88,,,,,,,,,,,,,
2000-07-10,35.25,,,,,,,,,,,,,
2000-07-11,35.81,,,,,,,,,,,,,
2000-07-12,35.88,,,,,,,,,,,,,
2000-07-13,35.75,,,,,,,,,,,,,
2000-07-14,35.13,,,,,,,,,,,,,
2000-07-17,35.22,,,,,,,,,,,,,
2000-07-18,35.44,,,,,,,,,,,,,
2000-07-19,36.0,,,,,,,,,,,,,
2000-07-20,36.5,,,,,,,,,,,,,
2000-07-21,36.31,,,,,,,,,,,,,
2000-07-24,35.88,,,,,,,,,,,,,
2000-07-25,36.13,,,,,,,,,,,,,
2000-07-26,35.64,,,,,,,,,,,,,
2000-07-27,36.56,,,,,,,,,,,,,
2000-07-28,36.38,,,,,,,,,,,,,
2000-07-31,36.19,,,,,,,,,,,,,
2000-08-01,37.38,,,,,,,,,,,,,
2000-08-02,37.63,,,,,,,,,,,,,
2000-08-03,38.02,,,,,,,,,,,,,
2000-08-04,38.38,,,,,,,,,,,,,
2000-08-07,38.58,,,,,,,,,,,,,
2000-08-08,38.75,,,,,,,,,,,,,
2000-08-09,38.69,,,,,,,,,,,,,
2000-08-10,38.64,,,,,,,,,,,,,
2000-08-11,38.83,,,,,,,,,,,,,
2000-08-14,39.13,,,,,,,,,,,,,
2000-08-15,39.25,,,,,,,,,,,,,
2000-08-16,39.5,,,,,,,,,,,,,
2000-08-17,39.81,,,,,,,,,,,,,
2000-08-18,39.94,,,,,,,,,,,,,
2000-08-21,39.56,,,,,,,,,,,,,
2000-08-22,39.5,,,,,,,,,,,,,
2000-08-23,39.56,,,,,,,,,,,,,
2000-08-24,39.38,,,,,,,,,,,,,
2000-08-25,39.13,,,,,,,,,,,,,
2000-08-28,39.63,,,,,,,,,,,,,
2000-08-29,39.5,,,,,,,,,,,,,
2000-08-30,39.75,,,,,,,,,,,,,
2000-08-31,40.46,,,,,,,,,,,,,
2000-09-01,40.25,,,,,,,,,,,,,
2000-09-05,41.19,,,,,,,,,,,,,
2000-09-06,41.94,,,,,,,,,,,,,
2000-09-07,41.94,,,,,,,,,,,,,
2000-09-08,42.71,,,,,,,,,,,,,
2000-09-11,42.96,,,,,,,,,,,,,
2000-09-12,43.13,,,,,,,,,,,,,
2000-09-13,42.75,,,,,,,,,,,,,
2000-09-14,42.19,,,,,,,,,,,,,
2000-09-15,42.52,,,,,,,,,,,,,
2000-09-18,42.44,,,,,,,,,,,,,
2000-09-19,40.5,,,,,,,,,,,,,
2000-09-20,39.0,,,,,,,,,,,,,
2000-09-21,37.94,,,,,,,,,,,,,
2000-09-22,39.38,,,,,,,,,,,,,
2000-09-25,39.69,,,,,,,,,,,,,
2000-09-26,40.56,,,,,,,,,,,,,
2000-09-27,41.19,,,,,,,,,,,,,
2000-09-28,41.5,,,,,,,,,,,,,
2000-09-29,41.89,,,,,,,,,,,,,
2000-10-02,42.5,,,,,,,,,,,,,
2000-10-03,41.25,,,,,,,,,,,,,
2000-10-04,40.13,,,,,,,,,,,,,
2000-10-05,39.25,,,,,,,,,,,,,
2000-10-06,39.06,,,,,,,,,,,,,
2000-10-09,38.69,,,,,,,,,,,,,
2000-10-10,39.06,,,,,,,,,,,,,
2000-10-11,39.13,,,,,,,,,,,,,
2000-10-12,39.44,,,,,,,,,,,,,
2000-10-13,40.0,,,,,,,,,,,,,
2000-10-16,40.06,,,,,,,,,,,,,
2000-10-17,40.13,,,,,,,,,,,,,
2000-10-18,38.88,,,,,,,,,,,,,
2000-10-19,38.44,,,,,,,,,,,,,
2000-10-20,38.06,,,,,,,,,,,,,
2000-10-23,38.13,,,,,,,,,,,,,
2000-10-24,38.19,,,,,,,,,,,,,
2000-10-25,37.88,,,,,,,,,,,,,
2000-10-26,37.81,,,,,,,,,,,,,
2000-10-27,38.81,,,,,,,,,,,,,
2000-10-30,40.44,,,,,,,,,,,,,
2000-10-31,39.75,,,,,,,,,,,,,
2000-11-01,40.63,,,,,,,,,,,,,
2000-11-02,41.06,,,,,,,,,,,,,
2000-11-03,40.81,,,,,,,,,,,,,
2000-11-06,40.88,,,,,,,,,,,,,
2000-11-07,40.75,,,,,,,,,,,,,
2000-11-08,40.88,,,,,,,,,,,,,
2000-11-09,41.69,,,,,,,,,,,,,
2000-11-10,41.88,,,,,,,,,,,,,
2000-11-13,41.81,,,,,,,,,,,,,
2000-11-14,41.13,,,,,,,,,,,,,
2000-11-15,41.38,,,,,,,,,,,,,
2000-11-16,42.0,,,,,,,,,,,,,
2000-11-17,42.94,,,,,,,,,,,,,
2000-11-20,42.81,,,,,,,,,,,,,
2000-11-21,42.69,,,,,,,,,,,,,
2000-11-22,42.56,,,,,,,,,,,,,
2000-11-24,42.19,,,,,,,,,,,,,
2000-11-27,42.13,,,,,,,,,,,,,
2000-11-28,42.56,,,,,,,,,,,,,
2000-11-29,43.19,,,,,,,,,,,,,
2000-11-30,44.38,,,,,,,,,,,,,
2000-12-01,44.56,,,,,,,,,,,,,
2000-12-04,44.69,,,,,,,,,,,,,
2000-12-05,44.44,,,,,,,,,,,,,
2000-12-06,44.56,,,,,,,,,,,,,
2000-12-07,44.31,,,,,,,,,,,,,
2000-12-08,44.19,,,,,,,,,,,,,
2000-12-11,43.75,,,,,,,,,,,,,
2000-12-12,43.88,,,,,,,,,,,,,
2000-12-13,43.88,,,,,,,,,,,,,
2000-12-14,43.5,,,,,,,,,,,,,
2000-12-15,43.19,,,,,,,,,,,,,
2000-12-18,43.13,,,,,,,,,,,,,
2000-12-19,43.88,,,,,,,,,,,,,
2000-12-20,45.25,,,,,,,,,,,,,
2000-12-21,45.75,,,,,,,,,,,,,
2000-12-22,45.56,,,,,,,,,,,,,
2000-12-26,46.81,,,,,,,,,,,,,
2000-12-27,46.56,,,,,,,,,,,,,
2000-12-28,46.0,,,,,,,,,,,,,
2000-12-29,46.31,,,,,,,,,,,,,
2001-01-02,45.19,,,,,,,,,,,,,
2001-01-03,43.25,,,,,,,,,,,,,
2001-01-04,40.06,,,,,,,,,,,,,
2001-01-05,40.0,,,,,,,,,,,,,
2001-01-08,41.19,,,,,,,,,,,,,
2001-01-09,41.13,,,,,,,,,,,,,
2001-01-10,40.69,,,,,,,,,,,,,
2001-01-11,39.13,,,,,,,,,,,,,
2001-01-12,39.63,,,,,,,,,,,,,
2001-01-16,39.25,,,,,,,,,,,,,
2001-01-17,39.31,,,,,,,,,,,,,
2001-01-18,39.69,,,,,,,,,,,,,
2001-01-19,40.44,,,,,,,,,,,,,
2001-01-22,41.38,,,,,,,,,,,,,
2001-01-23,41.13,,,,,,,,,,,,,
2001-01-24,41.81,,,,,,,,,,,,,
2001-01-25,41.88,,,,,,,,,,,,,
2001-01-26,41.38,,,,,,,,,,,,,
2001-01-29,41.49,,,,,,,,,,,,,
2001-01-30,41.25,,,,,,,,,,,,,
2001-01-31,40.78,,,,,,,,,,,,,
2001-02-01,40.64,,,,,,,,,,,,,
2001-02-02,40.16,,,,,,,,,,,,,
2001-02-05,40.2,,,,,,,,,,,,,
2001-02-06,40.0,,,,,,,,,,,,,
2001-02-07,40.35,,,,,,,,,,,,,
2001-02-08,41.0,,,,,,,,,,,,,
2001-02-09,41.57,,,,,,,,,,,,,
2001-02-12,41.49,,,,,,,,,,,,,
2001-02-13,41.57,,,,,,,,,,,,,
2001-02-14,41.69,,,,,,,,,,,,,
2001-02-15,41.36,,,,,,,,,,,,,
2001-02-16,42.0,,,,,,,,,,,,,
2001-02-20,42.3,,,,,,,,,,,,,
2001-02-21,42.03,,,,,,,,,,,,,
2001-02-22,42.25,,,,,,,,,,,,,
2001-02-23,41.72,,,,,,,,,,,,,
2001-02-26,41.81,,,,,,,,,,,,,
2001-02-27,41.97,,,,,,,,,,,,,
2001-02-28,42.17,,,,,,,,,,,,,
2001-03-01,42.07,,,,,,,,,,,,,
2001-03-02,42.45,,,,,,,,,,,,,
2001-03-05,42.33,,,,,,,,,,,,,
2001-03-06,41.35,,,,,,,,,,,,,
2001-03-07,41.14,,,,,,,,,,,,,
2001-03-08,41.41,,,,,,,,,,,,,
2001-03-09,41.23,,,,,,,,,,,,,
2001-03-12,40.5,,,,,,,,,,,,,
2001-03-13,40.0,,,,,,,,,,,,,
2001-03-14,39.5,,,,,,,,,,,,,
2001-03-15,39.91,,,,,,,,,,,,,
2001-03-16,39.42,,,,,,,,,,,,,
2001-03-19,39.11,,,,,,,,,,,,,
2001-03-20,39.43,,,,,,,,,,,,,
2001-03-21,39.3,,,,,,,,,,,,,
2001-03-22,38.09,,,,,,,,,,,,,
2001-03-23,38.0,,,,,,,,,,,,,
2001-03-26,39.16,,,,,,,,,,,,,
2001-03-27,39.65,,,,,,,,,,,,,
2001-03-28,39.75,,,,,,,,,,,,,
2001-03-29,40.53,,,,,,,,,,,,,
2001-03-30,40.95,,,,,,,,,,,,,
2001-04-02,41.44,,,,,,,,,,,,,
2001-04-03,41.53,,,,,,,,,,,,,
2001-04-04,41.8,,,,,,,,,,,,,
2001-04-05,41.65,,,,,,,,,,,,,
2001-04-06,40.69,,,,,,,,,,,,,
2001-04-09,41.61,,,,,,,,,,,,,
2001-04-10,42.45,,,,,,,,,,,,,
2001-04-11,41.9,,,,,,,,,,,,,
2001-04-12,41.56,,,,,,,,,,,,,
