date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2014-06-25,8.75,,,,,,,,,,,,,
2014-06-26,10.01,,,,,,,,,,,,,
2014-06-27,10.5,,,,,,,,,,,,,
2014-06-30,10.01,,,,,,,,,,,,,
2014-07-01,9.75,,,,,,,,,,,,,
2014-07-02,9.14,,,,,,,,,,,,,
2014-07-03,9.07,,,,,,,,,,,,,
2014-07-07,8.75,,,,,,,,,,,,,
2014-07-08,9.0,,,,,,,,,,,,,
2014-07-09,9.05,,,,,,,,,,,,,
2014-07-10,8.69,,,,,,,,,,,,,
2014-07-11,9.29,,,,,,,,,,,,,
2014-07-14,9.83,,,,,,,,,,,,,
2014-07-15,9.49,,,,,,,,,,,,,
2014-07-16,9.65,,,,,,,,,,,,,
2014-07-17,9.58,,,,,,,,,,,,,
2014-07-18,9.55,,,,,,,,,,,,,
2014-07-21,9.35,,,,,,,,,,,,,
2014-07-22,9.5,,,,,,,,,,,,,
2014-07-23,9.14,,,,,,,,,,,,,
2014-07-24,9.22,,,,,,,,,,,,,
2014-07-25,8.98,,,,,,,,,,,,,
2014-07-28,8.97,,,,,,,,,,,,,
2014-07-29,9.12,,,,,,,,,,,,,
2014-07-30,9.04,,,,,,,,,,,,,
2014-07-31,8.88,,,,,,,,,,,,,
2014-08-01,8.84,,,,,,,,,,,,,
2014-08-04,8.83,,,,,,,,,,,,,
2014-08-05,8.75,,,,,,,,,,,,,
2014-08-06,9.44,,,,,,,,,,,,,
2014-08-07,9.45,,,,,,,,,,,,,
2014-08-08,10.0,,,,,,,,,,,,,
2014-08-11,10.0,,,,,,,,,,,,,
2014-08-12,10.2,,,,,,,,,,,,,
2014-08-13,10.15,,,,,,,,,,,,,
2014-08-14,10.13,,,,,,,,,,,,,
2014-08-15,10.15,,,,,,,,,,,,,
2014-08-18,10.02,,,,,,,,,,,,,
2014-08-19,10.01,,,,,,,,,,,,,
2014-08-20,10.08,,,,,,,,,,,,,
2014-08-21,10.07,,,,,,,,,,,,,
2014-08-22,10.12,,,,,,,,,,,,,
2014-08-25,11.46,,,,,,,,,,,,,
2014-08-26,11.5,,,,,,,,,,,,,
2014-08-27,11.36,,,,,,,,,,,,,
2014-08-28,11.58,,,,,,,,,,,,,
2014-08-29,12.09,,,,,,,,,,,,,
2014-09-02,12.0,,,,,,,,,,,,,
2014-09-03,11.99,,,,,,,,,,,,,
2014-09-04,11.86,,,,,,,,,,,,,
2014-09-05,11.92,,,,,,,,,,,,,
2014-09-08,11.91,,,,,,,,,,,,,
2014-09-09,11.97,,,,,,,,,,,,,
2014-09-10,12.23,,,,,,,,,,,,,
2014-09-11,12.14,,,,,,,,,,,,,
2014-09-12,11.91,,,,,,,,,,,,,
2014-09-15,12.19,,,,,,,,,,,,,
2014-09-16,12.18,,,,,,,,,,,,,
2014-09-17,11.99,,,,,,,,,,,,,
2014-09-18,11.96,,,,,,,,,,,,,
2014-09-19,11.28,,,,,,,,,,,,,
2014-09-22,10.95,,,,,,,,,,,,,
2014-09-23,11.49,,,,,,,,,,,,,
2014-09-24,12.0,,,,,,,,,,,,,
2014-09-25,12.0,,,,,,,,,,,,,
2014-09-26,11.83,,,,,,,,,,,,,
2014-09-29,11.96,,,,,,,,,,,,,
2014-09-30,11.65,,,,,,,,,,,,,
2014-10-01,11.12,,,,,,,,,,,,,
2014-10-02,11.15,,,,,,,,,,,,,
2014-10-03,11.41,,,,,,,,,,,,,
2014-10-06,11.35,,,,,,,,,,,,,
2014-10-07,10.91,,,,,,,,,,,,,
2014-10-08,11.0,,,,,,,,,,,,,
2014-10-09,11.02,,,,,,,,,,,,,
2014-10-10,10.94,,,,,,,,,,,,,
2014-10-13,11.03,,,,,,,,,,,,,
2014-10-14,10.99,,,,,,,,,,,,,
2014-10-15,10.49,,,,,,,,,,,,,
2014-10-16,10.97,,,,,,,,,,,,,
2014-10-17,10.39,,,,,,,,,,,,,
2014-10-20,10.31,,,,,,,,,,,,,
2014-10-21,10.22,,,,,,,,,,,,,
2014-10-22,10.17,,,,,,,,,,,,,
2014-10-23,10.09,,,,,,,,,,,,,
2014-10-24,10.07,,,,,,,,,,,,,
2014-10-27,10.14,,,,,,,,,,,,,
2014-10-28,10.21,,,,,,,,,,,,,
2014-10-29,9.96,,,,,,,,,,,,,
2014-10-30,9.94,,,,,,,,,,,,,
2014-10-31,10.14,,,,,,,,,,,,,
2014-11-03,10.0,,,,,,,,,,,,,
2014-11-04,10.0,,,,,,,,,,,,,
2014-11-05,9.95,,,,,,,,,,,,,
2014-11-06,10.17,,,,,,,,,,,,,
2014-11-07,10.09,,,,,,,,,,,,,
2014-11-10,10.03,,,,,,,,,,,,,
2014-11-11,9.93,,,,,,,,,,,,,
2014-11-12,10.05,,,,,,,,,,,,,
2014-11-13,10.63,,,,,,,,,,,,,
2014-11-14,10.25,,,,,,,,,,,,,
2014-11-17,10.32,,,,,,,,,,,,,
2014-11-18,10.37,,,,,,,,,,,,,
2014-11-19,10.21,,,,,,,,,,,,,
2014-11-20,10.48,,,,,,,,,,,,,
2014-11-21,10.56,,,,,,,,,,,,,
2014-11-24,10.6,,,,,,,,,,,,,
2014-11-25,10.62,,,,,,,,,,,,,
2014-11-26,10.61,,,,,,,,,,,,,
2014-11-28,10.43,,,,,,,,,,,,,
2014-12-01,10.88,,,,,,,,,,,,,
2014-12-02,11.0,,,,,,,,,,,,,
2014-12-03,11.43,,,,,,,,,,,,,
2014-12-04,11.84,,,,,,,,,,,,,
2014-12-05,12.13,,,,,,,,,,,,,
2014-12-08,12.39,,,,,,,,,,,,,
2014-12-09,12.03,,,,,,,,,,,,,
2014-12-10,11.91,,,,,,,,,,,,,
2014-12-11,11.71,,,,,,,,,,,,,
2014-12-12,11.73,,,,,,,,,,,,,
2014-12-15,11.03,,,,,,,,,,,,,
2014-12-16,11.28,,,,,,,,,,,,,
2014-12-17,11.94,,,,,,,,,,,,,
2014-12-18,11.9,,,,,,,,,,,,,
2014-12-19,12.04,,,,,,,,,,,,,
2014-12-22,12.2,,,,,,,,,,,,,
2014-12-23,11.83,,,,,,,,,,,,,
2014-12-24,11.74,,,,,,,,,,,,,
2014-12-26,11.84,,,,,,,,,,,,,
2014-12-29,11.72,,,,,,,,,,,,,
2014-12-30,11.51,,,,,,,,,,,,,
2014-12-31,11.61,,,,,,,,,,,,,
2015-01-02,11.84,,,,,,,,,,,,,
2015-01-05,11.83,,,,,,,,,,,,,
2015-01-06,11.81,,,,,,,,,,,,,
2015-01-07,12.78,,,,,,,,,,,,,
2015-01-08,12.25,,,,,,,,,,,,,
2015-01-09,11.98,,,,,,,,,,,,,
2015-01-12,12.0,,,,,,,,,,,,,
2015-01-13,11.85,,,,,,,,,,,,,
2015-01-14,11.99,,,,,,,,,,,,,
2015-01-15,11.31,,,,,,,,,,,,,
2015-01-16,11.92,,,,,,,,,,,,,
2015-01-20,11.9,,,,,,,,,,,,,
2015-01-21,11.7,,,,,,,,,,,,,
2015-01-22,11.73,,,,,,,,,,,,,
2015-01-23,11.77,,,,,,,,,,,,,
2015-01-26,12.24,,,,,,,,,,,,,
2015-01-27,12.47,,,,,,,,,,,,,
2015-01-28,12.21,,,,,,,,,,,,,
2015-01-29,12.51,,,,,,,,,,,,,
2015-01-30,12.13,,,,,,,,,,,,,
2015-02-02,12.49,,,,,,,,,,,,,
2015-02-03,12.37,,,,,,,,,,,,,
2015-02-04,12.8,,,,,,,,,,,,,
2015-02-05,12.9,,,,,,,,,,,,,
2015-02-06,12.75,,,,,,,,,,,,,
2015-02-09,13.03,,,,,,,,,,,,,
2015-02-10,12.98,,,,,,,,,,,,,
2015-02-11,12.9,,,,,,,,,,,,,
2015-02-12,12.74,,,,,,,,,,,,,
2015-02-13,12.76,,,,,,,,,,,,,
2015-02-17,12.83,,,,,,,,,,,,,
2015-02-18,12.74,,,,,,,,,,,,,
2015-02-19,12.86,,,,,,,,,,,,,
2015-02-20,12.85,,,,,,,,,,,,,
2015-02-23,13.55,,,,,,,,,,,,,
2015-02-24,13.6,,,,,,,,,,,,,
2015-02-25,13.64,,,,,,,,,,,,,
2015-02-26,13.85,,,,,,,,,,,,,
2015-02-27,14.0,,,,,,,,,,,,,
2015-03-02,14.04,,,,,,,,,,,,,
2015-03-03,14.02,,,,,,,,,,,,,
2015-03-04,14.49,,,,,,,,,,,,,
2015-03-05,14.5,,,,,,,,,,,,,
2015-03-06,14.78,,,,,,,,,,,,,
2015-03-09,14.97,,,,,,,,,,,,,
2015-03-10,14.99,,,,,,,,,,,,,
2015-03-11,14.86,,,,,,,,,,,,,
2015-03-12,15.46,,,,,,,,,,,,,
2015-03-13,15.51,,,,,,,,,,,,,
2015-03-16,15.27,,,,,,,,,,,,,
2015-03-17,15.15,,,,,,,,,,,,,
2015-03-18,14.82,,,,,,,,,,,,,
2015-03-19,14.44,,,,,,,,,,,,,
2015-03-20,14.74,,,,,,,,,,,,,
2015-03-23,15.36,,,,,,,,,,,,,
2015-03-24,15.33,,,,,,,,,,,,,
2015-03-25,14.42,,,,,,,,,,,,,
2015-03-26,14.95,,,,,,,,,,,,,
2015-03-27,15.43,,,,,,,,,,,,,
2015-03-30,14.96,,,,,,,,,,,,,
2015-03-31,14.96,,,,,,,,,,,,,
2015-04-01,15.02,,,,,,,,,,,,,
2015-04-02,14.95,,,,,,,,,,,,,
2015-04-06,15.05,,,,,,,,,,,,,
2015-04-07,14.85,,,,,,,,,,,,,
2015-04-08,15.09,,,,,,,,,,,,,
2015-04-09,14.99,,,,,,,,,,,,,
2015-04-10,15.34,,,,,,,,,,,,,
2015-04-13,15.24,,,,,,,,,,,,,
2015-04-14,15.22,,,,,,,,,,,,,
2015-04-15,15.28,,,,,,,,,,,,,
2015-04-16,15.31,,,,,,,,,,,,,
2015-04-17,15.11,,,,,,,,,,,,,
2015-04-20,15.1,,,,,,,,,,,,,
2015-04-21,15.21,,,,,,,,,,,,,
2015-04-22,15.08,,,,,,,,,,,,,
2015-04-23,15.29,,,,,,,,,,,,,
2015-04-24,15.25,,,,,,,,,,,,,
2015-04-27,15.03,,,,,,,,,,,,,
2015-04-28,14.96,,,,,,,,,,,,,
2015-04-29,15.05,,,,,,,,,,,,,
2015-04-30,14.46,,,,,,,,,,,,,
2015-05-01,14.6,,,,,,,,,,,,,
2015-05-04,14.61,,,,,,,,,,,,,
2015-05-05,14.12,,,,,,,,,,,,,
2015-05-06,13.8,,,,,,,,,,,,,
2015-05-07,13.8,,,,,,,,,,,,,
2015-05-08,13.9,,,,,,,,,,,,,
2015-05-11,14.62,,,,,,,,,,,,,
2015-05-12,14.4,,,,,,,,,,,,,
2015-05-13,15.21,,,,,,,,,,,,,
2015-05-14,15.41,,,,,,,,,,,,,
2015-05-15,15.27,,,,,,,,,,,,,
2015-05-18,15.14,,,,,,,,,,,,,
2015-05-19,14.89,,,,,,,,,,,,,
2015-05-20,14.79,,,,,,,,,,,,,
2015-05-21,14.67,,,,,,,,,,,,,
2015-05-22,14.8,,,,,,,,,,,,,
2015-05-26,14.79,,,,,,,,,,,,,
2015-05-27,15.11,,,,,,,,,,,,,
2015-05-28,15.13,,,,,,,,,,,,,
2015-05-29,15.34,,,,,,,,,,,,,
2015-06-01,15.53,,,,,,,,,,,,,
2015-06-02,15.79,,,,,,,,,,,,,
2015-06-03,16.48,,,,,,,,,,,,,
2015-06-04,16.47,,,,,,,,,,,,,
2015-06-05,16.45,,,,,,,,,,,,,
2015-06-08,16.56,,,,,,,,,,,,,
2015-06-09,16.24,,,,,,,,,,,,,
2015-06-10,16.43,,,,,,,,,,,,,
2015-06-11,16.6,,,,,,,,,,,,,
2015-06-12,16.14,,,,,,,,,,,,,
2015-06-15,16.19,,,,,,,,,,,,,
2015-06-16,16.37,,,,,,,,,,,,,
2015-06-17,16.4,,,,,,,,,,,,,
2015-06-18,17.0,,,,,,,,,,,,,
2015-06-19,17.28,,,,,,,,,,,,,
2015-06-22,17.7,,,,,,,,,,,,,
2015-06-23,17.96,,,,,,,,,,,,,
2015-06-24,18.0,,,,,,,,,,,,,
2015-06-25,18.19,,,,,,,,,,,,,
2015-06-26,17.9,,,,,,,,,,,,,
2015-06-29,17.33,,,,,,,,,,,,,
2015-06-30,17.58,,,,,,,,,,,,,
2015-07-01,17.5,,,,,,,,,,,,,
2015-07-02,17.24,,,,,,,,,,,,,
2015-07-06,17.34,,,,,,,,,,,,,
2015-07-07,17.28,,,,,,,,,,,,,
2015-07-08,17.05,,,,,,,,,,,,,
2015-07-09,17.33,,,,,,,,,,,,,
2015-07-10,17.61,,,,,,,,,,,,,
2015-07-13,17.93,,,,,,,,,,,,,
2015-07-14,17.58,,,,,,,,,,,,,
2015-07-15,17.76,,,,,,,,,,,,,
2015-07-16,17.54,,,,,,,,,,,,,
2015-07-17,17.38,,,,,,,,,,,,,
2015-07-20,17.26,,,,,,,,,,,,,
2015-07-21,17.13,,,,,,,,,,,,,
2015-07-22,17.18,,,,,,,,,,,,,
2015-07-23,17.0,,,,,,,,,,,,,
2015-07-24,16.55,,,,,,,,,,,,,
2015-07-27,16.81,,,,,,,,,,,,,
2015-07-28,16.51,,,,,,,,,,,,,
2015-07-29,15.83,,,,,,,,,,,,,
2015-07-30,15.75,,,,,,,,,,,,,
2015-07-31,16.26,,,,,,,,,,,,,
2015-08-03,16.23,,,,,,,,,,,,,
2015-08-04,16.09,,,,,,,,,,,,,
2015-08-05,16.17,,,,,,,,,,,,,
2015-08-06,15.4,,,,,,,,,,,,,
2015-08-07,15.07,,,,,,,,,,,,,
2015-08-10,15.48,,,,,,,,,,,,,
2015-08-11,15.32,,,,,,,,,,,,,
2015-08-12,15.22,,,,,,,,,,,,,
2015-08-13,14.92,,,,,,,,,,,,,
2015-08-14,14.64,,,,,,,,,,,,,
2015-08-17,14.81,,,,,,,,,,,,,
2015-08-18,14.61,,,,,,,,,,,,,
2015-08-19,14.11,,,,,,,,,,,,,
2015-08-20,13.88,,,,,,,,,,,,,
2015-08-21,13.79,,,,,,,,,,,,,
2015-08-24,13.02,,,,,,,,,,,,,
2015-08-25,12.64,,,,,,,,,,,,,
2015-08-26,13.53,,,,,,,,,,,,,
2015-08-27,13.81,,,,,,,,,,,,,
2015-08-28,13.39,,,,,,,,,,,,,
2015-08-31,12.87,,,,,,,,,,,,,
2015-09-01,13.28,,,,,,,,,,,,,
2015-09-02,13.59,,,,,,,,,,,,,
2015-09-03,13.22,,,,,,,,,,,,,
2015-09-04,13.33,,,,,,,,,,,,,
2015-09-08,14.36,,,,,,,,,,,,,
2015-09-09,13.79,,,,,,,,,,,,,
2015-09-10,13.77,,,,,,,,,,,,,
2015-09-11,14.53,,,,,,,,,,,,,
2015-09-14,14.4,,,,,,,,,,,,,
2015-09-15,14.44,,,,,,,,,,,,,
2015-09-16,14.11,,,,,,,,,,,,,
2015-09-17,14.41,,,,,,,,,,,,,
2015-09-18,14.73,,,,,,,,,,,,,
2015-09-21,13.86,,,,,,,,,,,,,
2015-09-22,13.21,,,,,,,,,,,,,
2015-09-23,12.85,,,,,,,,,,,,,
2015-09-24,12.42,,,,,,,,,,,,,
2015-09-25,11.4,,,,,,,,,,,,,
2015-09-28,10.98,,,,,,,,,,,,,
2015-09-29,10.78,,,,,,,,,,,,,
