date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2025-06-23,51.99,,,,,,,,,,,,,
2025-06-24,53.0,,,,,,,,,,,,,
2025-06-25,50.25,,,,,,,,,,,,,
2025-06-26,48.89,,,,,,,,,,,,,
2025-06-27,49.01,,,,,,,,,,,,,
2025-06-30,49.55,,,,,,,,,,,,,
2025-07-01,49.67,,,,,,,,,,,,,
2025-07-02,49.95,,,,,,,,,,,,,
2025-07-03,49.89,,,,,,,,,,,,,
2025-07-07,50.54,,,,,,,,,,,,,
2025-07-08,50.15,,,,,,,,,,,,,
2025-07-09,51.29,,,,,,,,,,,,,
2025-07-10,50.98,,,,,,,,,,,,,
2025-07-11,50.4,,,,,,,,,,,,,
2025-07-14,50.57,,,,,,,,,,,,,
2025-07-15,51.02,,,,,,,,,,,,,
2025-07-16,50.96,,,,,,,,,,,,,
2025-07-17,50.48,,,,,,,,,,,,,
2025-07-18,49.6,,,,,,,,,,,,,
2025-07-21,49.68,,,,,,,,,,,,,
2025-07-22,50.28,,,,,,,,,,,,,
2025-07-23,51.47,,,,,,,,,,,,,
2025-07-24,51.13,,,,,,,,,,,,,
2025-07-25,51.34,,,,,,,,,,,,,
2025-07-28,51.13,,,,,,,,,,,,,
2025-07-29,52.05,,,,,,,,,,,,,
2025-07-30,52.02,,,,,,,,,,,,,
2025-07-31,51.12,,,,,,,,,,,,,
2025-08-01,51.01,,,,,,,,,,,,,
2025-08-04,50.78,,,,,,,,,,,,,
2025-08-05,50.19,,,,,,,,,,,,,
2025-08-06,50.01,,,,,,,,,,,,,
2025-08-07,46.65,,,,,,,,,,,,,
2025-08-08,47.67,,,,,,,,,,,,,
2025-08-11,47.36,,,,,,,,,,,,,
2025-08-12,48.57,,,,,,,,,,,,,
2025-08-13,51.56,,,,,,,,,,,,,
2025-08-14,51.48,,,,,,,,,,,,,
2025-08-15,51.38,,,,,,,,,,,,,
2025-08-18,50.49,,,,,,,,,,,,,
2025-08-19,50.96,,,,,,,,,,,,,
2025-08-20,49.3,,,,,,,,,,,,,
2025-08-21,49.44,,,,,,,,,,,,,
2025-08-22,51.24,,,,,,,,,,,,,
2025-08-25,51.15,,,,,,,,,,,,,
2025-08-26,51.96,,,,,,,,,,,,,
2025-08-27,51.96,,,,,,,,,,,,,
2025-08-28,52.05,,,,,,,,,,,,,
2025-08-29,52.01,,,,,,,,,,,,,
2025-09-02,52.67,,,,,,,,,,,,,
2025-09-03,51.85,,,,,,,,,,,,,
2025-09-04,52.24,,,,,,,,,,,,,
2025-09-05,53.64,,,,,,,,,,,,,
2025-09-08,55.07,,,,,,,,,,,,,
2025-09-09,54.38,,,,,,,,,,,,,
2025-09-10,53.89,,,,,,,,,,,,,
2025-09-11,55.63,,,,,,,,,,,,,
2025-09-12,55.06,,,,,,,,,,,,,
2025-09-15,54.37,,,,,,,,,,,,,
2025-09-16,54.59,,,,,,,,,,,,,
2025-09-17,53.8,,,,,,,,,,,,,
2025-09-18,52.22,,,,,,,,,,,,,
2025-09-19,50.4,,,,,,,,,,,,,
2025-09-22,50.52,,,,,,,,,,,,,
2025-09-23,50.26,,,,,,,,,,,,,
2025-09-24,48.63,,,,,,,,,,,,,
2025-09-25,47.36,,,,,,,,,,,,,
2025-09-26,47.67,,,,,,,,,,,,,
2025-09-29,47.95,,,,,,,,,,,,,
2025-09-30,48.53,,,,,,,,,,,,,
2025-10-01,48.44,,,,,,,,,,,,,
2025-10-02,48.21,,,,,,,,,,,,,
2025-10-03,48.72,,,,,,,,,,,,,
2025-10-06,48.34,,,,,,,,,,,,,
2025-10-07,47.13,,,,,,,,,,,,,
2025-10-08,48.95,,,,,,,,,,,,,
2025-10-09,48.12,,,,,,,,,,,,,
2025-10-10,46.96,,,,,,,,,,,,,
2025-10-13,47.62,,,,,,,,,,,,,
2025-10-14,49.04,,,,,,,,,,,,,
2025-10-15,48.47,,,,,,,,,,,,,
2025-10-16,48.34,,,,,,,,,,,,,
2025-10-17,48.6,,,,,,,,,,,,,
2025-10-20,48.79,,,,,,,,,,,,,
2025-10-21,49.04,,,,,,,,,,,,,
2025-10-22,47.99,,,,,,,,,,,,,
2025-10-23,48.4,,,,,,,,,,,,,
2025-10-24,49.57,,,,,,,,,,,,,
2025-10-27,49.88,,,,,,,,,,,,,
2025-10-28,50.44,,,,,,,,,,,,,
2025-10-29,52.85,,,,,,,,,,,,,
2025-10-30,51.97,,,,,,,,,,,,,
2025-10-31,51.84,,,,,,,,,,,,,
2025-11-03,51.12,,,,,,,,,,,,,
2025-11-04,50.97,,,,,,,,,,,,,
2025-11-05,50.83,,,,,,,,,,,,,
2025-11-06,49.72,,,,,,,,,,,,,
2025-11-07,49.44,,,,,,,,,,,,,
2025-11-10,48.74,,,,,,,,,,,,,
2025-11-11,49.72,,,,,,,,,,,,,
2025-11-12,50.03,,,,,,,,,,,,,
2025-11-13,49.75,,,,,,,,,,,,,
2025-11-14,48.82,,,,,,,,,,,,,
2025-11-17,48.06,,,,,,,,,,,,,
2025-11-18,47.6,,,,,,,,,,,,,
2025-11-19,47.5,,,,,,,,,,,,,
2025-11-20,47.14,,,,,,,,,,,,,
2025-11-21,48.15,,,,,,,,,,,,,
2025-11-24,49.08,,,,,,,,,,,,,
2025-11-25,50.78,,,,,,,,,,,,,
2025-11-26,50.2,,,,,,,,,,,,,
2025-11-28,51.51,,,,,,,,,,,,,
2025-12-01,52.04,,,,,,,,,,,,,
2025-12-02,51.42,,,,,,,,,,,,,
2025-12-03,52.62,,,,,,,,,,,,,
2025-12-04,52.74,,,,,,,,,,,,,
2025-12-05,54.74,,,,,,,,,,,,,
2025-12-08,53.33,,,,,,,,,,,,,
2025-12-09,53.51,,,,,,,,,,,,,
2025-12-10,54.53,,,,,,,,,,,,,
2025-12-11,56.33,,,,,,,,,,,,,
2025-12-12,56.26,,,,,,,,,,,,,
2025-12-15,56.49,,,,,,,,,,,,,
2025-12-16,55.41,,,,,,,,,,,,,
2025-12-17,53.54,,,,,,,,,,,,,
2025-12-18,54.53,,,,,,,,,,,,,
2025-12-19,54.27,,,,,,,,,,,,,
2025-12-22,55.47,,,,,,,,,,,,,
2025-12-23,55.63,,,,,,,,,,,,,
