date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2024-07-18,16.06,,,,,,,,,,,,,
2024-07-19,17.3,,,,,,,,,,,,,
2024-07-22,16.55,,,,,,,,,,,,,
2024-07-23,16.83,,,,,,,,,,,,,
2024-07-24,16.75,,,,,,,,,,,,,
2024-07-25,17.1,,,,,,,,,,,,,
2024-07-26,17.24,,,,,,,,,,,,,
2024-07-29,17.41,,,,,,,,,,,,,
2024-07-30,17.02,,,,,,,,,,,,,
2024-07-31,17.87,,,,,,,,,,,,,
2024-08-01,17.97,,,,,,,,,,,,,
2024-08-02,17.32,,,,,,,,,,,,,
2024-08-05,16.57,,,,,,,,,,,,,
2024-08-06,16.19,,,,,,,,,,,,,
2024-08-07,15.95,,,,,,,,,,,,,
2024-08-08,16.07,,,,,,,,,,,,,
2024-08-09,15.64,,,,,,,,,,,,,
2024-08-12,16.13,,,,,,,,,,,,,
2024-08-13,16.01,,,,,,,,,,,,,
2024-08-14,16.0,,,,,,,,,,,,,
2024-08-15,16.97,,,,,,,,,,,,,
2024-08-16,16.94,,,,,,,,,,,,,
2024-08-19,17.5,,,,,,,,,,,,,
2024-08-20,17.35,,,,,,,,,,,,,
2024-08-21,16.91,,,,,,,,,,,,,
2024-08-22,17.02,,,,,,,,,,,,,
2024-08-23,17.27,,,,,,,,,,,,,
2024-08-26,17.52,,,,,,,,,,,,,
2024-08-27,18.58,,,,,,,,,,,,,
2024-08-28,18.8,,,,,,,,,,,,,
2024-08-29,19.71,,,,,,,,,,,,,
2024-08-30,19.83,,,,,,,,,,,,,
2024-09-03,19.3,,,,,,,,,,,,,
2024-09-04,19.67,,,,,,,,,,,,,
2024-09-05,19.58,,,,,,,,,,,,,
2024-09-06,19.19,,,,,,,,,,,,,
2024-09-09,18.22,,,,,,,,,,,,,
2024-09-10,18.31,,,,,,,,,,,,,
2024-09-11,18.52,,,,,,,,,,,,,
2024-09-12,17.94,,,,,,,,,,,,,
2024-09-13,18.15,,,,,,,,,,,,,
2024-09-16,17.55,,,,,,,,,,,,,
2024-09-17,17.22,,,,,,,,,,,,,
2024-09-18,17.08,,,,,,,,,,,,,
2024-09-19,17.97,,,,,,,,,,,,,
2024-09-20,18.28,,,,,,,,,,,,,
2024-09-23,19.07,,,,,,,,,,,,,
2024-09-24,19.35,,,,,,,,,,,,,
2024-09-25,19.34,,,,,,,,,,,,,
2024-09-26,19.1,,,,,,,,,,,,,
2024-09-27,18.3,,,,,,,,,,,,,
2024-09-30,18.38,,,,,,,,,,,,,
2024-10-01,18.91,,,,,,,,,,,,,
2024-10-02,19.06,,,,,,,,,,,,,
2024-10-03,17.76,,,,,,,,,,,,,
2024-10-04,17.99,,,,,,,,,,,,,
2024-10-07,17.63,,,,,,,,,,,,,
2024-10-08,17.62,,,,,,,,,,,,,
2024-10-09,18.0,,,,,,,,,,,,,
2024-10-10,18.12,,,,,,,,,,,,,
2024-10-11,18.98,,,,,,,,,,,,,
2024-10-14,18.87,,,,,,,,,,,,,
2024-10-15,19.35,,,,,,,,,,,,,
2024-10-16,20.19,,,,,,,,,,,,,
2024-10-17,19.5,,,,,,,,,,,,,
2024-10-18,19.54,,,,,,,,,,,,,
2024-10-21,18.66,,,,,,,,,,,,,
2024-10-22,19.34,,,,,,,,,,,,,
2024-10-23,19.3,,,,,,,,,,,,,
2024-10-24,17.9,,,,,,,,,,,,,
2024-10-25,17.74,,,,,,,,,,,,,
2024-10-28,18.04,,,,,,,,,,,,,
2024-10-29,18.7,,,,,,,,,,,,,
2024-10-30,18.47,,,,,,,,,,,,,
2024-10-31,17.4,,,,,,,,,,,,,
2024-11-01,17.7,,,,,,,,,,,,,
2024-11-04,17.59,,,,,,,,,,,,,
2024-11-05,18.05,,,,,,,,,,,,,
2024-11-06,16.27,,,,,,,,,,,,,
2024-11-07,17.54,,,,,,,,,,,,,
2024-11-08,16.37,,,,,,,,,,,,,
2024-11-11,17.31,,,,,,,,,,,,,
2024-11-12,17.14,,,,,,,,,,,,,
2024-11-13,17.0,,,,,,,,,,,,,
2024-11-14,17.81,,,,,,,,,,,,,
2024-11-15,16.61,,,,,,,,,,,,,
2024-11-18,17.0,,,,,,,,,,,,,
2024-11-19,16.64,,,,,,,,,,,,,
2024-11-20,16.44,,,,,,,,,,,,,
2024-11-21,15.8,,,,,,,,,,,,,
2024-11-22,15.83,,,,,,,,,,,,,
2024-11-25,16.41,,,,,,,,,,,,,
2024-11-26,16.15,,,,,,,,,,,,,
2024-11-27,15.94,,,,,,,,,,,,,
2024-11-29,15.98,,,,,,,,,,,,,
2024-12-02,16.35,,,,,,,,,,,,,
2024-12-03,16.41,,,,,,,,,,,,,
2024-12-04,16.83,,,,,,,,,,,,,
2024-12-05,16.0,,,,,,,,,,,,,
2024-12-06,16.65,,,,,,,,,,,,,
2024-12-09,16.52,,,,,,,,,,,,,
2024-12-10,16.68,,,,,,,,,,,,,
2024-12-11,16.94,,,,,,,,,,,,,
2024-12-12,16.7,,,,,,,,,,,,,
