date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,22.38,,,,,,,,,,,,,
1999-11-02,23.75,,,,,,,,,,,,,
1999-11-03,25.19,,,,,,,,,,,,,
1999-11-04,27.13,,,,,,,,,,,,,
1999-11-05,27.63,,,,,,,,,,,,,
1999-11-08,26.88,,,,,,,,,,,,,
1999-11-09,26.5,,,,,,,,,,,,,
1999-11-10,25.75,,,,,,,,,,,,,
1999-11-11,25.5,,,,,,,,,,,,,
1999-11-12,24.63,,,,,,,,,,,,,
1999-11-15,25.75,,,,,,,,,,,,,
1999-11-16,26.06,,,,,,,,,,,,,
1999-11-17,25.38,,,,,,,,,,,,,
1999-11-18,25.56,,,,,,,,,,,,,
1999-11-19,25.25,,,,,,,,,,,,,
1999-11-22,25.13,,,,,,,,,,,,,
1999-11-23,25.0,,,,,,,,,,,,,
1999-11-24,25.0,,,,,,,,,,,,,
1999-11-26,24.88,,,,,,,,,,,,,
1999-11-29,24.81,,,,,,,,,,,,,
1999-11-30,24.88,,,,,,,,,,,,,
1999-12-01,24.81,,,,,,,,,,,,,
1999-12-02,23.81,,,,,,,,,,,,,
1999-12-03,24.0,,,,,,,,,,,,,
1999-12-06,24.31,,,,,,,,,,,,,
1999-12-07,23.94,,,,,,,,,,,,,
1999-12-08,24.25,,,,,,,,,,,,,
1999-12-09,24.06,,,,,,,,,,,,,
1999-12-10,23.94,,,,,,,,,,,,,
1999-12-13,24.19,,,,,,,,,,,,,
1999-12-14,21.75,,,,,,,,,,,,,
1999-12-15,15.25,,,,,,,,,,,,,
1999-12-16,17.19,,,,,,,,,,,,,
1999-12-17,17.38,,,,,,,,,,,,,
1999-12-20,16.81,,,,,,,,,,,,,
1999-12-21,16.94,,,,,,,,,,,,,
1999-12-22,17.06,,,,,,,,,,,,,
1999-12-23,17.63,,,,,,,,,,,,,
1999-12-27,17.47,,,,,,,,,,,,,
1999-12-28,18.09,,,,,,,,,,,,,
1999-12-29,18.13,,,,,,,,,,,,,
1999-12-30,17.56,,,,,,,,,,,,,
1999-12-31,18.81,,,,,,,,,,,,,
2000-01-03,17.56,,,,,,,,,,,,,
2000-01-04,16.75,,,,,,,,,,,,,
2000-01-05,17.88,,,,,,,,,,,,,
2000-01-06,20.63,,,,,,,,,,,,,
2000-01-07,22.38,,,,,,,,,,,,,
2000-01-10,23.5,,,,,,,,,,,,,
2000-01-11,23.41,,,,,,,,,,,,,
2000-01-12,23.59,,,,,,,,,,,,,
2000-01-13,25.56,,,,,,,,,,,,,
2000-01-14,24.63,,,,,,,,,,,,,
2000-01-18,23.0,,,,,,,,,,,,,
2000-01-19,25.69,,,,,,,,,,,,,
2000-01-20,24.69,,,,,,,,,,,,,
2000-01-21,22.13,,,,,,,,,,,,,
2000-01-24,22.69,,,,,,,,,,,,,
2000-01-25,22.88,,,,,,,,,,,,,
2000-01-26,23.88,,,,,,,,,,,,,
2000-01-27,23.75,,,,,,,,,,,,,
2000-01-28,23.44,,,,,,,,,,,,,
2000-01-31,23.75,,,,,,,,,,,,,
2000-02-01,24.5,,,,,,,,,,,,,
2000-02-02,25.94,,,,,,,,,,,,,
2000-02-03,26.0,,,,,,,,,,,,,
2000-02-04,27.75,,,,,,,,,,,,,
2000-02-07,27.56,,,,,,,,,,,,,
2000-02-08,27.75,,,,,,,,,,,,,
2000-02-09,27.44,,,,,,,,,,,,,
2000-02-10,28.06,,,,,,,,,,,,,
2000-02-11,28.06,,,,,,,,,,,,,
2000-02-14,27.63,,,,,,,,,,,,,
2000-02-15,27.44,,,,,,,,,,,,,
2000-02-16,25.12,,,,,,,,,,,,,
2000-02-17,27.19,,,,,,,,,,,,,
2000-02-18,26.0,,,,,,,,,,,,,
2000-02-22,26.94,,,,,,,,,,,,,
2000-02-23,26.22,,,,,,,,,,,,,
2000-02-24,26.06,,,,,,,,,,,,,
2000-02-25,26.13,,,,,,,,,,,,,
2000-02-28,26.13,,,,,,,,,,,,,
2000-02-29,26.63,,,,,,,,,,,,,
2000-03-01,26.0,,,,,,,,,,,,,
2000-03-02,24.81,,,,,,,,,,,,,
2000-03-03,27.0,,,,,,,,,,,,,
2000-03-06,25.5,,,,,,,,,,,,,
2000-03-07,26.06,,,,,,,,,,,,,
2000-03-08,25.94,,,,,,,,,,,,,
2000-03-09,26.75,,,,,,,,,,,,,
2000-03-10,25.13,,,,,,,,,,,,,
2000-03-13,25.25,,,,,,,,,,,,,
2000-03-14,24.38,,,,,,,,,,,,,
2000-03-15,25.5,,,,,,,,,,,,,
2000-03-16,26.13,,,,,,,,,,,,,
2000-03-17,26.38,,,,,,,,,,,,,
2000-03-20,25.81,,,,,,,,,,,,,
2000-03-21,26.19,,,,,,,,,,,,,
2000-03-22,26.5,,,,,,,,,,,,,
2000-03-23,26.0,,,,,,,,,,,,,
2000-03-24,26.12,,,,,,,,,,,,,
2000-03-27,22.63,,,,,,,,,,,,,
2000-03-28,24.38,,,,,,,,,,,,,
2000-03-29,25.5,,,,,,,,,,,,,
2000-03-30,24.63,,,,,,,,,,,,,
2000-03-31,26.56,,,,,,,,,,,,,
2000-04-03,26.5,,,,,,,,,,,,,
2000-04-04,26.28,,,,,,,,,,,,,
2000-04-05,26.5,,,,,,,,,,,,,
2000-04-06,26.88,,,,,,,,,,,,,
2000-04-07,27.25,,,,,,,,,,,,,
2000-04-10,26.88,,,,,,,,,,,,,
2000-04-11,27.5,,,,,,,,,,,,,
2000-04-12,27.81,,,,,,,,,,,,,
2000-04-13,27.88,,,,,,,,,,,,,
2000-04-14,26.63,,,,,,,,,,,,,
2000-04-17,26.75,,,,,,,,,,,,,
2000-04-18,29.0,,,,,,,,,,,,,
2000-04-19,29.88,,,,,,,,,,,,,
2000-04-20,24.0,,,,,,,,,,,,,
2000-04-24,24.38,,,,,,,,,,,,,
2000-04-25,24.88,,,,,,,,,,,,,
2000-04-26,24.69,,,,,,,,,,,,,
2000-04-27,24.38,,,,,,,,,,,,,
2000-04-28,25.13,,,,,,,,,,,,,
2000-05-01,24.69,,,,,,,,,,,,,
2000-05-02,24.75,,,,,,,,,,,,,
2000-05-03,23.88,,,,,,,,,,,,,
2000-05-04,23.75,,,,,,,,,,,,,
2000-05-05,24.13,,,,,,,,,,,,,
2000-05-08,23.25,,,,,,,,,,,,,
2000-05-09,23.25,,,,,,,,,,,,,
2000-05-10,22.81,,,,,,,,,,,,,
2000-05-11,23.88,,,,,,,,,,,,,
2000-05-12,24.63,,,,,,,,,,,,,
2000-05-15,24.0,,,,,,,,,,,,,
2000-05-16,25.75,,,,,,,,,,,,,
2000-05-17,25.69,,,,,,,,,,,,,
2000-05-18,24.75,,,,,,,,,,,,,
2000-05-19,23.88,,,,,,,,,,,,,
2000-05-22,25.13,,,,,,,,,,,,,
2000-05-23,24.31,,,,,,,,,,,,,
2000-05-24,24.5,,,,,,,,,,,,,
2000-05-25,24.19,,,,,,,,,,,,,
2000-05-26,24.59,,,,,,,,,,,,,
2000-05-30,24.58,,,,,,,,,,,,,
2000-05-31,25.25,,,,,,,,,,,,,
2000-06-01,27.31,,,,,,,,,,,,,
2000-06-02,27.81,,,,,,,,,,,,,
2000-06-05,27.69,,,,,,,,,,,,,
2000-06-06,27.38,,,,,,,,,,,,,
2000-06-07,26.06,,,,,,,,,,,,,
2000-06-08,26.31,,,,,,,,,,,,,
2000-06-09,25.94,,,,,,,,,,,,,
2000-06-12,25.56,,,,,,,,,,,,,
2000-06-13,25.06,,,,,,,,,,,,,
2000-06-14,24.81,,,,,,,,,,,,,
2000-06-15,26.13,,,,,,,,,,,,,
2000-06-16,25.94,,,,,,,,,,,,,
2000-06-19,25.69,,,,,,,,,,,,,
2000-06-20,25.44,,,,,,,,,,,,,
2000-06-21,24.94,,,,,,,,,,,,,
2000-06-22,24.0,,,,,,,,,,,,,
2000-06-23,23.44,,,,,,,,,,,,,
2000-06-26,25.75,,,,,,,,,,,,,
2000-06-27,24.81,,,,,,,,,,,,,
2000-06-28,25.63,,,,,,,,,,,,,
2000-06-29,24.56,,,,,,,,,,,,,
2000-06-30,25.38,,,,,,,,,,,,,
2000-07-03,25.5,,,,,,,,,,,,,
2000-07-05,25.06,,,,,,,,,,,,,
2000-07-06,25.06,,,,,,,,,,,,,
2000-07-07,25.0,,,,,,,,,,,,,
2000-07-10,25.0,,,,,,,,,,,,,
2000-07-11,25.38,,,,,,,,,,,,,
2000-07-12,25.13,,,,,,,,,,,,,
2000-07-13,25.06,,,,,,,,,,,,,
2000-07-14,25.0,,,,,,,,,,,,,
2000-07-17,24.0,,,,,,,,,,,,,
2000-07-18,23.0,,,,,,,,,,,,,
2000-07-19,21.56,,,,,,,,,,,,,
2000-07-20,20.56,,,,,,,,,,,,,
2000-07-21,19.38,,,,,,,,,,,,,
2000-07-24,19.5,,,,,,,,,,,,,
2000-07-25,19.0,,,,,,,,,,,,,
2000-07-26,19.63,,,,,,,,,,,,,
2000-07-27,18.88,,,,,,,,,,,,,
2000-07-28,18.31,,,,,,,,,,,,,
2000-07-31,19.47,,,,,,,,,,,,,
2000-08-01,18.5,,,,,,,,,,,,,
2000-08-02,18.88,,,,,,,,,,,,,
2000-08-03,19.25,,,,,,,,,,,,,
2000-08-04,18.63,,,,,,,,,,,,,
2000-08-07,18.81,,,,,,,,,,,,,
2000-08-08,18.94,,,,,,,,,,,,,
2000-08-09,19.19,,,,,,,,,,,,,
2000-08-10,18.94,,,,,,,,,,,,,
2000-08-11,20.31,,,,,,,,,,,,,
2000-08-14,20.31,,,,,,,,,,,,,
2000-08-15,20.38,,,,,,,,,,,,,
2000-08-16,20.0,,,,,,,,,,,,,
2000-08-17,20.06,,,,,,,,,,,,,
2000-08-18,20.03,,,,,,,,,,,,,
2000-08-21,20.0,,,,,,,,,,,,,
2000-08-22,20.0,,,,,,,,,,,,,
2000-08-23,20.0,,,,,,,,,,,,,
2000-08-24,19.88,,,,,,,,,,,,,
2000-08-25,19.25,,,,,,,,,,,,,
2000-08-28,19.25,,,,,,,,,,,,,
2000-08-29,19.44,,,,,,,,,,,,,
2000-08-30,19.5,,,,,,,,,,,,,
2000-08-31,19.63,,,,,,,,,,,,,
2000-09-01,19.19,,,,,,,,,,,,,
2000-09-05,19.69,,,,,,,,,,,,,
2000-09-06,19.25,,,,,,,,,,,,,
2000-09-07,19.38,,,,,,,,,,,,,
2000-09-08,19.19,,,,,,,,,,,,,
2000-09-11,19.19,,,,,,,,,,,,,
2000-09-12,18.94,,,,,,,,,,,,,
2000-09-13,17.5,,,,,,,,,,,,,
2000-09-14,17.94,,,,,,,,,,,,,
2000-09-15,17.44,,,,,,,,,,,,,
2000-09-18,16.19,,,,,,,,,,,,,
2000-09-19,11.81,,,,,,,,,,,,,
2000-09-20,11.81,,,,,,,,,,,,,
2000-09-21,11.38,,,,,,,,,,,,,
2000-09-22,10.06,,,,,,,,,,,,,
2000-09-25,11.0,,,,,,,,,,,,,
2000-09-26,10.13,,,,,,,,,,,,,
2000-09-27,9.938,,,,,,,,,,,,,
2000-09-28,10.38,,,,,,,,,,,,,
2000-09-29,10.94,,,,,,,,,,,,,
2000-10-02,10.56,,,,,,,,,,,,,
2000-10-03,9.5,,,,,,,,,,,,,
2000-10-04,10.06,,,,,,,,,,,,,
2000-10-05,10.13,,,,,,,,,,,,,
2000-10-06,10.06,,,,,,,,,,,,,
2000-10-09,9.938,,,,,,,,,,,,,
2000-10-10,9.688,,,,,,,,,,,,,
2000-10-11,9.25,,,,,,,,,,,,,
2000-10-12,8.813,,,,,,,,,,,,,
2000-10-13,8.813,,,,,,,,,,,,,
2000-10-16,8.563,,,,,,,,,,,,,
2000-10-17,8.75,,,,,,,,,,,,,
2000-10-18,9.0,,,,,,,,,,,,,
2000-10-19,8.75,,,,,,,,,,,,,
2000-10-20,8.656,,,,,,,,,,,,,
2000-10-23,8.5,,,,,,,,,,,,,
2000-10-24,9.0,,,,,,,,,,,,,
2000-10-25,8.438,,,,,,,,,,,,,
2000-10-26,8.5,,,,,,,,,,,,,
2000-10-27,8.875,,,,,,,,,,,,,
2000-10-30,8.922,,,,,,,,,,,,,
2000-10-31,10.31,,,,,,,,,,,,,
2000-11-01,10.38,,,,,,,,,,,,,
2000-11-02,10.88,,,,,,,,,,,,,
2000-11-03,10.75,,,,,,,,,,,,,
2000-11-06,11.69,,,,,,,,,,,,,
2000-11-07,10.44,,,,,,,,,,,,,
2000-11-08,10.98,,,,,,,,,,,,,
2000-11-09,10.38,,,,,,,,,,,,,
2000-11-10,10.0,,,,,,,,,,,,,
2000-11-13,10.0,,,,,,,,,,,,,
2000-11-14,9.969,,,,,,,,,,,,,
2000-11-15,10.88,,,,,,,,,,,,,
2000-11-16,10.75,,,,,,,,,,,,,
2000-11-17,11.06,,,,,,,,,,,,,
2000-11-20,11.28,,,,,,,,,,,,,
2000-11-21,10.69,,,,,,,,,,,,,
2000-11-22,10.31,,,,,,,,,,,,,
2000-11-24,10.44,,,,,,,,,,,,,
2000-11-27,11.31,,,,,,,,,,,,,
2000-11-28,10.88,,,,,,,,,,,,,
2000-11-29,10.75,,,,,,,,,,,,,
2000-11-30,10.94,,,,,,,,,,,,,
2000-12-01,11.0,,,,,,,,,,,,,
2000-12-04,10.81,,,,,,,,,,,,,
2000-12-05,10.88,,,,,,,,,,,,,
2000-12-06,10.63,,,,,,,,,,,,,
2000-12-07,11.13,,,,,,,,,,,,,
2000-12-08,10.25,,,,,,,,,,,,,
2000-12-11,10.69,,,,,,,,,,,,,
2000-12-12,10.56,,,,,,,,,,,,,
2000-12-13,10.75,,,,,,,,,,,,,
2000-12-14,10.63,,,,,,,,,,,,,
2000-12-15,11.19,,,,,,,,,,,,,
2000-12-18,10.5,,,,,,,,,,,,,
2000-12-19,10.64,,,,,,,,,,,,,
2000-12-20,10.81,,,,,,,,,,,,,
2000-12-21,11.0,,,,,,,,,,,,,
2000-12-22,11.06,,,,,,,,,,,,,
2000-12-26,12.31,,,,,,,,,,,,,
2000-12-27,13.44,,,,,,,,,,,,,
2000-12-28,13.34,,,,,,,,,,,,,
2000-12-29,13.19,,,,,,,,,,,,,
2001-01-02,12.97,,,,,,,,,,,,,
2001-01-03,13.13,,,,,,,,,,,,,
2001-01-04,12.75,,,,,,,,,,,,,
2001-01-05,12.81,,,,,,,,,,,,,
2001-01-08,13.06,,,,,,,,,,,,,
2001-01-09,12.75,,,,,,,,,,,,,
2001-01-10,12.81,,,,,,,,,,,,,
2001-01-11,12.88,,,,,,,,,,,,,
2001-01-12,13.31,,,,,,,,,,,,,
2001-01-16,13.44,,,,,,,,,,,,,
2001-01-17,13.19,,,,,,,,,,,,,
2001-01-18,13.0,,,,,,,,,,,,,
2001-01-19,13.0,,,,,,,,,,,,,
2001-01-22,12.88,,,,,,,,,,,,,
2001-01-23,13.0,,,,,,,,,,,,,
2001-01-24,13.0,,,,,,,,,,,,,
2001-01-25,12.69,,,,,,,,,,,,,
2001-01-26,12.75,,,,,,,,,,,,,
2001-01-29,14.38,,,,,,,,,,,,,
2001-01-30,14.19,,,,,,,,,,,,,
2001-01-31,14.25,,,,,,,,,,,,,
2001-02-01,14.0,,,,,,,,,,,,,
2001-02-02,13.94,,,,,,,,,,,,,
2001-02-05,14.0,,,,,,,,,,,,,
2001-02-06,13.75,,,,,,,,,,,,,
2001-02-07,13.97,,,,,,,,,,,,,
2001-02-08,13.88,,,,,,,,,,,,,
2001-02-09,13.63,,,,,,,,,,,,,
2001-02-12,14.59,,,,,,,,,,,,,
2001-02-13,14.5,,,,,,,,,,,,,
2001-02-14,14.63,,,,,,,,,,,,,
