date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2013-12-11,30.07,,,,,,,,,,,,,
2013-12-12,29.26,,,,,,,,,,,,,
2013-12-13,28.5,,,,,,,,,,,,,
2013-12-16,28.0,,,,,,,,,,,,,
2013-12-17,27.1,,,,,,,,,,,,,
2013-12-18,28.2,,,,,,,,,,,,,
2013-12-19,27.76,,,,,,,,,,,,,
2013-12-20,27.22,,,,,,,,,,,,,
2013-12-23,29.25,,,,,,,,,,,,,
2013-12-24,28.97,,,,,,,,,,,,,
2013-12-26,33.81,,,,,,,,,,,,,
2013-12-27,34.91,,,,,,,,,,,,,
2013-12-30,35.87,,,,,,,,,,,,,
2013-12-31,36.59,,,,,,,,,,,,,
2014-01-02,34.99,,,,,,,,,,,,,
2014-01-03,33.24,,,,,,,,,,,,,
2014-01-06,31.43,,,,,,,,,,,,,
2014-01-07,31.6,,,,,,,,,,,,,
2014-01-08,33.04,,,,,,,,,,,,,
2014-01-09,31.73,,,,,,,,,,,,,
2014-01-10,31.06,,,,,,,,,,,,,
2014-01-13,31.73,,,,,,,,,,,,,
2014-01-14,31.67,,,,,,,,,,,,,
2014-01-15,36.32,,,,,,,,,,,,,
2014-01-16,36.62,,,,,,,,,,,,,
2014-01-17,37.53,,,,,,,,,,,,,
2014-01-21,35.81,,,,,,,,,,,,,
2014-01-22,35.07,,,,,,,,,,,,,
2014-01-23,31.99,,,,,,,,,,,,,
2014-01-24,32.06,,,,,,,,,,,,,
2014-01-27,29.44,,,,,,,,,,,,,
2014-01-28,30.01,,,,,,,,,,,,,
2014-01-29,29.42,,,,,,,,,,,,,
2014-01-30,30.61,,,,,,,,,,,,,
2014-01-31,32.46,,,,,,,,,,,,,
2014-02-03,32.66,,,,,,,,,,,,,
2014-02-04,32.04,,,,,,,,,,,,,
2014-02-05,31.5,,,,,,,,,,,,,
2014-02-06,30.78,,,,,,,,,,,,,
2014-02-07,30.91,,,,,,,,,,,,,
2014-02-10,31.02,,,,,,,,,,,,,
2014-02-11,30.92,,,,,,,,,,,,,
2014-02-12,31.56,,,,,,,,,,,,,
2014-02-13,33.73,,,,,,,,,,,,,
2014-02-14,34.4,,,,,,,,,,,,,
2014-02-18,36.21,,,,,,,,,,,,,
2014-02-19,36.38,,,,,,,,,,,,,
2014-02-20,35.26,,,,,,,,,,,,,
2014-02-21,35.37,,,,,,,,,,,,,
2014-02-24,34.45,,,,,,,,,,,,,
2014-02-25,36.13,,,,,,,,,,,,,
2014-02-26,38.34,,,,,,,,,,,,,
2014-02-27,43.21,,,,,,,,,,,,,
2014-02-28,41.2,,,,,,,,,,,,,
2014-03-03,41.38,,,,,,,,,,,,,
2014-03-04,47.99,,,,,,,,,,,,,
2014-03-05,51.76,,,,,,,,,,,,,
2014-03-06,50.72,,,,,,,,,,,,,
2014-03-07,48.54,,,,,,,,,,,,,
2014-03-10,44.84,,,,,,,,,,,,,
2014-03-11,41.95,,,,,,,,,,,,,
2014-03-12,43.39,,,,,,,,,,,,,
2014-03-13,42.26,,,,,,,,,,,,,
2014-03-14,41.44,,,,,,,,,,,,,
2014-03-17,41.84,,,,,,,,,,,,,
2014-03-18,45.24,,,,,,,,,,,,,
2014-03-19,45.63,,,,,,,,,,,,,
2014-03-20,44.42,,,,,,,,,,,,,
2014-03-21,41.77,,,,,,,,,,,,,
2014-03-24,39.99,,,,,,,,,,,,,
2014-03-25,41.06,,,,,,,,,,,,,
2014-03-26,38.38,,,,,,,,,,,,,
2014-03-27,36.62,,,,,,,,,,,,,
2014-03-28,37.57,,,,,,,,,,,,,
2014-03-31,38.41,,,,,,,,,,,,,
2014-04-01,39.85,,,,,,,,,,,,,
2014-04-02,40.23,,,,,,,,,,,,,
2014-04-03,38.49,,,,,,,,,,,,,
2014-04-04,36.76,,,,,,,,,,,,,
2014-04-07,33.51,,,,,,,,,,,,,
2014-04-08,36.09,,,,,,,,,,,,,
2014-04-09,35.89,,,,,,,,,,,,,
2014-04-10,35.06,,,,,,,,,,,,,
2014-04-11,34.0,,,,,,,,,,,,,
2014-04-14,33.94,,,,,,,,,,,,,
2014-04-15,31.34,,,,,,,,,,,,,
2014-04-16,35.64,,,,,,,,,,,,,
2014-04-17,34.94,,,,,,,,,,,,,
2014-04-21,35.21,,,,,,,,,,,,,
2014-04-22,37.18,,,,,,,,,,,,,
2014-04-23,36.35,,,,,,,,,,,,,
2014-04-24,33.59,,,,,,,,,,,,,
2014-04-25,32.5,,,,,,,,,,,,,
2014-04-28,33.15,,,,,,,,,,,,,
2014-04-29,33.59,,,,,,,,,,,,,
2014-04-30,32.03,,,,,,,,,,,,,
2014-05-01,33.0,,,,,,,,,,,,,
2014-05-02,34.4,,,,,,,,,,,,,
2014-05-05,34.4,,,,,,,,,,,,,
2014-05-06,31.7,,,,,,,,,,,,,
2014-05-07,29.43,,,,,,,,,,,,,
2014-05-08,29.0,,,,,,,,,,,,,
2014-05-09,29.38,,,,,,,,,,,,,
2014-05-12,34.35,,,,,,,,,,,,,
2014-05-13,31.37,,,,,,,,,,,,,
2014-05-14,32.76,,,,,,,,,,,,,
2014-05-15,32.84,,,,,,,,,,,,,
2014-05-16,32.8,,,,,,,,,,,,,
2014-05-19,33.85,,,,,,,,,,,,,
2014-05-20,34.08,,,,,,,,,,,,,
2014-05-21,36.41,,,,,,,,,,,,,
2014-05-22,35.938,,,,,,,,,,,,,
2014-05-23,35.04,,,,,,,,,,,,,
2014-05-27,35.14,,,,,,,,,,,,,
2014-05-28,35.24,,,,,,,,,,,,,
2014-05-29,34.85,,,,,,,,,,,,,
2014-05-30,34.7,,,,,,,,,,,,,
2014-06-02,33.01,,,,,,,,,,,,,
2014-06-03,33.88,,,,,,,,,,,,,
2014-06-04,33.01,,,,,,,,,,,,,
2014-06-05,34.5,,,,,,,,,,,,,
2014-06-06,35.71,,,,,,,,,,,,,
2014-06-09,35.38,,,,,,,,,,,,,
2014-06-10,34.64,,,,,,,,,,,,,
2014-06-11,34.51,,,,,,,,,,,,,
