date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2019-05-17,14.5,,,,,,,,,,,,,
2019-05-20,15.41,,,,,,,,,,,,,
2019-05-21,16.7,,,,,,,,,,,,,
2019-05-22,17.3,,,,,,,,,,,,,
2019-05-23,17.4,,,,,,,,,,,,,
2019-05-24,17.32,,,,,,,,,,,,,
2019-05-28,17.7,,,,,,,,,,,,,
2019-05-29,17.45,,,,,,,,,,,,,
2019-05-30,17.31,,,,,,,,,,,,,
2019-05-31,17.5,,,,,,,,,,,,,
2019-06-03,17.58,,,,,,,,,,,,,
2019-06-04,17.5,,,,,,,,,,,,,
2019-06-05,17.35,,,,,,,,,,,,,
2019-06-06,17.05,,,,,,,,,,,,,
2019-06-07,17.2,,,,,,,,,,,,,
2019-06-10,17.3,,,,,,,,,,,,,
2019-06-11,17.6,,,,,,,,,,,,,
2019-06-12,18.19,,,,,,,,,,,,,
2019-06-13,18.62,,,,,,,,,,,,,
2019-06-14,18.8,,,,,,,,,,,,,
2019-06-17,18.62,,,,,,,,,,,,,
2019-06-18,18.8,,,,,,,,,,,,,
2019-06-19,18.8,,,,,,,,,,,,,
2019-06-20,18.91,,,,,,,,,,,,,
2019-06-21,19.04,,,,,,,,,,,,,
2019-06-24,19.05,,,,,,,,,,,,,
2019-06-25,18.7,,,,,,,,,,,,,
2019-06-26,18.69,,,,,,,,,,,,,
2019-06-27,18.56,,,,,,,,,,,,,
2019-06-28,19.09,,,,,,,,,,,,,
2019-07-01,18.74,,,,,,,,,,,,,
2019-07-02,18.75,,,,,,,,,,,,,
2019-07-03,18.94,,,,,,,,,,,,,
2019-07-05,19.18,,,,,,,,,,,,,
2019-07-08,18.97,,,,,,,,,,,,,
2019-07-09,18.43,,,,,,,,,,,,,
2019-07-10,18.34,,,,,,,,,,,,,
2019-07-11,18.54,,,,,,,,,,,,,
2019-07-12,18.33,,,,,,,,,,,,,
2019-07-15,17.73,,,,,,,,,,,,,
2019-07-16,17.16,,,,,,,,,,,,,
2019-07-17,17.0,,,,,,,,,,,,,
2019-07-18,17.54,,,,,,,,,,,,,
2019-07-19,18.41,,,,,,,,,,,,,
2019-07-22,18.45,,,,,,,,,,,,,
2019-07-23,18.44,,,,,,,,,,,,,
2019-07-24,18.45,,,,,,,,,,,,,
2019-07-25,18.43,,,,,,,,,,,,,
2019-07-26,18.01,,,,,,,,,,,,,
2019-07-29,17.87,,,,,,,,,,,,,
2019-07-30,17.71,,,,,,,,,,,,,
2019-07-31,17.59,,,,,,,,,,,,,
2019-08-01,17.24,,,,,,,,,,,,,
2019-08-02,16.61,,,,,,,,,,,,,
2019-08-05,16.01,,,,,,,,,,,,,
2019-08-06,16.98,,,,,,,,,,,,,
2019-08-07,16.69,,,,,,,,,,,,,
2019-08-08,17.01,,,,,,,,,,,,,
2019-08-09,16.85,,,,,,,,,,,,,
2019-08-12,16.3,,,,,,,,,,,,,
2019-08-13,16.33,,,,,,,,,,,,,
2019-08-14,15.73,,,,,,,,,,,,,
2019-08-15,15.97,,,,,,,,,,,,,
2019-08-16,16.53,,,,,,,,,,,,,
2019-08-19,16.92,,,,,,,,,,,,,
2019-08-20,17.13,,,,,,,,,,,,,
2019-08-21,17.71,,,,,,,,,,,,,
2019-08-22,17.8,,,,,,,,,,,,,
2019-08-23,17.32,,,,,,,,,,,,,
2019-08-26,17.0,,,,,,,,,,,,,
2019-08-27,17.03,,,,,,,,,,,,,
2019-08-28,16.92,,,,,,,,,,,,,
2019-08-29,17.54,,,,,,,,,,,,,
2019-08-30,17.5,,,,,,,,,,,,,
2019-09-03,17.26,,,,,,,,,,,,,
2019-09-04,17.24,,,,,,,,,,,,,
2019-09-05,17.18,,,,,,,,,,,,,
2019-09-06,17.04,,,,,,,,,,,,,
2019-09-09,16.25,,,,,,,,,,,,,
2019-09-10,15.56,,,,,,,,,,,,,
2019-09-11,15.4,,,,,,,,,,,,,
2019-09-12,15.22,,,,,,,,,,,,,
2019-09-13,14.93,,,,,,,,,,,,,
2019-09-16,15.3,,,,,,,,,,,,,
2019-09-17,16.04,,,,,,,,,,,,,
2019-09-18,15.5,,,,,,,,,,,,,
2019-09-19,15.61,,,,,,,,,,,,,
2019-09-20,15.39,,,,,,,,,,,,,
2019-09-23,15.54,,,,,,,,,,,,,
2019-09-24,15.26,,,,,,,,,,,,,
2019-09-25,14.76,,,,,,,,,,,,,
2019-09-26,13.85,,,,,,,,,,,,,
2019-09-27,13.89,,,,,,,,,,,,,
2019-09-30,14.7,,,,,,,,,,,,,
2019-10-01,14.1,,,,,,,,,,,,,
2019-10-02,13.63,,,,,,,,,,,,,
2019-10-03,14.01,,,,,,,,,,,,,
2019-10-04,14.51,,,,,,,,,,,,,
2019-10-07,14.55,,,,,,,,,,,,,
2019-10-08,14.13,,,,,,,,,,,,,
2019-10-09,14.29,,,,,,,,,,,,,
2019-10-10,14.06,,,,,,,,,,,,,
2019-10-11,13.87,,,,,,,,,,,,,
2019-10-14,14.2,,,,,,,,,,,,,
2019-10-15,13.78,,,,,,,,,,,,,
2019-10-16,13.94,,,,,,,,,,,,,
2019-10-17,13.96,,,,,,,,,,,,,
2019-10-18,14.33,,,,,,,,,,,,,
2019-10-21,14.12,,,,,,,,,,,,,
2019-10-22,13.92,,,,,,,,,,,,,
2019-10-23,14.04,,,,,,,,,,,,,
2019-10-24,13.99,,,,,,,,,,,,,
2019-10-25,14.04,,,,,,,,,,,,,
2019-10-28,14.08,,,,,,,,,,,,,
2019-10-29,14.05,,,,,,,,,,,,,
2019-10-30,14.32,,,,,,,,,,,,,
2019-10-31,14.21,,,,,,,,,,,,,
2019-11-01,14.95,,,,,,,,,,,,,
2019-11-04,14.99,,,,,,,,,,,,,
2019-11-05,14.85,,,,,,,,,,,,,
2019-11-06,15.4,,,,,,,,,,,,,
2019-11-07,15.3,,,,,,,,,,,,,
2019-11-08,14.36,,,,,,,,,,,,,
2019-11-11,14.4,,,,,,,,,,,,,
2019-11-12,14.9,,,,,,,,,,,,,
2019-11-13,15.61,,,,,,,,,,,,,
2019-11-14,15.98,,,,,,,,,,,,,
2019-11-15,16.2,,,,,,,,,,,,,
2019-11-18,15.51,,,,,,,,,,,,,
2019-11-19,15.88,,,,,,,,,,,,,
2019-11-20,16.06,,,,,,,,,,,,,
2019-11-21,16.4,,,,,,,,,,,,,
2019-11-22,17.16,,,,,,,,,,,,,
2019-11-25,17.01,,,,,,,,,,,,,
2019-11-26,17.05,,,,,,,,,,,,,
2019-11-27,17.09,,,,,,,,,,,,,
2019-11-29,17.13,,,,,,,,,,,,,
2019-12-02,16.93,,,,,,,,,,,,,
2019-12-03,16.49,,,,,,,,,,,,,
2019-12-04,17.45,,,,,,,,,,,,,
2019-12-05,17.6,,,,,,,,,,,,,
2019-12-06,18.21,,,,,,,,,,,,,
2019-12-09,18.12,,,,,,,,,,,,,
2019-12-10,18.5,,,,,,,,,,,,,
2019-12-11,18.52,,,,,,,,,,,,,
2019-12-12,18.34,,,,,,,,,,,,,
2019-12-13,18.12,,,,,,,,,,,,,
2019-12-16,18.56,,,,,,,,,,,,,
2019-12-17,18.53,,,,,,,,,,,,,
2019-12-18,18.25,,,,,,,,,,,,,
2019-12-19,17.82,,,,,,,,,,,,,
2019-12-20,17.99,,,,,,,,,,,,,
2019-12-23,18.22,,,,,,,,,,,,,
2019-12-24,18.15,,,,,,,,,,,,,
2019-12-26,18.14,,,,,,,,,,,,,
2019-12-27,18.21,,,,,,,,,,,,,
2019-12-30,18.05,,,,,,,,,,,,,
2019-12-31,18.15,,,,,,,,,,,,,
2020-01-02,18.45,,,,,,,,,,,,,
2020-01-03,18.4,,,,,,,,,,,,,
2020-01-06,18.49,,,,,,,,,,,,,
2020-01-07,18.88,,,,,,,,,,,,,
2020-01-08,18.67,,,,,,,,,,,,,
2020-01-09,18.14,,,,,,,,,,,,,
2020-01-10,18.2,,,,,,,,,,,,,
2020-01-13,18.18,,,,,,,,,,,,,
2020-01-14,17.74,,,,,,,,,,,,,
2020-01-15,18.47,,,,,,,,,,,,,
2020-01-16,18.95,,,,,,,,,,,,,
2020-01-17,19.2,,,,,,,,,,,,,
2020-01-21,19.13,,,,,,,,,,,,,
2020-01-22,18.94,,,,,,,,,,,,,
2020-01-23,18.77,,,,,,,,,,,,,
2020-01-24,18.7,,,,,,,,,,,,,
2020-01-27,18.24,,,,,,,,,,,,,
2020-01-28,18.5,,,,,,,,,,,,,
2020-01-29,18.78,,,,,,,,,,,,,
2020-01-30,18.55,,,,,,,,,,,,,
2020-01-31,18.47,,,,,,,,,,,,,
2020-02-03,18.6,,,,,,,,,,,,,
