date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,60.94,,,,,,,,,,,,,
1999-11-02,60.94,,,,,,,,,,,,,
1999-11-03,61.69,,,,,,,,,,,,,
1999-11-04,61.13,,,,,,,,,,,,,
1999-11-05,62.81,,,,,,,,,,,,,
1999-11-08,62.75,,,,,,,,,,,,,
1999-11-09,61.56,,,,,,,,,,,,,
1999-11-10,61.13,,,,,,,,,,,,,
1999-11-11,62.31,,,,,,,,,,,,,
1999-11-12,62.44,,,,,,,,,,,,,
1999-11-15,62.63,,,,,,,,,,,,,
1999-11-16,62.0,,,,,,,,,,,,,
1999-11-17,62.0,,,,,,,,,,,,,
1999-11-18,63.19,,,,,,,,,,,,,
1999-11-19,61.75,,,,,,,,,,,,,
1999-11-22,60.69,,,,,,,,,,,,,
1999-11-23,60.25,,,,,,,,,,,,,
1999-11-24,59.75,,,,,,,,,,,,,
1999-11-26,59.63,,,,,,,,,,,,,
1999-11-29,59.0,,,,,,,,,,,,,
1999-11-30,59.38,,,,,,,,,,,,,
1999-12-01,58.81,,,,,,,,,,,,,
1999-12-02,59.31,,,,,,,,,,,,,
1999-12-03,59.5,,,,,,,,,,,,,
1999-12-06,58.94,,,,,,,,,,,,,
1999-12-07,58.75,,,,,,,,,,,,,
1999-12-08,58.75,,,,,,,,,,,,,
1999-12-09,59.38,,,,,,,,,,,,,
1999-12-10,61.69,,,,,,,,,,,,,
1999-12-13,61.56,,,,,,,,,,,,,
1999-12-14,62.69,,,,,,,,,,,,,
1999-12-15,63.81,,,,,,,,,,,,,
1999-12-16,64.94,,,,,,,,,,,,,
1999-12-17,67.88,,,,,,,,,,,,,
1999-12-20,67.81,,,,,,,,,,,,,
1999-12-21,67.94,,,,,,,,,,,,,
1999-12-22,68.75,,,,,,,,,,,,,
1999-12-23,68.38,,,,,,,,,,,,,
1999-12-27,69.25,,,,,,,,,,,,,
1999-12-28,70.06,,,,,,,,,,,,,
1999-12-29,71.88,,,,,,,,,,,,,
1999-12-30,71.81,,,,,,,,,,,,,
1999-12-31,72.88,,,,,,,,,,,,,
2000-01-03,71.38,,,,,,,,,,,,,
2000-01-04,70.44,,,,,,,,,,,,,
2000-01-05,73.0,,,,,,,,,,,,,
2000-01-06,75.31,,,,,,,,,,,,,
2000-01-07,75.56,,,,,,,,,,,,,
2000-01-10,78.0,,,,,,,,,,,,,
2000-01-11,77.56,,,,,,,,,,,,,
2000-01-12,76.88,,,,,,,,,,,,,
2000-01-13,76.25,,,,,,,,,,,,,
2000-01-14,76.5,,,,,,,,,,,,,
2000-01-18,74.94,,,,,,,,,,,,,
2000-01-19,68.69,,,,,,,,,,,,,
2000-01-20,66.5,,,,,,,,,,,,,
2000-01-21,69.5,,,,,,,,,,,,,
2000-01-24,67.31,,,,,,,,,,,,,
2000-01-25,68.25,,,,,,,,,,,,,
2000-01-26,68.88,,,,,,,,,,,,,
2000-01-27,68.44,,,,,,,,,,,,,
2000-01-28,66.5,,,,,,,,,,,,,
2000-01-31,67.75,,,,,,,,,,,,,
2000-02-01,67.06,,,,,,,,,,,,,
2000-02-02,66.63,,,,,,,,,,,,,
2000-02-03,66.06,,,,,,,,,,,,,
2000-02-04,67.13,,,,,,,,,,,,,
2000-02-07,65.81,,,,,,,,,,,,,
2000-02-08,65.75,,,,,,,,,,,,,
2000-02-09,64.63,,,,,,,,,,,,,
2000-02-10,65.0,,,,,,,,,,,,,
2000-02-11,63.44,,,,,,,,,,,,,
2000-02-14,65.69,,,,,,,,,,,,,
2000-02-15,67.5,,,,,,,,,,,,,
2000-02-16,65.69,,,,,,,,,,,,,
2000-02-17,66.94,,,,,,,,,,,,,
2000-02-18,63.25,,,,,,,,,,,,,
2000-02-22,64.69,,,,,,,,,,,,,
2000-02-23,64.5,,,,,,,,,,,,,
2000-02-24,61.88,,,,,,,,,,,,,
2000-02-25,60.75,,,,,,,,,,,,,
2000-02-28,59.94,,,,,,,,,,,,,
2000-02-29,60.69,,,,,,,,,,,,,
2000-03-01,58.69,,,,,,,,,,,,,
2000-03-02,60.13,,,,,,,,,,,,,
2000-03-03,63.38,,,,,,,,,,,,,
2000-03-06,58.44,,,,,,,,,,,,,
2000-03-07,55.31,,,,,,,,,,,,,
2000-03-08,57.38,,,,,,,,,,,,,
2000-03-09,59.69,,,,,,,,,,,,,
2000-03-10,60.5,,,,,,,,,,,,,
2000-03-13,58.94,,,,,,,,,,,,,
2000-03-14,58.06,,,,,,,,,,,,,
2000-03-15,62.81,,,,,,,,,,,,,
2000-03-16,67.69,,,,,,,,,,,,,
2000-03-17,63.31,,,,,,,,,,,,,
2000-03-20,64.0,,,,,,,,,,,,,
2000-03-21,64.0,,,,,,,,,,,,,
2000-03-22,62.13,,,,,,,,,,,,,
2000-03-23,64.56,,,,,,,,,,,,,
2000-03-24,60.62,,,,,,,,,,,,,
2000-03-27,58.44,,,,,,,,,,,,,
2000-03-28,57.44,,,,,,,,,,,,,
2000-03-29,58.94,,,,,,,,,,,,,
2000-03-30,60.94,,,,,,,,,,,,,
2000-03-31,61.06,,,,,,,,,,,,,
2000-04-03,59.44,,,,,,,,,,,,,
2000-04-04,59.38,,,,,,,,,,,,,
