date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2005-06-28,15.99,,,,,,,,,,,,,
2005-06-29,16.03,,,,,,,,,,,,,
2005-06-30,16.2,,,,,,,,,,,,,
2005-07-01,16.24,,,,,,,,,,,,,
2005-07-05,16.05,,,,,,,,,,,,,
2005-07-06,15.81,,,,,,,,,,,,,
2005-07-07,16.0,,,,,,,,,,,,,
2005-07-08,16.2,,,,,,,,,,,,,
2005-07-11,16.25,,,,,,,,,,,,,
2005-07-12,16.34,,,,,,,,,,,,,
2005-07-13,16.316,,,,,,,,,,,,,
2005-07-14,16.19,,,,,,,,,,,,,
2005-07-15,16.23,,,,,,,,,,,,,
2005-07-18,16.31,,,,,,,,,,,,,
2005-07-19,16.26,,,,,,,,,,,,,
2005-07-20,16.6099,,,,,,,,,,,,,
2005-07-21,16.53,,,,,,,,,,,,,
2005-07-22,16.6,,,,,,,,,,,,,
2005-07-25,16.61,,,,,,,,,,,,,
2005-07-26,17.9,,,,,,,,,,,,,
2005-07-27,18.85,,,,,,,,,,,,,
2005-07-28,20.18,,,,,,,,,,,,,
2005-07-29,20.0,,,,,,,,,,,,,
2005-08-01,19.84,,,,,,,,,,,,,
2005-08-02,19.77,,,,,,,,,,,,,
2005-08-03,19.57,,,,,,,,,,,,,
2005-08-04,19.82,,,,,,,,,,,,,
2005-08-05,19.62,,,,,,,,,,,,,
2005-08-08,18.54,,,,,,,,,,,,,
2005-08-09,18.99,,,,,,,,,,,,,
2005-08-10,19.08,,,,,,,,,,,,,
2005-08-11,18.9,,,,,,,,,,,,,
2005-08-12,18.47,,,,,,,,,,,,,
2005-08-15,19.18,,,,,,,,,,,,,
2005-08-16,19.198,,,,,,,,,,,,,
2005-08-17,18.91,,,,,,,,,,,,,
2005-08-18,19.46,,,,,,,,,,,,,
2005-08-19,19.45,,,,,,,,,,,,,
2005-08-22,19.36,,,,,,,,,,,,,
2005-08-23,19.27,,,,,,,,,,,,,
2005-08-24,19.33,,,,,,,,,,,,,
2005-08-25,18.86,,,,,,,,,,,,,
2005-08-26,18.24,,,,,,,,,,,,,
2005-08-29,18.88,,,,,,,,,,,,,
2005-08-30,18.79,,,,,,,,,,,,,
2005-08-31,20.3,,,,,,,,,,,,,
2005-09-01,21.56,,,,,,,,,,,,,
2005-09-02,22.0,,,,,,,,,,,,,
2005-09-06,22.35,,,,,,,,,,,,,
2005-09-07,21.57,,,,,,,,,,,,,
2005-09-08,21.04,,,,,,,,,,,,,
2005-09-09,21.28,,,,,,,,,,,,,
2005-09-12,20.7,,,,,,,,,,,,,
2005-09-13,20.53,,,,,,,,,,,,,
2005-09-14,20.9,,,,,,,,,,,,,
2005-09-15,21.68,,,,,,,,,,,,,
2005-09-16,21.83,,,,,,,,,,,,,
2005-09-19,22.15,,,,,,,,,,,,,
2005-09-20,21.82,,,,,,,,,,,,,
2005-09-21,21.46,,,,,,,,,,,,,
2005-09-22,22.5,,,,,,,,,,,,,
2005-09-23,22.39,,,,,,,,,,,,,
2005-09-26,22.98,,,,,,,,,,,,,
2005-09-27,22.46,,,,,,,,,,,,,
2005-09-28,22.8,,,,,,,,,,,,,
2005-09-29,22.58,,,,,,,,,,,,,
2005-09-30,22.33,,,,,,,,,,,,,
2005-10-03,23.04,,,,,,,,,,,,,
2005-10-04,23.35,,,,,,,,,,,,,
2005-10-05,22.15,,,,,,,,,,,,,
2005-10-06,21.18,,,,,,,,,,,,,
2005-10-07,21.62,,,,,,,,,,,,,
2005-10-10,21.15,,,,,,,,,,,,,
2005-10-11,20.49,,,,,,,,,,,,,
2005-10-12,19.12,,,,,,,,,,,,,
2005-10-13,19.07,,,,,,,,,,,,,
2005-10-14,19.41,,,,,,,,,,,,,
2005-10-17,20.1,,,,,,,,,,,,,
2005-10-18,19.73,,,,,,,,,,,,,
2005-10-19,20.37,,,,,,,,,,,,,
2005-10-20,19.53,,,,,,,,,,,,,
2005-10-21,20.72,,,,,,,,,,,,,
2005-10-24,20.8,,,,,,,,,,,,,
2005-10-25,21.5,,,,,,,,,,,,,
2005-10-26,21.48,,,,,,,,,,,,,
2005-10-27,19.57,,,,,,,,,,,,,
2005-10-28,19.5,,,,,,,,,,,,,
2005-10-31,19.55,,,,,,,,,,,,,
2005-11-01,19.56,,,,,,,,,,,,,
2005-11-02,19.88,,,,,,,,,,,,,
2005-11-03,19.74,,,,,,,,,,,,,
2005-11-04,19.29,,,,,,,,,,,,,
2005-11-07,18.91,,,,,,,,,,,,,
2005-11-08,17.86,,,,,,,,,,,,,
2005-11-09,18.0,,,,,,,,,,,,,
2005-11-10,18.21,,,,,,,,,,,,,
2005-11-11,18.7,,,,,,,,,,,,,
2005-11-14,18.65,,,,,,,,,,,,,
2005-11-15,18.54,,,,,,,,,,,,,
2005-11-16,18.09,,,,,,,,,,,,,
