date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,2.8,,,,,,,,,,,,,
1999-11-02,2.8,,,,,,,,,,,,,
1999-11-03,2.38,,,,,,,,,,,,,
1999-11-04,2.38,,,,,,,,,,,,,
1999-11-05,2.38,,,,,,,,,,,,,
1999-11-08,2.66,,,,,,,,,,,,,
1999-11-09,2.66,,,,,,,,,,,,,
1999-11-10,3.08,,,,,,,,,,,,,
1999-11-11,3.78,,,,,,,,,,,,,
1999-11-12,3.22,,,,,,,,,,,,,
1999-11-15,3.22,,,,,,,,,,,,,
1999-11-16,2.8,,,,,,,,,,,,,
1999-11-17,2.8,,,,,,,,,,,,,
1999-11-18,2.66,,,,,,,,,,,,,
1999-11-19,2.8,,,,,,,,,,,,,
1999-11-22,2.66,,,,,,,,,,,,,
1999-11-23,2.66,,,,,,,,,,,,,
1999-11-24,3.08,,,,,,,,,,,,,
1999-11-26,2.66,,,,,,,,,,,,,
1999-11-29,3.5,,,,,,,,,,,,,
1999-11-30,3.22,,,,,,,,,,,,,
1999-12-01,3.22,,,,,,,,,,,,,
1999-12-02,3.22,,,,,,,,,,,,,
1999-12-03,3.08,,,,,,,,,,,,,
1999-12-06,3.78,,,,,,,,,,,,,
1999-12-07,3.5,,,,,,,,,,,,,
1999-12-08,3.08,,,,,,,,,,,,,
1999-12-09,3.5,,,,,,,,,,,,,
1999-12-10,3.78,,,,,,,,,,,,,
1999-12-13,3.08,,,,,,,,,,,,,
1999-12-14,2.8,,,,,,,,,,,,,
1999-12-15,2.8,,,,,,,,,,,,,
1999-12-16,2.8,,,,,,,,,,,,,
1999-12-17,2.66,,,,,,,,,,,,,
1999-12-20,2.66,,,,,,,,,,,,,
1999-12-21,2.38,,,,,,,,,,,,,
1999-12-22,2.66,,,,,,,,,,,,,
1999-12-23,2.8,,,,,,,,,,,,,
1999-12-27,2.38,,,,,,,,,,,,,
1999-12-28,2.24,,,,,,,,,,,,,
1999-12-29,2.24,,,,,,,,,,,,,
1999-12-30,2.24,,,,,,,,,,,,,
1999-12-31,2.24,,,,,,,,,,,,,
2000-01-03,2.66,,,,,,,,,,,,,
2000-01-04,2.38,,,,,,,,,,,,,
2000-01-05,2.8,,,,,,,,,,,,,
2000-01-06,2.66,,,,,,,,,,,,,
2000-01-07,2.8,,,,,,,,,,,,,
2000-01-10,2.8,,,,,,,,,,,,,
2000-01-11,3.08,,,,,,,,,,,,,
2000-01-12,3.08,,,,,,,,,,,,,
2000-01-13,3.5,,,,,,,,,,,,,
2000-01-14,3.78,,,,,,,,,,,,,
2000-01-18,3.78,,,,,,,,,,,,,
2000-01-19,3.5,,,,,,,,,,,,,
2000-01-20,3.5,,,,,,,,,,,,,
2000-01-21,3.78,,,,,,,,,,,,,
2000-01-24,3.78,,,,,,,,,,,,,
2000-01-25,4.2,,,,,,,,,,,,,
2000-01-26,4.34,,,,,,,,,,,,,
2000-01-27,4.34,,,,,,,,,,,,,
2000-01-28,5.04,,,,,,,,,,,,,
2000-01-31,5.46,,,,,,,,,,,,,
2000-02-01,4.76,,,,,,,,,,,,,
2000-02-02,4.76,,,,,,,,,,,,,
2000-02-03,4.76,,,,,,,,,,,,,
2000-02-04,4.62,,,,,,,,,,,,,
2000-02-07,5.74,,,,,,,,,,,,,
2000-02-08,4.34,,,,,,,,,,,,,
2000-02-09,4.34,,,,,,,,,,,,,
2000-02-10,4.76,,,,,,,,,,,,,
2000-02-11,4.62,,,,,,,,,,,,,
2000-02-14,4.76,,,,,,,,,,,,,
2000-02-15,4.76,,,,,,,,,,,,,
2000-02-16,4.34,,,,,,,,,,,,,
2000-02-17,4.34,,,,,,,,,,,,,
2000-02-18,5.74,,,,,,,,,,,,,
2000-02-22,8.96,,,,,,,,,,,,,
2000-02-23,9.24,,,,,,,,,,,,,
2000-02-24,7.42,,,,,,,,,,,,,
2000-02-25,6.16,,,,,,,,,,,,,
2000-02-28,6.72,,,,,,,,,,,,,
2000-02-29,7.0,,,,,,,,,,,,,
2000-03-01,6.72,,,,,,,,,,,,,
2000-03-02,7.0,,,,,,,,,,,,,
2000-03-03,9.66,,,,,,,,,,,,,
2000-03-06,10.22,,,,,,,,,,,,,
2000-03-07,8.82,,,,,,,,,,,,,
2000-03-08,8.26,,,,,,,,,,,,,
2000-03-09,7.42,,,,,,,,,,,,,
2000-03-10,7.84,,,,,,,,,,,,,
2000-03-13,7.42,,,,,,,,,,,,,
2000-03-14,7.42,,,,,,,,,,,,,
2000-03-15,7.0,,,,,,,,,,,,,
2000-03-16,6.72,,,,,,,,,,,,,
2000-03-17,6.3,,,,,,,,,,,,,
2000-03-20,5.88,,,,,,,,,,,,,
2000-03-21,6.16,,,,,,,,,,,,,
2000-03-22,6.3,,,,,,,,,,,,,
2000-03-23,6.72,,,,,,,,,,,,,
2000-03-24,7.28,,,,,,,,,,,,,
2000-03-27,7.28,,,,,,,,,,,,,
2000-03-28,6.72,,,,,,,,,,,,,
2000-03-29,6.16,,,,,,,,,,,,,
2000-03-30,6.3,,,,,,,,,,,,,
2000-03-31,6.16,,,,,,,,,,,,,
2000-04-03,4.76,,,,,,,,,,,,,
2000-04-04,5.04,,,,,,,,,,,,,
2000-04-05,4.34,,,,,,,,,,,,,
2000-04-06,3.92,,,,,,,,,,,,,
2000-04-07,5.04,,,,,,,,,,,,,
2000-04-10,5.74,,,,,,,,,,,,,
2000-04-11,4.76,,,,,,,,,,,,,
2000-04-12,4.76,,,,,,,,,,,,,
2000-04-13,4.76,,,,,,,,,,,,,
2000-04-14,3.78,,,,,,,,,,,,,
2000-04-17,4.2,,,,,,,,,,,,,
2000-04-18,4.34,,,,,,,,,,,,,
2000-04-19,4.34,,,,,,,,,,,,,
2000-04-20,4.34,,,,,,,,,,,,,
2000-04-24,4.2,,,,,,,,,,,,,
2000-04-25,4.62,,,,,,,,,,,,,
2000-04-26,5.32,,,,,,,,,,,,,
2000-04-27,4.62,,,,,,,,,,,,,
2000-04-28,4.76,,,,,,,,,,,,,
2000-05-01,4.34,,,,,,,,,,,,,
2000-05-02,4.34,,,,,,,,,,,,,
2000-05-03,4.34,,,,,,,,,,,,,
2000-05-04,4.62,,,,,,,,,,,,,
2000-05-05,4.34,,,,,,,,,,,,,
2000-05-08,4.34,,,,,,,,,,,,,
2000-05-09,4.62,,,,,,,,,,,,,
2000-05-10,4.34,,,,,,,,,,,,,
2000-05-11,4.62,,,,,,,,,,,,,
2000-05-12,4.76,,,,,,,,,,,,,
2000-05-15,4.34,,,,,,,,,,,,,
2000-05-16,4.2,,,,,,,,,,,,,
2000-05-17,4.2,,,,,,,,,,,,,
2000-05-18,4.2,,,,,,,,,,,,,
2000-05-19,4.2,,,,,,,,,,,,,
2000-05-22,4.2,,,,,,,,,,,,,
2000-05-23,3.92,,,,,,,,,,,,,
2000-05-24,4.2,,,,,,,,,,,,,
2000-05-25,4.2,,,,,,,,,,,,,
2000-05-26,4.2,,,,,,,,,,,,,
2000-05-30,4.2,,,,,,,,,,,,,
2000-05-31,4.2,,,,,,,,,,,,,
2000-06-01,4.62,,,,,,,,,,,,,
