date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2015-07-01,16.51,,,,,,,,,,,,,
2015-07-02,16.51,,,,,,,,,,,,,
2015-07-06,16.04,,,,,,,,,,,,,
2015-07-07,14.99,,,,,,,,,,,,,
2015-07-08,13.02,,,,,,,,,,,,,
2015-07-09,11.81,,,,,,,,,,,,,
2015-07-10,11.66,,,,,,,,,,,,,
2015-07-13,11.4,,,,,,,,,,,,,
2015-07-14,12.66,,,,,,,,,,,,,
2015-07-15,12.99,,,,,,,,,,,,,
2015-07-16,13.11,,,,,,,,,,,,,
2015-07-17,13.04,,,,,,,,,,,,,
2015-07-20,12.49,,,,,,,,,,,,,
2015-07-21,12.38,,,,,,,,,,,,,
2015-07-22,12.04,,,,,,,,,,,,,
2015-07-23,11.85,,,,,,,,,,,,,
2015-07-24,11.31,,,,,,,,,,,,,
2015-07-27,10.75,,,,,,,,,,,,,
2015-07-28,11.3,,,,,,,,,,,,,
2015-07-29,12.19,,,,,,,,,,,,,
2015-07-30,11.59,,,,,,,,,,,,,
2015-07-31,10.92,,,,,,,,,,,,,
2015-08-03,10.64,,,,,,,,,,,,,
2015-08-04,9.97,,,,,,,,,,,,,
2015-08-05,9.47,,,,,,,,,,,,,
2015-08-06,11.1,,,,,,,,,,,,,
2015-08-07,11.01,,,,,,,,,,,,,
2015-08-10,11.1,,,,,,,,,,,,,
2015-08-11,10.69,,,,,,,,,,,,,
2015-08-12,10.02,,,,,,,,,,,,,
2015-08-13,10.79,,,,,,,,,,,,,
2015-08-14,10.61,,,,,,,,,,,,,
2015-08-17,10.98,,,,,,,,,,,,,
2015-08-18,10.02,,,,,,,,,,,,,
2015-08-19,9.76,,,,,,,,,,,,,
2015-08-20,9.62,,,,,,,,,,,,,
2015-08-21,9.2,,,,,,,,,,,,,
2015-08-24,9.2,,,,,,,,,,,,,
2015-08-25,8.31,,,,,,,,,,,,,
2015-08-26,9.12,,,,,,,,,,,,,
2015-08-27,9.57,,,,,,,,,,,,,
2015-08-28,9.68,,,,,,,,,,,,,
2015-08-31,9.67,,,,,,,,,,,,,
2015-09-01,9.37,,,,,,,,,,,,,
2015-09-02,8.67,,,,,,,,,,,,,
2015-09-03,9.39,,,,,,,,,,,,,
2015-09-04,8.97,,,,,,,,,,,,,
2015-09-08,9.12,,,,,,,,,,,,,
2015-09-09,9.3,,,,,,,,,,,,,
2015-09-10,9.16,,,,,,,,,,,,,
2015-09-11,9.07,,,,,,,,,,,,,
2015-09-14,8.96,,,,,,,,,,,,,
2015-09-15,9.4,,,,,,,,,,,,,
2015-09-16,9.61,,,,,,,,,,,,,
2015-09-17,9.45,,,,,,,,,,,,,
2015-09-18,8.76,,,,,,,,,,,,,
2015-09-21,9.14,,,,,,,,,,,,,
2015-09-22,8.69,,,,,,,,,,,,,
2015-09-23,7.98,,,,,,,,,,,,,
2015-09-24,7.58,,,,,,,,,,,,,
2015-09-25,7.06,,,,,,,,,,,,,
2015-09-28,6.48,,,,,,,,,,,,,
2015-09-29,6.18,,,,,,,,,,,,,
2015-09-30,6.47,,,,,,,,,,,,,
2015-10-01,6.57,,,,,,,,,,,,,
2015-10-02,7.08,,,,,,,,,,,,,
2015-10-05,7.56,,,,,,,,,,,,,
2015-10-06,8.21,,,,,,,,,,,,,
2015-10-07,7.87,,,,,,,,,,,,,
2015-10-08,8.43,,,,,,,,,,,,,
2015-10-09,8.03,,,,,,,,,,,,,
2015-10-12,8.05,,,,,,,,,,,,,
2015-10-13,7.34,,,,,,,,,,,,,
2015-10-14,7.21,,,,,,,,,,,,,
2015-10-15,7.07,,,,,,,,,,,,,
2015-10-16,6.39,,,,,,,,,,,,,
2015-10-19,6.08,,,,,,,,,,,,,
2015-10-20,6.41,,,,,,,,,,,,,
2015-10-21,6.26,,,,,,,,,,,,,
2015-10-22,6.35,,,,,,,,,,,,,
2015-10-23,6.56,,,,,,,,,,,,,
2015-10-26,6.45,,,,,,,,,,,,,
2015-10-27,6.56,,,,,,,,,,,,,
2015-10-28,6.66,,,,,,,,,,,,,
2015-10-29,6.91,,,,,,,,,,,,,
2015-10-30,6.93,,,,,,,,,,,,,
2015-11-02,7.6,,,,,,,,,,,,,
2015-11-03,8.48,,,,,,,,,,,,,
2015-11-04,8.13,,,,,,,,,,,,,
2015-11-05,7.52,,,,,,,,,,,,,
2015-11-06,6.73,,,,,,,,,,,,,
2015-11-09,6.43,,,,,,,,,,,,,
2015-11-10,6.15,,,,,,,,,,,,,
2015-11-11,5.9,,,,,,,,,,,,,
2015-11-12,5.85,,,,,,,,,,,,,
2015-11-13,5.69,,,,,,,,,,,,,
2015-11-16,5.86,,,,,,,,,,,,,
2015-11-17,5.62,,,,,,,,,,,,,
2015-11-18,5.84,,,,,,,,,,,,,
2015-11-19,6.04,,,,,,,,,,,,,
2015-11-20,5.99,,,,,,,,,,,,,
2015-11-23,5.94,,,,,,,,,,,,,
2015-11-24,6.15,,,,,,,,,,,,,
2015-11-25,6.31,,,,,,,,,,,,,
2015-11-27,6.34,,,,,,,,,,,,,
2015-11-30,6.25,,,,,,,,,,,,,
2015-12-01,6.05,,,,,,,,,,,,,
2015-12-02,6.12,,,,,,,,,,,,,
2015-12-03,5.97,,,,,,,,,,,,,
2015-12-04,6.21,,,,,,,,,,,,,
2015-12-07,6.01,,,,,,,,,,,,,
2015-12-08,5.78,,,,,,,,,,,,,
2015-12-09,6.04,,,,,,,,,,,,,
2015-12-10,6.13,,,,,,,,,,,,,
2015-12-11,5.69,,,,,,,,,,,,,
2015-12-14,5.26,,,,,,,,,,,,,
2015-12-15,5.36,,,,,,,,,,,,,
2015-12-16,5.65,,,,,,,,,,,,,
2015-12-17,4.72,,,,,,,,,,,,,
2015-12-18,5.96,,,,,,,,,,,,,
2015-12-21,5.57,,,,,,,,,,,,,
2015-12-22,5.73,,,,,,,,,,,,,
2015-12-23,5.76,,,,,,,,,,,,,
2015-12-24,5.74,,,,,,,,,,,,,
