date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,42.88,,,,,,,,,,,,,
1999-11-02,41.81,,,,,,,,,,,,,
1999-11-03,40.81,,,,,,,,,,,,,
1999-11-04,40.56,,,,,,,,,,,,,
1999-11-05,40.25,,,,,,,,,,,,,
1999-11-08,40.31,,,,,,,,,,,,,
1999-11-09,43.12,,,,,,,,,,,,,
1999-11-10,45.94,,,,,,,,,,,,,
1999-11-11,45.12,,,,,,,,,,,,,
1999-11-12,45.06,,,,,,,,,,,,,
1999-11-15,45.38,,,,,,,,,,,,,
1999-11-16,47.31,,,,,,,,,,,,,
1999-11-17,49.0,,,,,,,,,,,,,
1999-11-18,47.19,,,,,,,,,,,,,
1999-11-19,45.0,,,,,,,,,,,,,
1999-11-22,44.25,,,,,,,,,,,,,
1999-11-23,44.69,,,,,,,,,,,,,
1999-11-24,45.0,,,,,,,,,,,,,
1999-11-26,44.38,,,,,,,,,,,,,
1999-11-29,43.44,,,,,,,,,,,,,
1999-11-30,44.56,,,,,,,,,,,,,
1999-12-01,44.31,,,,,,,,,,,,,
1999-12-02,44.75,,,,,,,,,,,,,
1999-12-03,46.81,,,,,,,,,,,,,
1999-12-06,48.19,,,,,,,,,,,,,
1999-12-07,49.5,,,,,,,,,,,,,
1999-12-08,49.06,,,,,,,,,,,,,
1999-12-09,49.12,,,,,,,,,,,,,
1999-12-10,48.56,,,,,,,,,,,,,
1999-12-13,49.44,,,,,,,,,,,,,
1999-12-14,51.25,,,,,,,,,,,,,
1999-12-15,51.38,,,,,,,,,,,,,
1999-12-16,50.25,,,,,,,,,,,,,
1999-12-17,52.06,,,,,,,,,,,,,
1999-12-20,50.38,,,,,,,,,,,,,
1999-12-21,51.88,,,,,,,,,,,,,
1999-12-22,54.12,,,,,,,,,,,,,
1999-12-23,53.5,,,,,,,,,,,,,
1999-12-27,51.12,,,,,,,,,,,,,
1999-12-28,49.81,,,,,,,,,,,,,
1999-12-29,50.88,,,,,,,,,,,,,
1999-12-30,50.75,,,,,,,,,,,,,
1999-12-31,50.38,,,,,,,,,,,,,
2000-01-03,49.19,,,,,,,,,,,,,
2000-01-04,47.88,,,,,,,,,,,,,
2000-01-05,49.12,,,,,,,,,,,,,
2000-01-06,49.56,,,,,,,,,,,,,
2000-01-07,52.31,,,,,,,,,,,,,
2000-01-10,51.75,,,,,,,,,,,,,
2000-01-11,52.25,,,,,,,,,,,,,
2000-01-12,52.19,,,,,,,,,,,,,
2000-01-13,55.0,,,,,,,,,,,,,
2000-01-14,54.25,,,,,,,,,,,,,
2000-01-18,52.75,,,,,,,,,,,,,
2000-01-19,51.94,,,,,,,,,,,,,
2000-01-20,52.0,,,,,,,,,,,,,
2000-01-21,50.62,,,,,,,,,,,,,
2000-01-24,48.88,,,,,,,,,,,,,
2000-01-25,47.25,,,,,,,,,,,,,
2000-01-26,47.81,,,,,,,,,,,,,
2000-01-27,47.25,,,,,,,,,,,,,
2000-01-28,46.88,,,,,,,,,,,,,
2000-01-31,47.75,,,,,,,,,,,,,
2000-02-01,48.0,,,,,,,,,,,,,
2000-02-02,48.31,,,,,,,,,,,,,
2000-02-03,46.62,,,,,,,,,,,,,
2000-02-04,43.88,,,,,,,,,,,,,
2000-02-07,42.69,,,,,,,,,,,,,
2000-02-08,45.0,,,,,,,,,,,,,
2000-02-09,44.81,,,,,,,,,,,,,
2000-02-10,41.88,,,,,,,,,,,,,
2000-02-11,40.5,,,,,,,,,,,,,
2000-02-14,40.94,,,,,,,,,,,,,
2000-02-15,41.0,,,,,,,,,,,,,
2000-02-16,40.62,,,,,,,,,,,,,
2000-02-17,40.81,,,,,,,,,,,,,
2000-02-18,39.0,,,,,,,,,,,,,
2000-02-22,39.31,,,,,,,,,,,,,
2000-02-23,39.56,,,,,,,,,,,,,
2000-02-24,38.81,,,,,,,,,,,,,
2000-02-25,37.31,,,,,,,,,,,,,
2000-02-28,39.0,,,,,,,,,,,,,
2000-02-29,40.44,,,,,,,,,,,,,
2000-03-01,40.12,,,,,,,,,,,,,
2000-03-02,40.25,,,,,,,,,,,,,
2000-03-03,41.19,,,,,,,,,,,,,
2000-03-06,40.06,,,,,,,,,,,,,
2000-03-07,36.25,,,,,,,,,,,,,
2000-03-08,33.38,,,,,,,,,,,,,
2000-03-09,33.81,,,,,,,,,,,,,
2000-03-10,29.88,,,,,,,,,,,,,
2000-03-13,30.62,,,,,,,,,,,,,
2000-03-14,29.88,,,,,,,,,,,,,
2000-03-15,33.56,,,,,,,,,,,,,
2000-03-16,36.62,,,,,,,,,,,,,
2000-03-17,35.12,,,,,,,,,,,,,
2000-03-20,33.94,,,,,,,,,,,,,
2000-03-21,36.44,,,,,,,,,,,,,
2000-03-22,34.75,,,,,,,,,,,,,
2000-03-23,35.56,,,,,,,,,,,,,
2000-03-24,33.0,,,,,,,,,,,,,
2000-03-27,30.44,,,,,,,,,,,,,
2000-03-28,31.38,,,,,,,,,,,,,
2000-03-29,32.06,,,,,,,,,,,,,
2000-03-30,32.5,,,,,,,,,,,,,
2000-03-31,33.0,,,,,,,,,,,,,
2000-04-03,34.56,,,,,,,,,,,,,
2000-04-04,35.44,,,,,,,,,,,,,
2000-04-05,35.5,,,,,,,,,,,,,
2000-04-06,34.56,,,,,,,,,,,,,
2000-04-07,35.62,,,,,,,,,,,,,
2000-04-10,36.0,,,,,,,,,,,,,
2000-04-11,37.31,,,,,,,,,,,,,
2000-04-12,40.06,,,,,,,,,,,,,
2000-04-13,40.44,,,,,,,,,,,,,
2000-04-14,35.88,,,,,,,,,,,,,
2000-04-17,40.62,,,,,,,,,,,,,
2000-04-18,38.19,,,,,,,,,,,,,
2000-04-19,36.38,,,,,,,,,,,,,
2000-04-20,37.12,,,,,,,,,,,,,
2000-04-24,38.0,,,,,,,,,,,,,
2000-04-25,37.25,,,,,,,,,,,,,
2000-04-26,34.81,,,,,,,,,,,,,
2000-04-27,37.56,,,,,,,,,,,,,
2000-04-28,36.75,,,,,,,,,,,,,
2000-05-01,36.88,,,,,,,,,,,,,
2000-05-02,36.25,,,,,,,,,,,,,
2000-05-03,35.62,,,,,,,,,,,,,
2000-05-04,36.12,,,,,,,,,,,,,
2000-05-05,36.56,,,,,,,,,,,,,
2000-05-08,37.31,,,,,,,,,,,,,
2000-05-09,38.94,,,,,,,,,,,,,
2000-05-10,39.56,,,,,,,,,,,,,
2000-05-11,41.19,,,,,,,,,,,,,
2000-05-12,39.69,,,,,,,,,,,,,
2000-05-15,39.5,,,,,,,,,,,,,
2000-05-16,38.38,,,,,,,,,,,,,
2000-05-17,39.56,,,,,,,,,,,,,
2000-05-18,40.81,,,,,,,,,,,,,
2000-05-19,38.94,,,,,,,,,,,,,
2000-05-22,39.62,,,,,,,,,,,,,
2000-05-23,38.62,,,,,,,,,,,,,
