date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2002-12-06,8.58,,,,,,,,,,,,,
2002-12-09,8.404,,,,,,,,,,,,,
2002-12-10,8.55,,,,,,,,,,,,,
2002-12-11,9.012,,,,,,,,,,,,,
2002-12-12,8.782,,,,,,,,,,,,,
2002-12-13,8.73,,,,,,,,,,,,,
2002-12-16,8.62,,,,,,,,,,,,,
2002-12-17,8.654,,,,,,,,,,,,,
2002-12-18,8.534,,,,,,,,,,,,,
2002-12-19,8.46,,,,,,,,,,,,,
2002-12-20,8.89,,,,,,,,,,,,,
2002-12-23,8.68,,,,,,,,,,,,,
2002-12-24,8.61,,,,,,,,,,,,,
2002-12-26,8.52,,,,,,,,,,,,,
2002-12-27,8.4,,,,,,,,,,,,,
2002-12-30,8.464,,,,,,,,,,,,,
2002-12-31,8.732,,,,,,,,,,,,,
2003-01-02,8.744,,,,,,,,,,,,,
2003-01-03,9.16,,,,,,,,,,,,,
2003-01-06,9.62,,,,,,,,,,,,,
2003-01-07,9.604,,,,,,,,,,,,,
2003-01-08,9.602,,,,,,,,,,,,,
2003-01-09,9.81,,,,,,,,,,,,,
2003-01-10,9.798,,,,,,,,,,,,,
2003-01-13,9.924,,,,,,,,,,,,,
2003-01-14,9.82,,,,,,,,,,,,,
2003-01-15,9.41,,,,,,,,,,,,,
2003-01-16,9.076,,,,,,,,,,,,,
2003-01-17,9.004,,,,,,,,,,,,,
2003-01-21,8.89,,,,,,,,,,,,,
2003-01-22,8.83,,,,,,,,,,,,,
2003-01-23,9.086,,,,,,,,,,,,,
2003-01-24,9.398,,,,,,,,,,,,,
2003-01-27,9.25,,,,,,,,,,,,,
2003-01-28,9.202,,,,,,,,,,,,,
2003-01-29,9.202,,,,,,,,,,,,,
2003-01-30,8.84,,,,,,,,,,,,,
2003-01-31,8.5,,,,,,,,,,,,,
2003-02-03,8.47,,,,,,,,,,,,,
2003-02-04,8.4,,,,,,,,,,,,,
2003-02-05,8.348,,,,,,,,,,,,,
2003-02-06,8.3,,,,,,,,,,,,,
2003-02-07,8.422,,,,,,,,,,,,,
2003-02-10,8.6,,,,,,,,,,,,,
2003-02-11,8.582,,,,,,,,,,,,,
2003-02-12,8.582,,,,,,,,,,,,,
2003-02-13,8.7,,,,,,,,,,,,,
2003-02-14,8.9,,,,,,,,,,,,,
2003-02-18,8.904,,,,,,,,,,,,,
2003-02-19,8.954,,,,,,,,,,,,,
2003-02-20,9.006,,,,,,,,,,,,,
2003-02-21,9.072,,,,,,,,,,,,,
2003-02-24,9.108,,,,,,,,,,,,,
2003-02-25,9.144,,,,,,,,,,,,,
2003-02-26,9.068,,,,,,,,,,,,,
2003-02-27,8.66,,,,,,,,,,,,,
2003-02-28,8.61,,,,,,,,,,,,,
2003-03-03,8.626,,,,,,,,,,,,,
2003-03-04,8.564,,,,,,,,,,,,,
2003-03-05,8.45,,,,,,,,,,,,,
2003-03-06,8.468,,,,,,,,,,,,,
2003-03-07,8.466,,,,,,,,,,,,,
2003-03-10,8.472,,,,,,,,,,,,,
2003-03-11,8.454,,,,,,,,,,,,,
