date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2013-05-23,14.53,,,,,,,,,,,,,
2013-05-24,14.82,,,,,,,,,,,,,
2013-05-28,14.85,,,,,,,,,,,,,
2013-05-29,14.63,,,,,,,,,,,,,
2013-05-30,14.78,,,,,,,,,,,,,
2013-05-31,14.7,,,,,,,,,,,,,
2013-06-03,15.01,,,,,,,,,,,,,
2013-06-04,15.06,,,,,,,,,,,,,
2013-06-05,14.98,,,,,,,,,,,,,
2013-06-06,14.95,,,,,,,,,,,,,
2013-06-07,15.04,,,,,,,,,,,,,
2013-06-10,15.11,,,,,,,,,,,,,
2013-06-11,14.82,,,,,,,,,,,,,
2013-06-12,14.88,,,,,,,,,,,,,
2013-06-13,14.95,,,,,,,,,,,,,
2013-06-14,15.15,,,,,,,,,,,,,
2013-06-17,15.03,,,,,,,,,,,,,
2013-06-18,15.21,,,,,,,,,,,,,
2013-06-19,15.43,,,,,,,,,,,,,
2013-06-20,15.46,,,,,,,,,,,,,
2013-06-21,15.32,,,,,,,,,,,,,
2013-06-24,15.15,,,,,,,,,,,,,
2013-06-25,14.98,,,,,,,,,,,,,
2013-06-26,15.1,,,,,,,,,,,,,
2013-06-27,15.88,,,,,,,,,,,,,
2013-06-28,16.15,,,,,,,,,,,,,
2013-07-01,16.25,,,,,,,,,,,,,
2013-07-02,15.86,,,,,,,,,,,,,
2013-07-03,16.18,,,,,,,,,,,,,
2013-07-05,16.32,,,,,,,,,,,,,
2013-07-08,16.54,,,,,,,,,,,,,
2013-07-09,16.37,,,,,,,,,,,,,
2013-07-10,16.83,,,,,,,,,,,,,
2013-07-11,17.19,,,,,,,,,,,,,
2013-07-12,17.01,,,,,,,,,,,,,
2013-07-15,17.1,,,,,,,,,,,,,
2013-07-16,17.18,,,,,,,,,,,,,
2013-07-17,16.96,,,,,,,,,,,,,
2013-07-18,17.45,,,,,,,,,,,,,
2013-07-19,17.35,,,,,,,,,,,,,
2013-07-22,17.68,,,,,,,,,,,,,
2013-07-23,17.57,,,,,,,,,,,,,
2013-07-24,17.12,,,,,,,,,,,,,
2013-07-25,17.5,,,,,,,,,,,,,
2013-07-26,18.02,,,,,,,,,,,,,
2013-07-29,18.33,,,,,,,,,,,,,
2013-07-30,18.36,,,,,,,,,,,,,
2013-07-31,18.21,,,,,,,,,,,,,
2013-08-01,18.11,,,,,,,,,,,,,
2013-08-02,18.36,,,,,,,,,,,,,
2013-08-05,18.66,,,,,,,,,,,,,
2013-08-06,18.6,,,,,,,,,,,,,
2013-08-07,17.96,,,,,,,,,,,,,
2013-08-08,18.29,,,,,,,,,,,,,
2013-08-09,17.99,,,,,,,,,,,,,
2013-08-12,17.66,,,,,,,,,,,,,
2013-08-13,17.99,,,,,,,,,,,,,
2013-08-14,18.21,,,,,,,,,,,,,
2013-08-15,18.02,,,,,,,,,,,,,
2013-08-16,17.85,,,,,,,,,,,,,
2013-08-19,17.74,,,,,,,,,,,,,
2013-08-20,17.67,,,,,,,,,,,,,
