date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,14.25,,,,,,,,,,,,,
1999-11-02,14.88,,,,,,,,,,,,,
1999-11-03,14.25,,,,,,,,,,,,,
1999-11-04,13.63,,,,,,,,,,,,,
1999-11-05,13.5,,,,,,,,,,,,,
1999-11-08,14.69,,,,,,,,,,,,,
1999-11-09,14.63,,,,,,,,,,,,,
1999-11-10,14.56,,,,,,,,,,,,,
1999-11-11,14.69,,,,,,,,,,,,,
1999-11-12,14.63,,,,,,,,,,,,,
1999-11-15,13.75,,,,,,,,,,,,,
1999-11-16,14.0,,,,,,,,,,,,,
1999-11-17,13.56,,,,,,,,,,,,,
1999-11-18,14.25,,,,,,,,,,,,,
1999-11-19,14.88,,,,,,,,,,,,,
1999-11-22,15.81,,,,,,,,,,,,,
1999-11-23,16.25,,,,,,,,,,,,,
1999-11-24,16.25,,,,,,,,,,,,,
1999-11-26,17.0,,,,,,,,,,,,,
1999-11-29,16.75,,,,,,,,,,,,,
1999-11-30,16.13,,,,,,,,,,,,,
1999-12-01,15.69,,,,,,,,,,,,,
1999-12-02,16.25,,,,,,,,,,,,,
1999-12-03,15.56,,,,,,,,,,,,,
1999-12-06,16.06,,,,,,,,,,,,,
1999-12-07,16.44,,,,,,,,,,,,,
1999-12-08,17.25,,,,,,,,,,,,,
1999-12-09,15.0,,,,,,,,,,,,,
1999-12-10,16.0,,,,,,,,,,,,,
1999-12-13,15.75,,,,,,,,,,,,,
1999-12-14,15.88,,,,,,,,,,,,,
1999-12-15,15.75,,,,,,,,,,,,,
1999-12-16,11.94,,,,,,,,,,,,,
1999-12-17,10.94,,,,,,,,,,,,,
1999-12-20,11.25,,,,,,,,,,,,,
1999-12-21,11.06,,,,,,,,,,,,,
1999-12-22,10.63,,,,,,,,,,,,,
1999-12-23,11.0,,,,,,,,,,,,,
1999-12-27,10.69,,,,,,,,,,,,,
1999-12-28,10.28,,,,,,,,,,,,,
1999-12-29,10.63,,,,,,,,,,,,,
1999-12-30,10.5,,,,,,,,,,,,,
1999-12-31,10.44,,,,,,,,,,,,,
2000-01-03,11.88,,,,,,,,,,,,,
2000-01-04,12.63,,,,,,,,,,,,,
2000-01-05,13.31,,,,,,,,,,,,,
2000-01-06,12.94,,,,,,,,,,,,,
2000-01-07,12.25,,,,,,,,,,,,,
2000-01-10,12.5,,,,,,,,,,,,,
2000-01-11,13.0,,,,,,,,,,,,,
2000-01-12,13.0,,,,,,,,,,,,,
2000-01-13,12.25,,,,,,,,,,,,,
2000-01-14,12.88,,,,,,,,,,,,,
2000-01-18,13.94,,,,,,,,,,,,,
2000-01-19,12.88,,,,,,,,,,,,,
2000-01-20,13.13,,,,,,,,,,,,,
2000-01-21,13.56,,,,,,,,,,,,,
2000-01-24,13.38,,,,,,,,,,,,,
2000-01-25,13.0,,,,,,,,,,,,,
2000-01-26,13.13,,,,,,,,,,,,,
2000-01-27,12.94,,,,,,,,,,,,,
2000-01-28,12.63,,,,,,,,,,,,,
2000-01-31,11.94,,,,,,,,,,,,,
2000-02-01,12.06,,,,,,,,,,,,,
2000-02-02,12.13,,,,,,,,,,,,,
2000-02-03,12.75,,,,,,,,,,,,,
2000-02-04,12.75,,,,,,,,,,,,,
2000-02-07,12.38,,,,,,,,,,,,,
2000-02-08,12.44,,,,,,,,,,,,,
2000-02-09,12.81,,,,,,,,,,,,,
2000-02-10,12.69,,,,,,,,,,,,,
2000-02-11,12.75,,,,,,,,,,,,,
2000-02-14,12.78,,,,,,,,,,,,,
2000-02-15,12.69,,,,,,,,,,,,,
2000-02-16,12.06,,,,,,,,,,,,,
2000-02-17,11.88,,,,,,,,,,,,,
2000-02-18,11.0,,,,,,,,,,,,,
2000-02-22,11.38,,,,,,,,,,,,,
2000-02-23,11.25,,,,,,,,,,,,,
2000-02-24,10.81,,,,,,,,,,,,,
2000-02-25,10.81,,,,,,,,,,,,,
2000-02-28,11.0,,,,,,,,,,,,,
2000-02-29,11.25,,,,,,,,,,,,,
2000-03-01,11.44,,,,,,,,,,,,,
2000-03-02,10.88,,,,,,,,,,,,,
2000-03-03,10.63,,,,,,,,,,,,,
2000-03-06,10.5,,,,,,,,,,,,,
2000-03-07,10.5,,,,,,,,,,,,,
2000-03-08,10.5,,,,,,,,,,,,,
2000-03-09,10.63,,,,,,,,,,,,,
2000-03-10,10.5,,,,,,,,,,,,,
2000-03-13,10.19,,,,,,,,,,,,,
2000-03-14,9.563,,,,,,,,,,,,,
2000-03-15,9.0,,,,,,,,,,,,,
2000-03-16,8.5,,,,,,,,,,,,,
2000-03-17,8.563,,,,,,,,,,,,,
2000-03-20,9.25,,,,,,,,,,,,,
2000-03-21,9.938,,,,,,,,,,,,,
2000-03-22,9.625,,,,,,,,,,,,,
2000-03-23,9.25,,,,,,,,,,,,,
2000-03-24,9.5,,,,,,,,,,,,,
2000-03-27,9.688,,,,,,,,,,,,,
2000-03-28,9.813,,,,,,,,,,,,,
2000-03-29,9.594,,,,,,,,,,,,,
2000-03-30,9.25,,,,,,,,,,,,,
2000-03-31,9.25,,,,,,,,,,,,,
2000-04-03,8.938,,,,,,,,,,,,,
2000-04-04,8.25,,,,,,,,,,,,,
2000-04-05,8.625,,,,,,,,,,,,,
2000-04-06,8.875,,,,,,,,,,,,,
2000-04-07,8.875,,,,,,,,,,,,,
2000-04-10,9.0,,,,,,,,,,,,,
2000-04-11,8.75,,,,,,,,,,,,,
2000-04-12,8.313,,,,,,,,,,,,,
2000-04-13,8.375,,,,,,,,,,,,,
2000-04-14,7.625,,,,,,,,,,,,,
2000-04-17,7.625,,,,,,,,,,,,,
2000-04-18,7.844,,,,,,,,,,,,,
2000-04-19,8.063,,,,,,,,,,,,,
2000-04-20,7.125,,,,,,,,,,,,,
2000-04-24,6.875,,,,,,,,,,,,,
2000-04-25,5.625,,,,,,,,,,,,,
2000-04-26,5.75,,,,,,,,,,,,,
2000-04-27,5.563,,,,,,,,,,,,,
2000-04-28,5.438,,,,,,,,,,,,,
2000-05-01,5.875,,,,,,,,,,,,,
2000-05-02,5.781,,,,,,,,,,,,,
2000-05-03,5.813,,,,,,,,,,,,,
2000-05-04,5.813,,,,,,,,,,,,,
2000-05-05,5.719,,,,,,,,,,,,,
2000-05-08,5.75,,,,,,,,,,,,,
2000-05-09,5.688,,,,,,,,,,,,,
2000-05-10,5.531,,,,,,,,,,,,,
2000-05-11,5.75,,,,,,,,,,,,,
2000-05-12,5.813,,,,,,,,,,,,,
2000-05-15,5.688,,,,,,,,,,,,,
2000-05-16,5.563,,,,,,,,,,,,,
2000-05-17,5.563,,,,,,,,,,,,,
2000-05-18,5.563,,,,,,,,,,,,,
2000-05-19,5.375,,,,,,,,,,,,,
2000-05-22,5.469,,,,,,,,,,,,,
2000-05-23,5.375,,,,,,,,,,,,,
2000-05-24,5.0,,,,,,,,,,,,,
2000-05-25,5.0,,,,,,,,,,,,,
2000-05-26,5.063,,,,,,,,,,,,,
2000-05-30,5.0,,,,,,,,,,,,,
2000-05-31,5.0,,,,,,,,,,,,,
2000-06-01,5.125,,,,,,,,,,,,,
2000-06-02,5.75,,,,,,,,,,,,,
2000-06-05,5.5,,,,,,,,,,,,,
2000-06-06,5.813,,,,,,,,,,,,,
2000-06-07,5.906,,,,,,,,,,,,,
2000-06-08,5.938,,,,,,,,,,,,,
2000-06-09,5.844,,,,,,,,,,,,,
2000-06-12,5.625,,,,,,,,,,,,,
2000-06-13,5.625,,,,,,,,,,,,,
2000-06-14,5.813,,,,,,,,,,,,,
2000-06-15,5.688,,,,,,,,,,,,,
2000-06-16,5.531,,,,,,,,,,,,,
2000-06-19,5.563,,,,,,,,,,,,,
2000-06-20,5.438,,,,,,,,,,,,,
2000-06-21,5.438,,,,,,,,,,,,,
2000-06-22,5.688,,,,,,,,,,,,,
2000-06-23,6.297,,,,,,,,,,,,,
2000-06-26,6.75,,,,,,,,,,,,,
2000-06-27,6.75,,,,,,,,,,,,,
2000-06-28,7.063,,,,,,,,,,,,,
2000-06-29,6.75,,,,,,,,,,,,,
2000-06-30,6.5,,,,,,,,,,,,,
2000-07-03,6.875,,,,,,,,,,,,,
2000-07-05,7.25,,,,,,,,,,,,,
2000-07-06,7.5,,,,,,,,,,,,,
2000-07-07,7.25,,,,,,,,,,,,,
2000-07-10,7.063,,,,,,,,,,,,,
2000-07-11,6.625,,,,,,,,,,,,,
2000-07-12,7.063,,,,,,,,,,,,,
2000-07-13,7.0,,,,,,,,,,,,,
2000-07-14,7.063,,,,,,,,,,,,,
2000-07-17,7.0,,,,,,,,,,,,,
2000-07-18,7.063,,,,,,,,,,,,,
2000-07-19,7.063,,,,,,,,,,,,,
2000-07-20,7.375,,,,,,,,,,,,,
2000-07-21,6.688,,,,,,,,,,,,,
2000-07-24,6.75,,,,,,,,,,,,,
2000-07-25,6.75,,,,,,,,,,,,,
2000-07-26,6.813,,,,,,,,,,,,,
2000-07-27,6.578,,,,,,,,,,,,,
2000-07-28,6.125,,,,,,,,,,,,,
2000-07-31,6.25,,,,,,,,,,,,,
2000-08-01,6.25,,,,,,,,,,,,,
2000-08-02,6.5,,,,,,,,,,,,,
2000-08-03,6.375,,,,,,,,,,,,,
2000-08-04,6.219,,,,,,,,,,,,,
2000-08-07,6.375,,,,,,,,,,,,,
2000-08-08,6.281,,,,,,,,,,,,,
2000-08-09,6.438,,,,,,,,,,,,,
2000-08-10,6.094,,,,,,,,,,,,,
2000-08-11,6.031,,,,,,,,,,,,,
2000-08-14,6.094,,,,,,,,,,,,,
2000-08-15,6.25,,,,,,,,,,,,,
2000-08-16,6.25,,,,,,,,,,,,,
2000-08-17,6.25,,,,,,,,,,,,,
2000-08-18,6.875,,,,,,,,,,,,,
2000-08-21,6.594,,,,,,,,,,,,,
2000-08-22,6.438,,,,,,,,,,,,,
2000-08-23,6.406,,,,,,,,,,,,,
2000-08-24,6.813,,,,,,,,,,,,,
2000-08-25,6.875,,,,,,,,,,,,,
2000-08-28,6.813,,,,,,,,,,,,,
2000-08-29,6.75,,,,,,,,,,,,,
2000-08-30,6.688,,,,,,,,,,,,,
2000-08-31,7.75,,,,,,,,,,,,,
2000-09-01,7.688,,,,,,,,,,,,,
2000-09-05,7.375,,,,,,,,,,,,,
2000-09-06,7.313,,,,,,,,,,,,,
2000-09-07,7.563,,,,,,,,,,,,,
2000-09-08,8.0,,,,,,,,,,,,,
2000-09-11,8.0,,,,,,,,,,,,,
2000-09-12,8.125,,,,,,,,,,,,,
2000-09-13,8.688,,,,,,,,,,,,,
2000-09-14,8.75,,,,,,,,,,,,,
2000-09-15,8.875,,,,,,,,,,,,,
2000-09-18,8.438,,,,,,,,,,,,,
2000-09-19,8.438,,,,,,,,,,,,,
2000-09-20,8.375,,,,,,,,,,,,,
2000-09-21,8.188,,,,,,,,,,,,,
2000-09-22,7.75,,,,,,,,,,,,,
2000-09-25,8.0,,,,,,,,,,,,,
2000-09-26,7.938,,,,,,,,,,,,,
2000-09-27,7.875,,,,,,,,,,,,,
2000-09-28,7.5,,,,,,,,,,,,,
2000-09-29,7.875,,,,,,,,,,,,,
2000-10-02,8.0,,,,,,,,,,,,,
2000-10-03,7.375,,,,,,,,,,,,,
2000-10-04,7.25,,,,,,,,,,,,,
2000-10-05,7.313,,,,,,,,,,,,,
2000-10-06,7.313,,,,,,,,,,,,,
2000-10-09,7.0,,,,,,,,,,,,,
2000-10-10,6.813,,,,,,,,,,,,,
2000-10-11,6.813,,,,,,,,,,,,,
2000-10-12,6.5,,,,,,,,,,,,,
2000-10-13,6.875,,,,,,,,,,,,,
2000-10-16,7.125,,,,,,,,,,,,,
2000-10-17,7.313,,,,,,,,,,,,,
2000-10-18,6.875,,,,,,,,,,,,,
2000-10-19,7.063,,,,,,,,,,,,,
2000-10-20,6.625,,,,,,,,,,,,,
2000-10-23,6.438,,,,,,,,,,,,,
2000-10-24,6.125,,,,,,,,,,,,,
2000-10-25,5.813,,,,,,,,,,,,,
2000-10-26,5.5,,,,,,,,,,,,,
2000-10-27,6.375,,,,,,,,,,,,,
2000-10-30,6.375,,,,,,,,,,,,,
2000-10-31,7.25,,,,,,,,,,,,,
2000-11-01,6.813,,,,,,,,,,,,,
2000-11-02,6.313,,,,,,,,,,,,,
2000-11-03,6.25,,,,,,,,,,,,,
2000-11-06,6.375,,,,,,,,,,,,,
2000-11-07,7.125,,,,,,,,,,,,,
2000-11-08,7.813,,,,,,,,,,,,,
2000-11-09,7.688,,,,,,,,,,,,,
2000-11-10,8.125,,,,,,,,,,,,,
2000-11-13,7.688,,,,,,,,,,,,,
2000-11-14,7.938,,,,,,,,,,,,,
2000-11-15,8.688,,,,,,,,,,,,,
2000-11-16,8.188,,,,,,,,,,,,,
2000-11-17,8.375,,,,,,,,,,,,,
2000-11-20,7.75,,,,,,,,,,,,,
2000-11-21,7.469,,,,,,,,,,,,,
2000-11-22,6.875,,,,,,,,,,,,,
2000-11-24,6.75,,,,,,,,,,,,,
2000-11-27,6.25,,,,,,,,,,,,,
2000-11-28,6.25,,,,,,,,,,,,,
2000-11-29,5.875,,,,,,,,,,,,,
2000-11-30,6.125,,,,,,,,,,,,,
2000-12-01,6.688,,,,,,,,,,,,,
2000-12-04,7.0,,,,,,,,,,,,,
2000-12-05,7.063,,,,,,,,,,,,,
2000-12-06,7.0,,,,,,,,,,,,,
2000-12-07,7.625,,,,,,,,,,,,,
2000-12-08,8.25,,,,,,,,,,,,,
2000-12-11,7.75,,,,,,,,,,,,,
2000-12-12,7.375,,,,,,,,,,,,,
2000-12-13,7.688,,,,,,,,,,,,,
2000-12-14,7.563,,,,,,,,,,,,,
2000-12-15,7.125,,,,,,,,,,,,,
2000-12-18,6.563,,,,,,,,,,,,,
2000-12-19,6.688,,,,,,,,,,,,,
2000-12-20,6.219,,,,,,,,,,,,,
2000-12-21,6.188,,,,,,,,,,,,,
2000-12-22,6.0,,,,,,,,,,,,,
2000-12-26,6.0,,,,,,,,,,,,,
2000-12-27,6.5,,,,,,,,,,,,,
2000-12-28,6.188,,,,,,,,,,,,,
2000-12-29,6.125,,,,,,,,,,,,,
2001-01-02,6.25,,,,,,,,,,,,,
2001-01-03,6.438,,,,,,,,,,,,,
2001-01-04,6.875,,,,,,,,,,,,,
2001-01-05,6.875,,,,,,,,,,,,,
2001-01-08,6.563,,,,,,,,,,,,,
2001-01-09,6.938,,,,,,,,,,,,,
2001-01-10,7.0,,,,,,,,,,,,,
2001-01-11,7.188,,,,,,,,,,,,,
2001-01-12,7.5,,,,,,,,,,,,,
2001-01-16,7.5,,,,,,,,,,,,,
2001-01-17,7.875,,,,,,,,,,,,,
2001-01-18,6.688,,,,,,,,,,,,,
2001-01-19,6.688,,,,,,,,,,,,,
2001-01-22,6.5,,,,,,,,,,,,,
2001-01-23,6.688,,,,,,,,,,,,,
2001-01-24,6.969,,,,,,,,,,,,,
2001-01-25,6.875,,,,,,,,,,,,,
2001-01-26,7.375,,,,,,,,,,,,,
2001-01-29,7.188,,,,,,,,,,,,,
2001-01-30,6.875,,,,,,,,,,,,,
2001-01-31,6.688,,,,,,,,,,,,,
2001-02-01,7.0,,,,,,,,,,,,,
2001-02-02,6.75,,,,,,,,,,,,,
2001-02-05,6.875,,,,,,,,,,,,,
2001-02-06,6.375,,,,,,,,,,,,,
2001-02-07,6.688,,,,,,,,,,,,,
2001-02-08,6.438,,,,,,,,,,,,,
2001-02-09,6.188,,,,,,,,,,,,,
2001-02-12,6.094,,,,,,,,,,,,,
2001-02-13,6.625,,,,,,,,,,,,,
2001-02-14,6.25,,,,,,,,,,,,,
2001-02-15,6.375,,,,,,,,,,,,,
2001-02-16,6.438,,,,,,,,,,,,,
2001-02-20,6.375,,,,,,,,,,,,,
2001-02-21,6.313,,,,,,,,,,,,,
2001-02-22,6.156,,,,,,,,,,,,,
2001-02-23,6.063,,,,,,,,,,,,,
2001-02-26,5.938,,,,,,,,,,,,,
2001-02-27,6.188,,,,,,,,,,,,,
2001-02-28,5.938,,,,,,,,,,,,,
2001-03-01,5.813,,,,,,,,,,,,,
2001-03-02,5.625,,,,,,,,,,,,,
2001-03-05,5.5,,,,,,,,,,,,,
2001-03-06,5.5,,,,,,,,,,,,,
2001-03-07,5.625,,,,,,,,,,,,,
2001-03-08,6.0,,,,,,,,,,,,,
2001-03-09,6.063,,,,,,,,,,,,,
2001-03-12,5.875,,,,,,,,,,,,,
2001-03-13,5.813,,,,,,,,,,,,,
2001-03-14,5.75,,,,,,,,,,,,,
2001-03-15,5.563,,,,,,,,,,,,,
2001-03-16,5.563,,,,,,,,,,,,,
2001-03-19,5.656,,,,,,,,,,,,,
2001-03-20,6.063,,,,,,,,,,,,,
2001-03-21,5.875,,,,,,,,,,,,,
2001-03-22,5.75,,,,,,,,,,,,,
2001-03-23,5.656,,,,,,,,,,,,,
2001-03-26,5.625,,,,,,,,,,,,,
2001-03-27,5.938,,,,,,,,,,,,,
2001-03-28,5.875,,,,,,,,,,,,,
2001-03-29,5.75,,,,,,,,,,,,,
2001-03-30,5.781,,,,,,,,,,,,,
2001-04-02,4.813,,,,,,,,,,,,,
2001-04-03,4.906,,,,,,,,,,,,,
2001-04-04,5.594,,,,,,,,,,,,,
2001-04-05,6.0,,,,,,,,,,,,,
2001-04-06,6.188,,,,,,,,,,,,,
2001-04-09,6.24,,,,,,,,,,,,,
2001-04-10,6.28,,,,,,,,,,,,,
2001-04-11,6.27,,,,,,,,,,,,,
2001-04-12,6.41,,,,,,,,,,,,,
2001-04-16,6.73,,,,,,,,,,,,,
2001-04-17,7.0,,,,,,,,,,,,,
2001-04-18,6.8,,,,,,,,,,,,,
2001-04-19,6.6,,,,,,,,,,,,,
2001-04-20,6.55,,,,,,,,,,,,,
2001-04-23,6.46,,,,,,,,,,,,,
2001-04-24,6.24,,,,,,,,,,,,,
2001-04-25,6.1,,,,,,,,,,,,,
2001-04-26,6.0,,,,,,,,,,,,,
2001-04-27,6.03,,,,,,,,,,,,,
2001-04-30,6.03,,,,,,,,,,,,,
2001-05-01,6.09,,,,,,,,,,,,,
2001-05-02,6.15,,,,,,,,,,,,,
2001-05-03,6.35,,,,,,,,,,,,,
2001-05-04,6.92,,,,,,,,,,,,,
2001-05-07,6.88,,,,,,,,,,,,,
2001-05-08,6.99,,,,,,,,,,,,,
2001-05-09,6.95,,,,,,,,,,,,,
2001-05-10,6.98,,,,,,,,,,,,,
2001-05-11,7.0,,,,,,,,,,,,,
2001-05-14,7.36,,,,,,,,,,,,,
2001-05-15,7.85,,,,,,,,,,,,,
2001-05-16,7.7,,,,,,,,,,,,,
2001-05-17,7.75,,,,,,,,,,,,,
2001-05-18,7.87,,,,,,,,,,,,,
2001-05-21,8.0,,,,,,,,,,,,,
2001-05-22,7.67,,,,,,,,,,,,,
2001-05-23,8.0,,,,,,,,,,,,,
2001-05-24,8.07,,,,,,,,,,,,,
2001-05-25,8.04,,,,,,,,,,,,,
2001-05-29,8.45,,,,,,,,,,,,,
2001-05-30,9.1,,,,,,,,,,,,,
2001-05-31,8.95,,,,,,,,,,,,,
2001-06-01,8.95,,,,,,,,,,,,,
2001-06-04,8.95,,,,,,,,,,,,,
2001-06-05,9.22,,,,,,,,,,,,,
2001-06-06,9.18,,,,,,,,,,,,,
2001-06-07,9.06,,,,,,,,,,,,,
2001-06-08,9.01,,,,,,,,,,,,,
2001-06-11,9.11,,,,,,,,,,,,,
2001-06-12,9.94,,,,,,,,,,,,,
2001-06-13,9.77,,,,,,,,,,,,,
2001-06-14,9.83,,,,,,,,,,,,,
2001-06-15,9.39,,,,,,,,,,,,,
2001-06-18,9.0,,,,,,,,,,,,,
2001-06-19,8.95,,,,,,,,,,,,,
2001-06-20,8.64,,,,,,,,,,,,,
2001-06-21,9.08,,,,,,,,,,,,,
2001-06-22,8.67,,,,,,,,,,,,,
2001-06-25,8.1,,,,,,,,,,,,,
2001-06-26,8.16,,,,,,,,,,,,,
2001-06-27,8.23,,,,,,,,,,,,,
2001-06-28,8.71,,,,,,,,,,,,,
2001-06-29,8.74,,,,,,,,,,,,,
2001-07-02,9.07,,,,,,,,,,,,,
2001-07-03,8.75,,,,,,,,,,,,,
2001-07-05,8.77,,,,,,,,,,,,,
2001-07-06,8.6,,,,,,,,,,,,,
2001-07-09,8.57,,,,,,,,,,,,,
2001-07-10,8.45,,,,,,,,,,,,,
2001-07-11,8.45,,,,,,,,,,,,,
2001-07-12,8.75,,,,,,,,,,,,,
2001-07-13,8.75,,,,,,,,,,,,,
2001-07-16,8.87,,,,,,,,,,,,,
2001-07-17,9.03,,,,,,,,,,,,,
2001-07-18,8.95,,,,,,,,,,,,,
2001-07-19,8.33,,,,,,,,,,,,,
2001-07-20,8.32,,,,,,,,,,,,,
2001-07-23,8.52,,,,,,,,,,,,,
2001-07-24,8.65,,,,,,,,,,,,,
2001-07-25,8.8,,,,,,,,,,,,,
2001-07-26,8.75,,,,,,,,,,,,,
2001-07-27,8.75,,,,,,,,,,,,,
2001-07-30,8.84,,,,,,,,,,,,,
2001-07-31,8.9,,,,,,,,,,,,,
2001-08-01,8.98,,,,,,,,,,,,,
2001-08-02,9.06,,,,,,,,,,,,,
2001-08-03,9.09,,,,,,,,,,,,,
2001-08-06,9.06,,,,,,,,,,,,,
2001-08-07,9.12,,,,,,,,,,,,,
2001-08-08,9.1,,,,,,,,,,,,,
2001-08-09,9.29,,,,,,,,,,,,,
2001-08-10,9.3,,,,,,,,,,,,,
2001-08-13,9.3,,,,,,,,,,,,,
2001-08-14,9.39,,,,,,,,,,,,,
2001-08-15,8.95,,,,,,,,,,,,,
2001-08-16,7.8,,,,,,,,,,,,,
2001-08-17,8.45,,,,,,,,,,,,,
2001-08-20,8.45,,,,,,,,,,,,,
2001-08-21,8.67,,,,,,,,,,,,,
2001-08-22,8.94,,,,,,,,,,,,,
2001-08-23,8.89,,,,,,,,,,,,,
2001-08-24,9.0,,,,,,,,,,,,,
2001-08-27,9.01,,,,,,,,,,,,,
2001-08-28,8.97,,,,,,,,,,,,,
2001-08-29,9.0,,,,,,,,,,,,,
2001-08-30,8.92,,,,,,,,,,,,,
2001-08-31,9.0,,,,,,,,,,,,,
2001-09-04,9.1,,,,,,,,,,,,,
2001-09-05,8.35,,,,,,,,,,,,,
2001-09-06,8.12,,,,,,,,,,,,,
2001-09-07,8.1,,,,,,,,,,,,,
2001-09-10,7.82,,,,,,,,,,,,,
2001-09-17,7.75,,,,,,,,,,,,,
2001-09-18,7.43,,,,,,,,,,,,,
2001-09-19,7.2,,,,,,,,,,,,,
2001-09-20,7.05,,,,,,,,,,,,,
2001-09-21,6.75,,,,,,,,,,,,,
2001-09-24,6.67,,,,,,,,,,,,,
2001-09-25,6.67,,,,,,,,,,,,,
2001-09-26,5.9,,,,,,,,,,,,,
2001-09-27,5.2,,,,,,,,,,,,,
2001-09-28,5.22,,,,,,,,,,,,,
2001-10-01,4.98,,,,,,,,,,,,,
2001-10-02,5.35,,,,,,,,,,,,,
2001-10-03,4.98,,,,,,,,,,,,,
2001-10-04,4.96,,,,,,,,,,,,,
2001-10-05,4.99,,,,,,,,,,,,,
2001-10-08,5.04,,,,,,,,,,,,,
2001-10-09,4.95,,,,,,,,,,,,,
2001-10-10,4.96,,,,,,,,,,,,,
2001-10-11,4.94,,,,,,,,,,,,,
2001-10-12,5.01,,,,,,,,,,,,,
2001-10-15,5.28,,,,,,,,,,,,,
2001-10-16,5.38,,,,,,,,,,,,,
2001-10-17,5.03,,,,,,,,,,,,,
2001-10-18,5.09,,,,,,,,,,,,,
2001-10-19,5.1,,,,,,,,,,,,,
2001-10-22,5.06,,,,,,,,,,,,,
2001-10-23,5.51,,,,,,,,,,,,,
2001-10-24,5.95,,,,,,,,,,,,,
2001-10-25,5.85,,,,,,,,,,,,,
2001-10-26,6.0,,,,,,,,,,,,,
2001-10-29,5.5,,,,,,,,,,,,,
2001-10-30,5.43,,,,,,,,,,,,,
2001-10-31,4.53,,,,,,,,,,,,,
2001-11-01,4.72,,,,,,,,,,,,,
2001-11-02,4.84,,,,,,,,,,,,,
2001-11-05,4.71,,,,,,,,,,,,,
2001-11-06,4.79,,,,,,,,,,,,,
2001-11-07,4.1,,,,,,,,,,,,,
2001-11-08,4.25,,,,,,,,,,,,,
2001-11-09,4.62,,,,,,,,,,,,,
2001-11-12,4.73,,,,,,,,,,,,,
2001-11-13,4.84,,,,,,,,,,,,,
2001-11-14,4.76,,,,,,,,,,,,,
2001-11-15,4.99,,,,,,,,,,,,,
2001-11-16,5.2,,,,,,,,,,,,,
2001-11-19,5.26,,,,,,,,,,,,,
2001-11-20,5.21,,,,,,,,,,,,,
2001-11-21,5.06,,,,,,,,,,,,,
2001-11-23,4.96,,,,,,,,,,,,,
2001-11-26,5.31,,,,,,,,,,,,,
2001-11-27,5.28,,,,,,,,,,,,,
