date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,18.13,,,,,,,,,,,,,
1999-11-02,18.38,,,,,,,,,,,,,
1999-11-03,18.5,,,,,,,,,,,,,
1999-11-04,18.38,,,,,,,,,,,,,
1999-11-05,18.31,,,,,,,,,,,,,
1999-11-08,18.38,,,,,,,,,,,,,
1999-11-09,18.25,,,,,,,,,,,,,
1999-11-10,18.13,,,,,,,,,,,,,
1999-11-11,17.81,,,,,,,,,,,,,
1999-11-12,17.75,,,,,,,,,,,,,
1999-11-15,17.81,,,,,,,,,,,,,
1999-11-16,17.88,,,,,,,,,,,,,
1999-11-17,17.81,,,,,,,,,,,,,
1999-11-18,17.81,,,,,,,,,,,,,
1999-11-19,17.81,,,,,,,,,,,,,
1999-11-22,17.38,,,,,,,,,,,,,
1999-11-23,17.63,,,,,,,,,,,,,
1999-11-24,17.69,,,,,,,,,,,,,
1999-11-26,17.56,,,,,,,,,,,,,
1999-11-29,17.5,,,,,,,,,,,,,
1999-11-30,17.38,,,,,,,,,,,,,
1999-12-01,17.25,,,,,,,,,,,,,
1999-12-02,17.31,,,,,,,,,,,,,
1999-12-03,17.13,,,,,,,,,,,,,
1999-12-06,17.0,,,,,,,,,,,,,
1999-12-07,16.88,,,,,,,,,,,,,
1999-12-08,16.75,,,,,,,,,,,,,
1999-12-09,17.44,,,,,,,,,,,,,
1999-12-10,17.75,,,,,,,,,,,,,
1999-12-13,17.75,,,,,,,,,,,,,
1999-12-14,17.69,,,,,,,,,,,,,
1999-12-15,16.5,,,,,,,,,,,,,
1999-12-16,16.75,,,,,,,,,,,,,
1999-12-17,17.0,,,,,,,,,,,,,
1999-12-20,17.25,,,,,,,,,,,,,
1999-12-21,16.63,,,,,,,,,,,,,
1999-12-22,16.44,,,,,,,,,,,,,
1999-12-23,16.88,,,,,,,,,,,,,
1999-12-27,17.19,,,,,,,,,,,,,
1999-12-28,17.88,,,,,,,,,,,,,
1999-12-29,18.19,,,,,,,,,,,,,
1999-12-30,18.25,,,,,,,,,,,,,
1999-12-31,18.5,,,,,,,,,,,,,
2000-01-03,18.31,,,,,,,,,,,,,
2000-01-04,17.81,,,,,,,,,,,,,
2000-01-05,17.5,,,,,,,,,,,,,
2000-01-06,18.25,,,,,,,,,,,,,
2000-01-07,18.69,,,,,,,,,,,,,
2000-01-10,19.13,,,,,,,,,,,,,
2000-01-11,19.13,,,,,,,,,,,,,
2000-01-12,19.44,,,,,,,,,,,,,
2000-01-13,19.5,,,,,,,,,,,,,
2000-01-14,18.75,,,,,,,,,,,,,
2000-01-18,19.25,,,,,,,,,,,,,
2000-01-19,19.13,,,,,,,,,,,,,
2000-01-20,19.38,,,,,,,,,,,,,
2000-01-21,19.38,,,,,,,,,,,,,
2000-01-24,19.56,,,,,,,,,,,,,
2000-01-25,19.25,,,,,,,,,,,,,
2000-01-26,19.38,,,,,,,,,,,,,
2000-01-27,19.06,,,,,,,,,,,,,
2000-01-28,19.13,,,,,,,,,,,,,
2000-01-31,19.13,,,,,,,,,,,,,
2000-02-01,19.13,,,,,,,,,,,,,
2000-02-02,19.38,,,,,,,,,,,,,
2000-02-03,19.31,,,,,,,,,,,,,
2000-02-04,19.75,,,,,,,,,,,,,
2000-02-07,19.38,,,,,,,,,,,,,
2000-02-08,19.25,,,,,,,,,,,,,
2000-02-09,18.56,,,,,,,,,,,,,
2000-02-10,19.69,,,,,,,,,,,,,
2000-02-11,19.63,,,,,,,,,,,,,
2000-02-14,19.56,,,,,,,,,,,,,
2000-02-15,19.63,,,,,,,,,,,,,
2000-02-16,19.06,,,,,,,,,,,,,
2000-02-17,19.13,,,,,,,,,,,,,
2000-02-18,19.0,,,,,,,,,,,,,
2000-02-22,18.5,,,,,,,,,,,,,
2000-02-23,18.81,,,,,,,,,,,,,
2000-02-24,18.75,,,,,,,,,,,,,
2000-02-25,19.75,,,,,,,,,,,,,
2000-02-28,19.44,,,,,,,,,,,,,
2000-02-29,19.69,,,,,,,,,,,,,
2000-03-01,20.0,,,,,,,,,,,,,
2000-03-02,19.88,,,,,,,,,,,,,
2000-03-03,20.06,,,,,,,,,,,,,
2000-03-06,20.31,,,,,,,,,,,,,
2000-03-07,19.88,,,,,,,,,,,,,
2000-03-08,20.31,,,,,,,,,,,,,
2000-03-09,19.88,,,,,,,,,,,,,
2000-03-10,19.88,,,,,,,,,,,,,
2000-03-13,19.94,,,,,,,,,,,,,
2000-03-14,20.5,,,,,,,,,,,,,
2000-03-15,20.38,,,,,,,,,,,,,
2000-03-16,20.5,,,,,,,,,,,,,
2000-03-17,20.56,,,,,,,,,,,,,
2000-03-20,20.44,,,,,,,,,,,,,
2000-03-21,20.63,,,,,,,,,,,,,
2000-03-22,21.25,,,,,,,,,,,,,
2000-03-23,21.19,,,,,,,,,,,,,
2000-03-24,21.19,,,,,,,,,,,,,
2000-03-27,21.25,,,,,,,,,,,,,
2000-03-28,21.25,,,,,,,,,,,,,
2000-03-29,21.38,,,,,,,,,,,,,
2000-03-30,21.31,,,,,,,,,,,,,
2000-03-31,21.5,,,,,,,,,,,,,
2000-04-03,21.25,,,,,,,,,,,,,
2000-04-04,21.13,,,,,,,,,,,,,
2000-04-05,20.94,,,,,,,,,,,,,
2000-04-06,20.63,,,,,,,,,,,,,
2000-04-07,20.56,,,,,,,,,,,,,
2000-04-10,20.38,,,,,,,,,,,,,
2000-04-11,20.31,,,,,,,,,,,,,
2000-04-12,20.5,,,,,,,,,,,,,
2000-04-13,20.69,,,,,,,,,,,,,
2000-04-14,21.5,,,,,,,,,,,,,
2000-04-17,20.69,,,,,,,,,,,,,
2000-04-18,20.38,,,,,,,,,,,,,
2000-04-19,20.31,,,,,,,,,,,,,
2000-04-20,20.63,,,,,,,,,,,,,
2000-04-24,20.5,,,,,,,,,,,,,
2000-04-25,20.75,,,,,,,,,,,,,
2000-04-26,20.94,,,,,,,,,,,,,
2000-04-27,20.69,,,,,,,,,,,,,
2000-04-28,20.81,,,,,,,,,,,,,
2000-05-01,21.13,,,,,,,,,,,,,
2000-05-02,21.0,,,,,,,,,,,,,
2000-05-03,20.81,,,,,,,,,,,,,
2000-05-04,21.19,,,,,,,,,,,,,
2000-05-05,21.31,,,,,,,,,,,,,
2000-05-08,20.81,,,,,,,,,,,,,
2000-05-09,21.13,,,,,,,,,,,,,
2000-05-10,20.75,,,,,,,,,,,,,
2000-05-11,20.75,,,,,,,,,,,,,
2000-05-12,20.5,,,,,,,,,,,,,
2000-05-15,20.75,,,,,,,,,,,,,
2000-05-16,20.63,,,,,,,,,,,,,
2000-05-17,20.88,,,,,,,,,,,,,
2000-05-18,20.5,,,,,,,,,,,,,
2000-05-19,20.13,,,,,,,,,,,,,
2000-05-22,20.31,,,,,,,,,,,,,
2000-05-23,20.63,,,,,,,,,,,,,
2000-05-24,20.13,,,,,,,,,,,,,
2000-05-25,20.06,,,,,,,,,,,,,
2000-05-26,20.31,,,,,,,,,,,,,
2000-05-30,20.75,,,,,,,,,,,,,
2000-05-31,20.81,,,,,,,,,,,,,
2000-06-01,21.75,,,,,,,,,,,,,
2000-06-02,21.75,,,,,,,,,,,,,
2000-06-05,21.44,,,,,,,,,,,,,
2000-06-06,21.63,,,,,,,,,,,,,
2000-06-07,21.5,,,,,,,,,,,,,
2000-06-08,21.56,,,,,,,,,,,,,
2000-06-09,21.63,,,,,,,,,,,,,
2000-06-12,21.63,,,,,,,,,,,,,
2000-06-13,21.56,,,,,,,,,,,,,
2000-06-14,21.38,,,,,,,,,,,,,
2000-06-15,21.38,,,,,,,,,,,,,
2000-06-16,21.5,,,,,,,,,,,,,
2000-06-19,21.31,,,,,,,,,,,,,
2000-06-20,21.13,,,,,,,,,,,,,
2000-06-21,21.06,,,,,,,,,,,,,
2000-06-22,21.06,,,,,,,,,,,,,
2000-06-23,20.88,,,,,,,,,,,,,
2000-06-26,21.13,,,,,,,,,,,,,
2000-06-27,21.06,,,,,,,,,,,,,
2000-06-28,21.19,,,,,,,,,,,,,
2000-06-29,21.38,,,,,,,,,,,,,
2000-06-30,21.08,,,,,,,,,,,,,
2000-07-03,21.31,,,,,,,,,,,,,
2000-07-05,21.38,,,,,,,,,,,,,
2000-07-06,21.69,,,,,,,,,,,,,
2000-07-07,22.13,,,,,,,,,,,,,
2000-07-10,22.88,,,,,,,,,,,,,
2000-07-11,22.5,,,,,,,,,,,,,
2000-07-12,22.0,,,,,,,,,,,,,
2000-07-13,21.75,,,,,,,,,,,,,
2000-07-14,22.13,,,,,,,,,,,,,
2000-07-17,22.19,,,,,,,,,,,,,
2000-07-18,22.13,,,,,,,,,,,,,
2000-07-19,21.81,,,,,,,,,,,,,
2000-07-20,21.94,,,,,,,,,,,,,
2000-07-21,22.81,,,,,,,,,,,,,
2000-07-24,22.25,,,,,,,,,,,,,
2000-07-25,22.56,,,,,,,,,,,,,
2000-07-26,23.13,,,,,,,,,,,,,
2000-07-27,22.81,,,,,,,,,,,,,
2000-07-28,22.38,,,,,,,,,,,,,
2000-07-31,23.25,,,,,,,,,,,,,
2000-08-01,23.75,,,,,,,,,,,,,
2000-08-02,23.88,,,,,,,,,,,,,
2000-08-03,23.06,,,,,,,,,,,,,
2000-08-04,23.19,,,,,,,,,,,,,
2000-08-07,23.25,,,,,,,,,,,,,
2000-08-08,23.5,,,,,,,,,,,,,
2000-08-09,23.0,,,,,,,,,,,,,
2000-08-10,22.75,,,,,,,,,,,,,
2000-08-11,23.25,,,,,,,,,,,,,
2000-08-14,23.19,,,,,,,,,,,,,
2000-08-15,23.0,,,,,,,,,,,,,
2000-08-16,23.13,,,,,,,,,,,,,
2000-08-17,22.94,,,,,,,,,,,,,
2000-08-18,22.44,,,,,,,,,,,,,
2000-08-21,22.38,,,,,,,,,,,,,
2000-08-22,22.25,,,,,,,,,,,,,
2000-08-23,22.0,,,,,,,,,,,,,
2000-08-24,21.88,,,,,,,,,,,,,
2000-08-25,21.56,,,,,,,,,,,,,
2000-08-28,21.06,,,,,,,,,,,,,
2000-08-29,20.88,,,,,,,,,,,,,
2000-08-30,21.0,,,,,,,,,,,,,
2000-08-31,21.88,,,,,,,,,,,,,
2000-09-01,21.44,,,,,,,,,,,,,
2000-09-05,21.31,,,,,,,,,,,,,
2000-09-06,21.5,,,,,,,,,,,,,
