date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2001-02-01,15.0,,,,,,,,,,,,,
2001-02-02,14.38,,,,,,,,,,,,,
2001-02-05,14.06,,,,,,,,,,,,,
2001-02-06,14.0,,,,,,,,,,,,,
2001-02-07,14.0,,,,,,,,,,,,,
2001-02-08,12.13,,,,,,,,,,,,,
2001-02-09,11.31,,,,,,,,,,,,,
2001-02-12,11.63,,,,,,,,,,,,,
2001-02-13,11.5,,,,,,,,,,,,,
2001-02-14,11.06,,,,,,,,,,,,,
2001-02-15,11.0,,,,,,,,,,,,,
2001-02-16,11.0,,,,,,,,,,,,,
2001-02-20,11.0,,,,,,,,,,,,,
2001-02-21,11.0,,,,,,,,,,,,,
2001-02-22,11.06,,,,,,,,,,,,,
2001-02-23,11.0,,,,,,,,,,,,,
2001-02-26,11.0,,,,,,,,,,,,,
2001-02-27,11.0,,,,,,,,,,,,,
2001-02-28,11.0,,,,,,,,,,,,,
2001-03-01,11.0,,,,,,,,,,,,,
2001-03-02,11.0,,,,,,,,,,,,,
2001-03-05,10.13,,,,,,,,,,,,,
2001-03-06,10.0,,,,,,,,,,,,,
2001-03-07,9.25,,,,,,,,,,,,,
2001-03-08,9.25,,,,,,,,,,,,,
2001-03-09,8.938,,,,,,,,,,,,,
2001-03-12,8.938,,,,,,,,,,,,,
2001-03-13,8.875,,,,,,,,,,,,,
2001-03-14,8.969,,,,,,,,,,,,,
2001-03-15,8.875,,,,,,,,,,,,,
2001-03-16,9.0,,,,,,,,,,,,,
2001-03-19,8.688,,,,,,,,,,,,,
2001-03-20,8.375,,,,,,,,,,,,,
2001-03-21,8.5,,,,,,,,,,,,,
2001-03-22,8.375,,,,,,,,,,,,,
2001-03-23,7.781,,,,,,,,,,,,,
2001-03-26,7.781,,,,,,,,,,,,,
2001-03-27,7.625,,,,,,,,,,,,,
2001-03-28,7.656,,,,,,,,,,,,,
2001-03-29,7.5,,,,,,,,,,,,,
2001-03-30,7.625,,,,,,,,,,,,,
2001-04-02,7.5,,,,,,,,,,,,,
2001-04-03,6.938,,,,,,,,,,,,,
2001-04-04,6.5,,,,,,,,,,,,,
2001-04-05,6.063,,,,,,,,,,,,,
2001-04-06,5.813,,,,,,,,,,,,,
2001-04-09,5.3,,,,,,,,,,,,,
2001-04-10,5.5,,,,,,,,,,,,,
2001-04-11,5.5,,,,,,,,,,,,,
2001-04-12,5.55,,,,,,,,,,,,,
2001-04-16,5.53,,,,,,,,,,,,,
2001-04-17,5.5,,,,,,,,,,,,,
2001-04-18,5.65,,,,,,,,,,,,,
2001-04-19,6.0,,,,,,,,,,,,,
2001-04-20,5.85,,,,,,,,,,,,,
2001-04-23,5.91,,,,,,,,,,,,,
2001-04-24,6.05,,,,,,,,,,,,,
2001-04-25,5.95,,,,,,,,,,,,,
2001-04-26,6.0,,,,,,,,,,,,,
2001-04-27,6.0,,,,,,,,,,,,,
2001-04-30,6.35,,,,,,,,,,,,,
2001-05-01,6.95,,,,,,,,,,,,,
2001-05-02,7.0,,,,,,,,,,,,,
2001-05-03,7.1,,,,,,,,,,,,,
2001-05-04,7.0,,,,,,,,,,,,,
2001-05-07,6.95,,,,,,,,,,,,,
2001-05-08,7.08,,,,,,,,,,,,,
2001-05-09,7.05,,,,,,,,,,,,,
2001-05-10,7.2,,,,,,,,,,,,,
2001-05-11,7.15,,,,,,,,,,,,,
2001-05-14,7.05,,,,,,,,,,,,,
2001-05-15,7.3,,,,,,,,,,,,,
2001-05-16,7.3,,,,,,,,,,,,,
2001-05-17,7.3,,,,,,,,,,,,,
2001-05-18,7.07,,,,,,,,,,,,,
2001-05-21,8.19,,,,,,,,,,,,,
2001-05-22,8.34,,,,,,,,,,,,,
2001-05-23,8.75,,,,,,,,,,,,,
2001-05-24,9.05,,,,,,,,,,,,,
2001-05-25,9.85,,,,,,,,,,,,,
2001-05-29,9.25,,,,,,,,,,,,,
2001-05-30,9.06,,,,,,,,,,,,,
2001-05-31,9.21,,,,,,,,,,,,,
2001-06-01,9.8,,,,,,,,,,,,,
2001-06-04,9.9,,,,,,,,,,,,,
2001-06-05,10.74,,,,,,,,,,,,,
2001-06-06,10.62,,,,,,,,,,,,,
2001-06-07,11.85,,,,,,,,,,,,,
2001-06-08,13.32,,,,,,,,,,,,,
2001-06-11,13.61,,,,,,,,,,,,,
2001-06-12,12.57,,,,,,,,,,,,,
2001-06-13,13.0,,,,,,,,,,,,,
2001-06-14,13.15,,,,,,,,,,,,,
2001-06-15,12.51,,,,,,,,,,,,,
2001-06-18,11.32,,,,,,,,,,,,,
2001-06-19,11.15,,,,,,,,,,,,,
2001-06-20,12.55,,,,,,,,,,,,,
2001-06-21,11.71,,,,,,,,,,,,,
2001-06-22,12.08,,,,,,,,,,,,,
2001-06-25,12.05,,,,,,,,,,,,,
2001-06-26,12.1,,,,,,,,,,,,,
2001-06-27,12.65,,,,,,,,,,,,,
2001-06-28,13.55,,,,,,,,,,,,,
2001-06-29,13.76,,,,,,,,,,,,,
2001-07-02,13.2,,,,,,,,,,,,,
2001-07-03,13.8,,,,,,,,,,,,,
2001-07-05,14.9,,,,,,,,,,,,,
2001-07-06,15.17,,,,,,,,,,,,,
2001-07-09,14.7,,,,,,,,,,,,,
2001-07-10,13.54,,,,,,,,,,,,,
2001-07-11,13.26,,,,,,,,,,,,,
2001-07-12,13.25,,,,,,,,,,,,,
2001-07-13,13.1,,,,,,,,,,,,,
2001-07-16,12.89,,,,,,,,,,,,,
2001-07-17,12.25,,,,,,,,,,,,,
2001-07-18,12.2,,,,,,,,,,,,,
2001-07-19,12.43,,,,,,,,,,,,,
2001-07-20,12.4,,,,,,,,,,,,,
2001-07-23,12.0,,,,,,,,,,,,,
2001-07-24,10.02,,,,,,,,,,,,,
2001-07-25,9.9,,,,,,,,,,,,,
2001-07-26,8.997,,,,,,,,,,,,,
