date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2021-09-22,47.55,,,,,,,,,,,,,
2021-09-23,47.54,,,,,,,,,,,,,
2021-09-24,46.75,,,,,,,,,,,,,
2021-09-27,44.05,,,,,,,,,,,,,
2021-09-28,42.73,,,,,,,,,,,,,
2021-09-29,42.27,,,,,,,,,,,,,
2021-09-30,42.69,,,,,,,,,,,,,
2021-10-01,41.89,,,,,,,,,,,,,
2021-10-04,40.88,,,,,,,,,,,,,
2021-10-05,40.21,,,,,,,,,,,,,
2021-10-06,39.26,,,,,,,,,,,,,
2021-10-07,41.29,,,,,,,,,,,,,
2021-10-08,42.58,,,,,,,,,,,,,
2021-10-11,42.15,,,,,,,,,,,,,
2021-10-12,42.26,,,,,,,,,,,,,
2021-10-13,41.27,,,,,,,,,,,,,
2021-10-14,41.68,,,,,,,,,,,,,
2021-10-15,41.45,,,,,,,,,,,,,
2021-10-18,40.75,,,,,,,,,,,,,
2021-10-19,42.93,,,,,,,,,,,,,
2021-10-20,45.17,,,,,,,,,,,,,
2021-10-21,45.05,,,,,,,,,,,,,
2021-10-22,46.92,,,,,,,,,,,,,
2021-10-25,46.66,,,,,,,,,,,,,
2021-10-26,43.65,,,,,,,,,,,,,
2021-10-27,44.48,,,,,,,,,,,,,
2021-10-28,46.38,,,,,,,,,,,,,
2021-10-29,50.25,,,,,,,,,,,,,
2021-11-01,48.2,,,,,,,,,,,,,
2021-11-02,50.07,,,,,,,,,,,,,
2021-11-03,43.06,,,,,,,,,,,,,
2021-11-04,39.59,,,,,,,,,,,,,
2021-11-05,38.29,,,,,,,,,,,,,
2021-11-08,40.72,,,,,,,,,,,,,
2021-11-09,39.01,,,,,,,,,,,,,
2021-11-10,37.95,,,,,,,,,,,,,
2021-11-11,38.41,,,,,,,,,,,,,
2021-11-12,37.72,,,,,,,,,,,,,
2021-11-15,34.7,,,,,,,,,,,,,
2021-11-16,38.97,,,,,,,,,,,,,
2021-11-17,38.73,,,,,,,,,,,,,
2021-11-18,38.66,,,,,,,,,,,,,
2021-11-19,38.31,,,,,,,,,,,,,
2021-11-22,36.0,,,,,,,,,,,,,
2021-11-23,34.36,,,,,,,,,,,,,
2021-11-24,35.04,,,,,,,,,,,,,
2021-11-26,35.55,,,,,,,,,,,,,
2021-11-29,35.64,,,,,,,,,,,,,
2021-11-30,35.22,,,,,,,,,,,,,
2021-12-01,30.85,,,,,,,,,,,,,
2021-12-02,32.3,,,,,,,,,,,,,
2021-12-03,28.46,,,,,,,,,,,,,
2021-12-06,26.62,,,,,,,,,,,,,
2021-12-07,28.49,,,,,,,,,,,,,
2021-12-08,29.03,,,,,,,,,,,,,
2021-12-09,27.37,,,,,,,,,,,,,
2021-12-10,26.64,,,,,,,,,,,,,
2021-12-13,25.8,,,,,,,,,,,,,
2021-12-14,24.16,,,,,,,,,,,,,
2021-12-15,27.03,,,,,,,,,,,,,
2021-12-16,26.11,,,,,,,,,,,,,
2021-12-17,27.02,,,,,,,,,,,,,
2021-12-20,26.58,,,,,,,,,,,,,
2021-12-21,29.45,,,,,,,,,,,,,
2021-12-22,27.25,,,,,,,,,,,,,
2021-12-23,27.94,,,,,,,,,,,,,
2021-12-27,27.05,,,,,,,,,,,,,
2021-12-28,25.05,,,,,,,,,,,,,
2021-12-29,25.1,,,,,,,,,,,,,
2021-12-30,26.15,,,,,,,,,,,,,
2021-12-31,26.26,,,,,,,,,,,,,
2022-01-03,25.62,,,,,,,,,,,,,
2022-01-04,24.1,,,,,,,,,,,,,
2022-01-05,21.75,,,,,,,,,,,,,
2022-01-06,22.11,,,,,,,,,,,,,
2022-01-07,22.8,,,,,,,,,,,,,
2022-01-10,23.5,,,,,,,,,,,,,
2022-01-11,24.49,,,,,,,,,,,,,
2022-01-12,24.05,,,,,,,,,,,,,
2022-01-13,22.55,,,,,,,,,,,,,
2022-01-14,23.1,,,,,,,,,,,,,
2022-01-18,22.7,,,,,,,,,,,,,
2022-01-19,21.92,,,,,,,,,,,,,
2022-01-20,22.11,,,,,,,,,,,,,
2022-01-21,20.7,,,,,,,,,,,,,
2022-01-24,21.04,,,,,,,,,,,,,
2022-01-25,20.61,,,,,,,,,,,,,
