date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2021-10-14,103.89,,,,,,,,,,,,,
2021-10-15,115.0,,,,,,,,,,,,,
2021-10-18,105.52,,,,,,,,,,,,,
2021-10-19,107.72,,,,,,,,,,,,,
2021-10-20,105.56,,,,,,,,,,,,,
2021-10-21,112.67,,,,,,,,,,,,,
2021-10-22,120.03,,,,,,,,,,,,,
2021-10-25,121.9,,,,,,,,,,,,,
2021-10-26,108.94,,,,,,,,,,,,,
2021-10-27,105.21,,,,,,,,,,,,,
2021-10-28,107.8,,,,,,,,,,,,,
2021-10-29,112.2,,,,,,,,,,,,,
2021-11-01,115.72,,,,,,,,,,,,,
2021-11-02,119.01,,,,,,,,,,,,,
2021-11-03,113.75,,,,,,,,,,,,,
2021-11-04,119.03,,,,,,,,,,,,,
2021-11-05,123.54,,,,,,,,,,,,,
2021-11-08,130.88,,,,,,,,,,,,,
2021-11-09,130.81,,,,,,,,,,,,,
2021-11-10,128.66,,,,,,,,,,,,,
2021-11-11,121.74,,,,,,,,,,,,,
2021-11-12,125.0,,,,,,,,,,,,,
2021-11-15,119.55,,,,,,,,,,,,,
2021-11-16,121.63,,,,,,,,,,,,,
2021-11-17,119.05,,,,,,,,,,,,,
2021-11-18,115.56,,,,,,,,,,,,,
2021-11-19,112.01,,,,,,,,,,,,,
2021-11-22,102.55,,,,,,,,,,,,,
2021-11-23,94.79,,,,,,,,,,,,,
2021-11-24,96.85,,,,,,,,,,,,,
2021-11-26,95.99,,,,,,,,,,,,,
2021-11-29,100.02,,,,,,,,,,,,,
2021-11-30,96.54,,,,,,,,,,,,,
2021-12-01,89.32,,,,,,,,,,,,,
2021-12-02,91.23,,,,,,,,,,,,,
2021-12-03,88.0,,,,,,,,,,,,,
2021-12-06,89.16,,,,,,,,,,,,,
2021-12-07,81.74,,,,,,,,,,,,,
2021-12-08,84.32,,,,,,,,,,,,,
2021-12-09,76.92,,,,,,,,,,,,,
2021-12-10,75.0,,,,,,,,,,,,,
2021-12-13,72.75,,,,,,,,,,,,,
2021-12-14,77.16,,,,,,,,,,,,,
2021-12-15,82.1,,,,,,,,,,,,,
2021-12-16,77.11,,,,,,,,,,,,,
2021-12-17,85.69,,,,,,,,,,,,,
2021-12-20,92.86,,,,,,,,,,,,,
2021-12-21,94.84,,,,,,,,,,,,,
2021-12-22,93.72,,,,,,,,,,,,,
2021-12-23,94.27,,,,,,,,,,,,,
2021-12-27,94.21,,,,,,,,,,,,,
2021-12-28,92.35,,,,,,,,,,,,,
2021-12-29,90.85,,,,,,,,,,,,,
2021-12-30,89.21,,,,,,,,,,,,,
2021-12-31,87.0,,,,,,,,,,,,,
2022-01-03,80.57,,,,,,,,,,,,,
2022-01-04,77.99,,,,,,,,,,,,,
2022-01-05,68.87,,,,,,,,,,,,,
2022-01-06,69.94,,,,,,,,,,,,,
2022-01-07,70.69,,,,,,,,,,,,,
2022-01-10,72.9,,,,,,,,,,,,,
2022-01-11,73.84,,,,,,,,,,,,,
2022-01-12,70.97,,,,,,,,,,,,,
2022-01-13,65.53,,,,,,,,,,,,,
2022-01-14,64.06,,,,,,,,,,,,,
2022-01-18,60.22,,,,,,,,,,,,,
2022-01-19,59.38,,,,,,,,,,,,,
2022-01-20,61.04,,,,,,,,,,,,,
2022-01-21,59.91,,,,,,,,,,,,,
2022-01-24,60.12,,,,,,,,,,,,,
2022-01-25,55.7,,,,,,,,,,,,,
2022-01-26,57.74,,,,,,,,,,,,,
2022-01-27,60.4,,,,,,,,,,,,,
2022-01-28,60.99,,,,,,,,,,,,,
2022-01-31,64.01,,,,,,,,,,,,,
2022-02-01,67.56,,,,,,,,,,,,,
2022-02-02,64.02,,,,,,,,,,,,,
2022-02-03,61.61,,,,,,,,,,,,,
2022-02-04,72.4,,,,,,,,,,,,,
2022-02-07,72.21,,,,,,,,,,,,,
2022-02-08,74.4,,,,,,,,,,,,,
2022-02-09,78.7,,,,,,,,,,,,,
2022-02-10,75.98,,,,,,,,,,,,,
2022-02-11,71.9,,,,,,,,,,,,,
2022-02-14,71.56,,,,,,,,,,,,,
2022-02-15,75.5,,,,,,,,,,,,,
2022-02-16,72.91,,,,,,,,,,,,,
2022-02-17,66.81,,,,,,,,,,,,,
2022-02-18,61.28,,,,,,,,,,,,,
2022-02-22,58.55,,,,,,,,,,,,,
2022-02-23,54.99,,,,,,,,,,,,,
2022-02-24,58.15,,,,,,,,,,,,,
2022-02-25,56.87,,,,,,,,,,,,,
2022-02-28,58.27,,,,,,,,,,,,,
2022-03-01,54.39,,,,,,,,,,,,,
2022-03-02,55.48,,,,,,,,,,,,,
2022-03-03,48.99,,,,,,,,,,,,,
2022-03-04,44.74,,,,,,,,,,,,,
2022-03-07,37.85,,,,,,,,,,,,,
2022-03-08,39.5,,,,,,,,,,,,,
2022-03-09,40.6,,,,,,,,,,,,,
2022-03-10,39.33,,,,,,,,,,,,,
2022-03-11,35.5,,,,,,,,,,,,,
2022-03-14,33.1,,,,,,,,,,,,,
2022-03-15,35.67,,,,,,,,,,,,,
2022-03-16,42.74,,,,,,,,,,,,,
2022-03-17,49.4,,,,,,,,,,,,,
2022-03-18,62.79,,,,,,,,,,,,,
2022-03-21,57.05,,,,,,,,,,,,,
2022-03-22,56.97,,,,,,,,,,,,,
2022-03-23,54.19,,,,,,,,,,,,,
2022-03-24,52.76,,,,,,,,,,,,,
2022-03-25,50.55,,,,,,,,,,,,,
2022-03-28,53.76,,,,,,,,,,,,,
2022-03-29,57.63,,,,,,,,,,,,,
2022-03-30,53.9,,,,,,,,,,,,,
2022-03-31,54.45,,,,,,,,,,,,,
2022-04-01,54.68,,,,,,,,,,,,,
2022-04-04,58.92,,,,,,,,,,,,,
2022-04-05,57.29,,,,,,,,,,,,,
2022-04-06,53.54,,,,,,,,,,,,,
2022-04-07,49.87,,,,,,,,,,,,,
2022-04-08,47.72,,,,,,,,,,,,,
2022-04-11,46.35,,,,,,,,,,,,,
2022-04-12,47.03,,,,,,,,,,,,,
2022-04-13,50.86,,,,,,,,,,,,,
2022-04-14,50.46,,,,,,,,,,,,,
2022-04-18,50.5,,,,,,,,,,,,,
2022-04-19,54.61,,,,,,,,,,,,,
2022-04-20,54.01,,,,,,,,,,,,,
2022-04-21,48.13,,,,,,,,,,,,,
2022-04-22,48.16,,,,,,,,,,,,,
2022-04-25,53.59,,,,,,,,,,,,,
2022-04-26,50.97,,,,,,,,,,,,,
2022-04-27,50.26,,,,,,,,,,,,,
2022-04-28,51.34,,,,,,,,,,,,,
2022-04-29,47.93,,,,,,,,,,,,,
2022-05-02,50.62,,,,,,,,,,,,,
2022-05-03,48.8,,,,,,,,,,,,,
2022-05-04,54.08,,,,,,,,,,,,,
2022-05-05,47.79,,,,,,,,,,,,,
2022-05-06,42.37,,,,,,,,,,,,,
2022-05-09,36.92,,,,,,,,,,,,,
2022-05-10,36.76,,,,,,,,,,,,,
2022-05-11,34.48,,,,,,,,,,,,,
2022-05-12,37.85,,,,,,,,,,,,,
2022-05-13,44.54,,,,,,,,,,,,,
2022-05-16,39.86,,,,,,,,,,,,,
2022-05-17,40.21,,,,,,,,,,,,,
2022-05-18,37.7,,,,,,,,,,,,,
2022-05-19,39.03,,,,,,,,,,,,,
2022-05-20,37.75,,,,,,,,,,,,,
2022-05-23,37.88,,,,,,,,,,,,,
2022-05-24,34.84,,,,,,,,,,,,,
2022-05-25,37.09,,,,,,,,,,,,,
2022-05-26,40.07,,,,,,,,,,,,,
2022-05-27,42.94,,,,,,,,,,,,,
2022-05-31,38.94,,,,,,,,,,,,,
2022-06-01,38.33,,,,,,,,,,,,,
2022-06-02,44.9,,,,,,,,,,,,,
2022-06-03,40.93,,,,,,,,,,,,,
2022-06-06,39.84,,,,,,,,,,,,,
2022-06-07,51.0,,,,,,,,,,,,,
2022-06-08,50.35,,,,,,,,,,,,,
2022-06-09,49.16,,,,,,,,,,,,,
2022-06-10,44.95,,,,,,,,,,,,,
2022-06-13,42.52,,,,,,,,,,,,,
2022-06-14,45.14,,,,,,,,,,,,,
2022-06-15,47.84,,,,,,,,,,,,,
2022-06-16,43.93,,,,,,,,,,,,,
2022-06-17,44.01,,,,,,,,,,,,,
2022-06-21,46.73,,,,,,,,,,,,,
2022-06-22,47.88,,,,,,,,,,,,,
2022-06-23,52.93,,,,,,,,,,,,,
2022-06-24,54.36,,,,,,,,,,,,,
2022-06-27,53.96,,,,,,,,,,,,,
2022-06-28,51.63,,,,,,,,,,,,,
2022-06-29,53.42,,,,,,,,,,,,,
2022-06-30,53.14,,,,,,,,,,,,,
2022-07-01,54.35,,,,,,,,,,,,,
2022-07-05,59.15,,,,,,,,,,,,,
2022-07-06,56.01,,,,,,,,,,,,,
2022-07-07,59.09,,,,,,,,,,,,,
2022-07-08,57.82,,,,,,,,,,,,,
2022-07-11,57.37,,,,,,,,,,,,,
2022-07-12,54.23,,,,,,,,,,,,,
2022-07-13,55.72,,,,,,,,,,,,,
2022-07-14,53.96,,,,,,,,,,,,,
2022-07-15,56.34,,,,,,,,,,,,,
2022-07-18,58.2,,,,,,,,,,,,,
2022-07-19,57.4,,,,,,,,,,,,,
2022-07-20,57.51,,,,,,,,,,,,,
2022-07-21,58.28,,,,,,,,,,,,,
2022-07-22,57.8,,,,,,,,,,,,,
2022-07-25,55.56,,,,,,,,,,,,,
2022-07-26,52.31,,,,,,,,,,,,,
2022-07-27,54.97,,,,,,,,,,,,,
2022-07-28,55.5,,,,,,,,,,,,,
2022-07-29,57.4,,,,,,,,,,,,,
2022-08-01,58.3,,,,,,,,,,,,,
2022-08-02,60.34,,,,,,,,,,,,,
2022-08-03,62.72,,,,,,,,,,,,,
2022-08-04,63.33,,,,,,,,,,,,,
2022-08-05,65.83,,,,,,,,,,,,,
2022-08-08,66.62,,,,,,,,,,,,,
2022-08-09,65.47,,,,,,,,,,,,,
2022-08-10,68.33,,,,,,,,,,,,,
