date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2008-03-28,23.15,,,,,,,,,,,,,
2008-03-31,22.1,,,,,,,,,,,,,
2008-04-01,21.5,,,,,,,,,,,,,
2008-04-02,20.9,,,,,,,,,,,,,
2008-04-03,20.3,,,,,,,,,,,,,
2008-04-04,20.37,,,,,,,,,,,,,
2008-04-07,19.71,,,,,,,,,,,,,
2008-04-08,19.97,,,,,,,,,,,,,
2008-04-09,20.05,,,,,,,,,,,,,
2008-04-10,19.43,,,,,,,,,,,,,
2008-04-11,19.5,,,,,,,,,,,,,
2008-04-14,19.71,,,,,,,,,,,,,
2008-04-15,19.38,,,,,,,,,,,,,
2008-04-16,18.92,,,,,,,,,,,,,
2008-04-17,18.01,,,,,,,,,,,,,
2008-04-18,18.21,,,,,,,,,,,,,
2008-04-21,18.12,,,,,,,,,,,,,
2008-04-22,18.23,,,,,,,,,,,,,
2008-04-23,18.02,,,,,,,,,,,,,
2008-04-24,18.22,,,,,,,,,,,,,
2008-04-25,19.67,,,,,,,,,,,,,
2008-04-28,19.06,,,,,,,,,,,,,
2008-04-29,18.29,,,,,,,,,,,,,
2008-04-30,19.04,,,,,,,,,,,,,
2008-05-01,19.3,,,,,,,,,,,,,
2008-05-02,19.28,,,,,,,,,,,,,
2008-05-05,19.08,,,,,,,,,,,,,
2008-05-06,18.98,,,,,,,,,,,,,
2008-05-07,19.32,,,,,,,,,,,,,
2008-05-08,19.55,,,,,,,,,,,,,
2008-05-09,19.82,,,,,,,,,,,,,
2008-05-12,20.81,,,,,,,,,,,,,
2008-05-13,21.43,,,,,,,,,,,,,
2008-05-14,22.55,,,,,,,,,,,,,
2008-05-15,23.51,,,,,,,,,,,,,
2008-05-16,23.56,,,,,,,,,,,,,
2008-05-19,24.29,,,,,,,,,,,,,
2008-05-20,23.76,,,,,,,,,,,,,
2008-05-21,23.62,,,,,,,,,,,,,
2008-05-22,23.28,,,,,,,,,,,,,
2008-05-23,22.93,,,,,,,,,,,,,
2008-05-27,22.14,,,,,,,,,,,,,
2008-05-28,21.62,,,,,,,,,,,,,
2008-05-29,21.67,,,,,,,,,,,,,
2008-05-30,22.15,,,,,,,,,,,,,
2008-06-02,22.95,,,,,,,,,,,,,
2008-06-03,22.41,,,,,,,,,,,,,
2008-06-04,22.97,,,,,,,,,,,,,
2008-06-05,23.08,,,,,,,,,,,,,
2008-06-06,22.99,,,,,,,,,,,,,
2008-06-09,23.02,,,,,,,,,,,,,
2008-06-10,23.56,,,,,,,,,,,,,
2008-06-11,23.11,,,,,,,,,,,,,
2008-06-12,22.6,,,,,,,,,,,,,
2008-06-13,21.98,,,,,,,,,,,,,
2008-06-16,22.01,,,,,,,,,,,,,
2008-06-17,22.87,,,,,,,,,,,,,
2008-06-18,23.07,,,,,,,,,,,,,
2008-06-19,23.01,,,,,,,,,,,,,
2008-06-20,23.86,,,,,,,,,,,,,
2008-06-23,23.76,,,,,,,,,,,,,
2008-06-24,22.8,,,,,,,,,,,,,
2008-06-25,22.46,,,,,,,,,,,,,
2008-06-26,22.29,,,,,,,,,,,,,
2008-06-27,23.43,,,,,,,,,,,,,
2008-06-30,21.4,,,,,,,,,,,,,
2008-07-01,22.58,,,,,,,,,,,,,
2008-07-02,21.89,,,,,,,,,,,,,
2008-07-03,22.21,,,,,,,,,,,,,
2008-07-07,21.79,,,,,,,,,,,,,
2008-07-08,22.68,,,,,,,,,,,,,
2008-07-09,22.7,,,,,,,,,,,,,
2008-07-10,23.14,,,,,,,,,,,,,
2008-07-11,23.26,,,,,,,,,,,,,
2008-07-14,23.1,,,,,,,,,,,,,
2008-07-15,22.82,,,,,,,,,,,,,
2008-07-16,23.0,,,,,,,,,,,,,
2008-07-17,23.04,,,,,,,,,,,,,
2008-07-18,23.18,,,,,,,,,,,,,
2008-07-21,23.3,,,,,,,,,,,,,
2008-07-22,23.08,,,,,,,,,,,,,
2008-07-23,22.95,,,,,,,,,,,,,
2008-07-24,22.64,,,,,,,,,,,,,
2008-07-25,23.16,,,,,,,,,,,,,
2008-07-28,22.94,,,,,,,,,,,,,
2008-07-29,23.06,,,,,,,,,,,,,
2008-07-30,23.51,,,,,,,,,,,,,
