date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2025-05-22,37.56,,,,,,,,,,,,,
2025-05-23,40.16,,,,,,,,,,,,,
2025-05-27,42.13,,,,,,,,,,,,,
2025-05-28,41.0,,,,,,,,,,,,,
2025-05-29,39.16,,,,,,,,,,,,,
2025-05-30,38.84,,,,,,,,,,,,,
2025-06-02,40.45,,,,,,,,,,,,,
2025-06-03,40.34,,,,,,,,,,,,,
2025-06-04,40.01,,,,,,,,,,,,,
2025-06-05,38.5,,,,,,,,,,,,,
2025-06-06,38.89,,,,,,,,,,,,,
2025-06-09,38.0,,,,,,,,,,,,,
2025-06-10,36.59,,,,,,,,,,,,,
2025-06-11,35.16,,,,,,,,,,,,,
2025-06-12,35.02,,,,,,,,,,,,,
2025-06-13,34.85,,,,,,,,,,,,,
2025-06-16,36.21,,,,,,,,,,,,,
2025-06-17,38.0,,,,,,,,,,,,,
2025-06-18,39.73,,,,,,,,,,,,,
2025-06-20,42.07,,,,,,,,,,,,,
2025-06-23,43.69,,,,,,,,,,,,,
2025-06-24,46.92,,,,,,,,,,,,,
2025-06-25,44.53,,,,,,,,,,,,,
2025-06-26,44.96,,,,,,,,,,,,,
2025-06-27,46.51,,,,,,,,,,,,,
2025-06-30,51.75,,,,,,,,,,,,,
2025-07-01,45.31,,,,,,,,,,,,,
2025-07-02,44.61,,,,,,,,,,,,,
2025-07-03,46.63,,,,,,,,,,,,,
2025-07-07,43.07,,,,,,,,,,,,,
2025-07-08,43.11,,,,,,,,,,,,,
2025-07-09,44.82,,,,,,,,,,,,,
2025-07-10,44.14,,,,,,,,,,,,,
2025-07-11,47.64,,,,,,,,,,,,,
2025-07-14,47.93,,,,,,,,,,,,,
2025-07-15,45.78,,,,,,,,,,,,,
2025-07-16,46.95,,,,,,,,,,,,,
2025-07-17,46.5,,,,,,,,,,,,,
2025-07-18,46.96,,,,,,,,,,,,,
2025-07-21,47.26,,,,,,,,,,,,,
2025-07-22,46.68,,,,,,,,,,,,,
2025-07-23,47.05,,,,,,,,,,,,,
2025-07-24,45.98,,,,,,,,,,,,,
2025-07-25,45.77,,,,,,,,,,,,,
2025-07-28,45.31,,,,,,,,,,,,,
2025-07-29,43.61,,,,,,,,,,,,,
2025-07-30,45.03,,,,,,,,,,,,,
2025-07-31,44.95,,,,,,,,,,,,,
2025-08-01,44.95,,,,,,,,,,,,,
2025-08-04,48.22,,,,,,,,,,,,,
2025-08-05,48.22,,,,,,,,,,,,,
2025-08-06,60.55,,,,,,,,,,,,,
2025-08-07,60.35,,,,,,,,,,,,,
2025-08-08,56.68,,,,,,,,,,,,,
2025-08-11,55.72,,,,,,,,,,,,,
2025-08-12,55.99,,,,,,,,,,,,,
2025-08-13,58.05,,,,,,,,,,,,,
2025-08-14,57.19,,,,,,,,,,,,,
2025-08-15,59.07,,,,,,,,,,,,,
2025-08-18,59.03,,,,,,,,,,,,,
2025-08-19,56.07,,,,,,,,,,,,,
2025-08-20,57.24,,,,,,,,,,,,,
2025-08-21,56.0,,,,,,,,,,,,,
2025-08-22,57.57,,,,,,,,,,,,,
2025-08-25,55.07,,,,,,,,,,,,,
2025-08-26,55.14,,,,,,,,,,,,,
2025-08-27,57.77,,,,,,,,,,,,,
2025-08-28,57.73,,,,,,,,,,,,,
2025-08-29,56.08,,,,,,,,,,,,,
2025-09-02,55.68,,,,,,,,,,,,,
2025-09-03,57.44,,,,,,,,,,,,,
2025-09-04,56.01,,,,,,,,,,,,,
2025-09-05,55.07,,,,,,,,,,,,,
2025-09-08,56.97,,,,,,,,,,,,,
2025-09-09,57.31,,,,,,,,,,,,,
2025-09-10,56.16,,,,,,,,,,,,,
2025-09-11,59.98,,,,,,,,,,,,,
2025-09-12,57.63,,,,,,,,,,,,,
2025-09-15,58.07,,,,,,,,,,,,,
2025-09-16,58.87,,,,,,,,,,,,,
2025-09-17,56.74,,,,,,,,,,,,,
2025-09-18,56.91,,,,,,,,,,,,,
2025-09-19,56.91,,,,,,,,,,,,,
2025-09-22,57.84,,,,,,,,,,,,,
2025-09-23,59.64,,,,,,,,,,,,,
2025-09-24,54.23,,,,,,,,,,,,,
2025-09-25,51.25,,,,,,,,,,,,,
2025-09-26,48.46,,,,,,,,,,,,,
2025-09-29,49.89,,,,,,,,,,,,,
2025-09-30,49.08,,,,,,,,,,,,,
2025-10-01,48.75,,,,,,,,,,,,,
2025-10-02,52.82,,,,,,,,,,,,,
2025-10-03,51.29,,,,,,,,,,,,,
2025-10-06,51.68,,,,,,,,,,,,,
2025-10-07,51.16,,,,,,,,,,,,,
2025-10-08,53.81,,,,,,,,,,,,,
2025-10-09,50.36,,,,,,,,,,,,,
2025-10-10,49.79,,,,,,,,,,,,,
2025-10-13,50.4,,,,,,,,,,,,,
2025-10-14,50.44,,,,,,,,,,,,,
2025-10-15,50.41,,,,,,,,,,,,,
2025-10-16,50.74,,,,,,,,,,,,,
2025-10-17,49.28,,,,,,,,,,,,,
2025-10-20,51.28,,,,,,,,,,,,,
2025-10-21,49.74,,,,,,,,,,,,,
2025-10-22,48.86,,,,,,,,,,,,,
2025-10-23,49.55,,,,,,,,,,,,,
2025-10-24,49.6,,,,,,,,,,,,,
2025-10-27,49.87,,,,,,,,,,,,,
2025-10-28,50.97,,,,,,,,,,,,,
2025-10-29,49.6,,,,,,,,,,,,,
2025-10-30,48.66,,,,,,,,,,,,,
2025-10-31,49.76,,,,,,,,,,,,,
2025-11-03,50.34,,,,,,,,,,,,,
2025-11-04,53.44,,,,,,,,,,,,,
2025-11-05,45.39,,,,,,,,,,,,,
2025-11-06,44.04,,,,,,,,,,,,,
2025-11-07,44.49,,,,,,,,,,,,,
2025-11-10,44.3,,,,,,,,,,,,,
2025-11-11,44.31,,,,,,,,,,,,,
2025-11-12,42.33,,,,,,,,,,,,,
2025-11-13,41.75,,,,,,,,,,,,,
2025-11-14,40.96,,,,,,,,,,,,,
2025-11-17,40.84,,,,,,,,,,,,,
2025-11-18,40.62,,,,,,,,,,,,,
2025-11-19,44.1,,,,,,,,,,,,,
2025-11-20,45.36,,,,,,,,,,,,,
2025-11-21,45.99,,,,,,,,,,,,,
2025-11-24,47.01,,,,,,,,,,,,,
2025-11-25,48.27,,,,,,,,,,,,,
2025-11-26,50.05,,,,,,,,,,,,,
2025-11-28,48.91,,,,,,,,,,,,,
2025-12-01,47.96,,,,,,,,,,,,,
2025-12-02,46.56,,,,,,,,,,,,,
2025-12-03,46.02,,,,,,,,,,,,,
2025-12-04,49.66,,,,,,,,,,,,,
2025-12-05,50.04,,,,,,,,,,,,,
2025-12-08,49.05,,,,,,,,,,,,,
2025-12-09,49.47,,,,,,,,,,,,,
2025-12-10,49.69,,,,,,,,,,,,,
2025-12-11,49.79,,,,,,,,,,,,,
2025-12-12,49.7,,,,,,,,,,,,,
2025-12-15,48.5,,,,,,,,,,,,,
2025-12-16,48.41,,,,,,,,,,,,,
2025-12-17,48.0,,,,,,,,,,,,,
2025-12-18,48.05,,,,,,,,,,,,,
2025-12-19,47.25,,,,,,,,,,,,,
2025-12-22,48.64,,,,,,,,,,,,,
2025-12-23,48.76,,,,,,,,,,,,,
2025-12-24,48.2,,,,,,,,,,,,,
2025-12-26,47.54,,,,,,,,,,,,,
2025-12-29,47.09,,,,,,,,,,,,,
2025-12-30,46.23,,,,,,,,,,,,,
2025-12-31,46.45,,,,,,,,,,,,,
2026-01-02,45.56,,,,,,,,,,,,,
2026-01-05,46.88,,,,,,,,,,,,,
2026-01-06,48.83,,,,,,,,,,,,,
2026-01-07,49.14,,,,,,,,,,,,,
