date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2016-12-01,12.95,,,,,,,,,,,,,
2016-12-02,11.58,,,,,,,,,,,,,
2016-12-05,10.64,,,,,,,,,,,,,
2016-12-06,12.0,,,,,,,,,,,,,
2016-12-07,12.52,,,,,,,,,,,,,
2016-12-08,13.54,,,,,,,,,,,,,
2016-12-09,14.36,,,,,,,,,,,,,
2016-12-12,14.88,,,,,,,,,,,,,
2016-12-13,14.24,,,,,,,,,,,,,
2016-12-14,13.82,,,,,,,,,,,,,
2016-12-15,13.72,,,,,,,,,,,,,
2016-12-16,14.04,,,,,,,,,,,,,
2016-12-19,13.95,,,,,,,,,,,,,
2016-12-20,13.69,,,,,,,,,,,,,
2016-12-21,13.3,,,,,,,,,,,,,
2016-12-22,13.01,,,,,,,,,,,,,
2016-12-23,14.0,,,,,,,,,,,,,
2016-12-27,13.9,,,,,,,,,,,,,
2016-12-28,13.93,,,,,,,,,,,,,
2016-12-29,13.85,,,,,,,,,,,,,
2016-12-30,14.04,,,,,,,,,,,,,
2017-01-03,14.39,,,,,,,,,,,,,
2017-01-04,14.8,,,,,,,,,,,,,
2017-01-05,15.03,,,,,,,,,,,,,
2017-01-06,15.33,,,,,,,,,,,,,
2017-01-09,15.89,,,,,,,,,,,,,
2017-01-10,15.84,,,,,,,,,,,,,
2017-01-11,15.75,,,,,,,,,,,,,
2017-01-12,15.87,,,,,,,,,,,,,
2017-01-13,15.97,,,,,,,,,,,,,
2017-01-17,16.56,,,,,,,,,,,,,
2017-01-18,17.04,,,,,,,,,,,,,
2017-01-19,17.07,,,,,,,,,,,,,
2017-01-20,17.17,,,,,,,,,,,,,
2017-01-23,17.09,,,,,,,,,,,,,
2017-01-24,17.94,,,,,,,,,,,,,
2017-01-25,18.11,,,,,,,,,,,,,
2017-01-26,17.98,,,,,,,,,,,,,
2017-01-27,18.1,,,,,,,,,,,,,
2017-01-30,17.78,,,,,,,,,,,,,
2017-01-31,17.38,,,,,,,,,,,,,
2017-02-01,17.46,,,,,,,,,,,,,
2017-02-02,17.09,,,,,,,,,,,,,
2017-02-03,17.4,,,,,,,,,,,,,
2017-02-06,17.4,,,,,,,,,,,,,
2017-02-07,17.28,,,,,,,,,,,,,
2017-02-08,17.58,,,,,,,,,,,,,
2017-02-09,17.8,,,,,,,,,,,,,
2017-02-10,17.79,,,,,,,,,,,,,
2017-02-13,17.97,,,,,,,,,,,,,
2017-02-14,18.21,,,,,,,,,,,,,
2017-02-15,18.25,,,,,,,,,,,,,
2017-02-16,18.31,,,,,,,,,,,,,
2017-02-17,18.51,,,,,,,,,,,,,
2017-02-21,18.67,,,,,,,,,,,,,
2017-02-22,18.77,,,,,,,,,,,,,
2017-02-23,18.87,,,,,,,,,,,,,
2017-02-24,19.09,,,,,,,,,,,,,
2017-02-27,19.06,,,,,,,,,,,,,
2017-02-28,18.75,,,,,,,,,,,,,
2017-03-01,18.7,,,,,,,,,,,,,
2017-03-02,18.8,,,,,,,,,,,,,
2017-03-03,18.7,,,,,,,,,,,,,
2017-03-06,18.76,,,,,,,,,,,,,
2017-03-07,18.45,,,,,,,,,,,,,
2017-03-08,18.28,,,,,,,,,,,,,
2017-03-09,18.3,,,,,,,,,,,,,
2017-03-10,18.48,,,,,,,,,,,,,
2017-03-13,18.76,,,,,,,,,,,,,
2017-03-14,18.57,,,,,,,,,,,,,
2017-03-15,18.87,,,,,,,,,,,,,
2017-03-16,18.97,,,,,,,,,,,,,
2017-03-17,18.9,,,,,,,,,,,,,
2017-03-20,19.06,,,,,,,,,,,,,
2017-03-21,19.69,,,,,,,,,,,,,
2017-03-22,19.85,,,,,,,,,,,,,
2017-03-23,19.84,,,,,,,,,,,,,
2017-03-24,19.85,,,,,,,,,,,,,
2017-03-27,19.84,,,,,,,,,,,,,
2017-03-28,20.41,,,,,,,,,,,,,
2017-03-29,19.13,,,,,,,,,,,,,
2017-03-30,19.21,,,,,,,,,,,,,
2017-03-31,19.12,,,,,,,,,,,,,
2017-04-03,19.17,,,,,,,,,,,,,
2017-04-04,18.82,,,,,,,,,,,,,
2017-04-05,18.72,,,,,,,,,,,,,
2017-04-06,18.98,,,,,,,,,,,,,
2017-04-07,18.86,,,,,,,,,,,,,
2017-04-10,19.17,,,,,,,,,,,,,
2017-04-11,19.2,,,,,,,,,,,,,
2017-04-12,18.8,,,,,,,,,,,,,
2017-04-13,18.63,,,,,,,,,,,,,
2017-04-17,18.88,,,,,,,,,,,,,
2017-04-18,19.0,,,,,,,,,,,,,
2017-04-19,18.95,,,,,,,,,,,,,
2017-04-20,18.99,,,,,,,,,,,,,
2017-04-21,19.14,,,,,,,,,,,,,
2017-04-24,19.19,,,,,,,,,,,,,
2017-04-25,19.41,,,,,,,,,,,,,
2017-04-26,19.57,,,,,,,,,,,,,
2017-04-27,19.54,,,,,,,,,,,,,
2017-04-28,19.33,,,,,,,,,,,,,
2017-05-01,19.48,,,,,,,,,,,,,
2017-05-02,19.75,,,,,,,,,,,,,
2017-05-03,19.63,,,,,,,,,,,,,
2017-05-04,19.82,,,,,,,,,,,,,
2017-05-05,19.95,,,,,,,,,,,,,
2017-05-08,19.79,,,,,,,,,,,,,
2017-05-09,19.87,,,,,,,,,,,,,
2017-05-10,21.11,,,,,,,,,,,,,
2017-05-11,21.0,,,,,,,,,,,,,
2017-05-12,20.43,,,,,,,,,,,,,
2017-05-15,19.96,,,,,,,,,,,,,
2017-05-16,19.98,,,,,,,,,,,,,
2017-05-17,20.39,,,,,,,,,,,,,
2017-05-18,20.64,,,,,,,,,,,,,
2017-05-19,20.92,,,,,,,,,,,,,
2017-05-22,20.66,,,,,,,,,,,,,
2017-05-23,20.32,,,,,,,,,,,,,
2017-05-24,20.1,,,,,,,,,,,,,
2017-05-25,20.18,,,,,,,,,,,,,
2017-05-26,20.56,,,,,,,,,,,,,
2017-05-30,19.97,,,,,,,,,,,,,
2017-05-31,19.78,,,,,,,,,,,,,
2017-06-01,19.8,,,,,,,,,,,,,
2017-06-02,19.85,,,,,,,,,,,,,
2017-06-05,19.86,,,,,,,,,,,,,
2017-06-06,19.87,,,,,,,,,,,,,
2017-06-07,20.0,,,,,,,,,,,,,
2017-06-08,20.03,,,,,,,,,,,,,
2017-06-09,19.83,,,,,,,,,,,,,
2017-06-12,19.95,,,,,,,,,,,,,
2017-06-13,20.56,,,,,,,,,,,,,
2017-06-14,20.13,,,,,,,,,,,,,
2017-06-15,19.6,,,,,,,,,,,,,
2017-06-16,19.89,,,,,,,,,,,,,
2017-06-19,20.45,,,,,,,,,,,,,
2017-06-20,20.58,,,,,,,,,,,,,
2017-06-21,20.42,,,,,,,,,,,,,
2017-06-22,20.45,,,,,,,,,,,,,
2017-06-23,20.89,,,,,,,,,,,,,
2017-06-26,21.16,,,,,,,,,,,,,
2017-06-27,21.24,,,,,,,,,,,,,
2017-06-28,21.28,,,,,,,,,,,,,
2017-06-29,21.62,,,,,,,,,,,,,
2017-06-30,21.67,,,,,,,,,,,,,
2017-07-03,21.89,,,,,,,,,,,,,
2017-07-05,22.1,,,,,,,,,,,,,
2017-07-06,21.78,,,,,,,,,,,,,
2017-07-07,21.6,,,,,,,,,,,,,
2017-07-10,21.51,,,,,,,,,,,,,
2017-07-11,21.98,,,,,,,,,,,,,
2017-07-12,22.35,,,,,,,,,,,,,
2017-07-13,22.33,,,,,,,,,,,,,
2017-07-14,22.1,,,,,,,,,,,,,
2017-07-17,22.19,,,,,,,,,,,,,
2017-07-18,22.2,,,,,,,,,,,,,
2017-07-19,22.51,,,,,,,,,,,,,
2017-07-20,22.65,,,,,,,,,,,,,
2017-07-21,22.73,,,,,,,,,,,,,
2017-07-24,22.63,,,,,,,,,,,,,
2017-07-25,23.02,,,,,,,,,,,,,
2017-07-26,22.9,,,,,,,,,,,,,
2017-07-27,22.96,,,,,,,,,,,,,
2017-07-28,22.49,,,,,,,,,,,,,
2017-07-31,22.81,,,,,,,,,,,,,
2017-08-01,22.82,,,,,,,,,,,,,
2017-08-02,22.48,,,,,,,,,,,,,
2017-08-03,22.42,,,,,,,,,,,,,
2017-08-04,22.45,,,,,,,,,,,,,
2017-08-07,22.21,,,,,,,,,,,,,
2017-08-08,22.02,,,,,,,,,,,,,
2017-08-09,21.49,,,,,,,,,,,,,
2017-08-10,21.34,,,,,,,,,,,,,
2017-08-11,20.99,,,,,,,,,,,,,
2017-08-14,20.67,,,,,,,,,,,,,
2017-08-15,19.38,,,,,,,,,,,,,
2017-08-16,19.51,,,,,,,,,,,,,
2017-08-17,18.55,,,,,,,,,,,,,
2017-08-18,18.75,,,,,,,,,,,,,
2017-08-21,18.18,,,,,,,,,,,,,
2017-08-22,18.24,,,,,,,,,,,,,
2017-08-23,18.4,,,,,,,,,,,,,
2017-08-24,18.77,,,,,,,,,,,,,
2017-08-25,18.81,,,,,,,,,,,,,
2017-08-28,18.25,,,,,,,,,,,,,
2017-08-29,18.87,,,,,,,,,,,,,
2017-08-30,18.32,,,,,,,,,,,,,
2017-08-31,18.44,,,,,,,,,,,,,
2017-09-01,18.42,,,,,,,,,,,,,
2017-09-05,18.42,,,,,,,,,,,,,
2017-09-06,18.23,,,,,,,,,,,,,
2017-09-07,18.13,,,,,,,,,,,,,
2017-09-08,17.99,,,,,,,,,,,,,
2017-09-11,18.1,,,,,,,,,,,,,
2017-09-12,18.4,,,,,,,,,,,,,
2017-09-13,18.2,,,,,,,,,,,,,
2017-09-14,18.3,,,,,,,,,,,,,
2017-09-15,18.29,,,,,,,,,,,,,
2017-09-18,18.6,,,,,,,,,,,,,
2017-09-19,18.83,,,,,,,,,,,,,
2017-09-20,19.64,,,,,,,,,,,,,
2017-09-21,19.27,,,,,,,,,,,,,
2017-09-22,19.92,,,,,,,,,,,,,
2017-09-25,20.25,,,,,,,,,,,,,
2017-09-26,19.85,,,,,,,,,,,,,
2017-09-27,20.1,,,,,,,,,,,,,
2017-09-28,19.68,,,,,,,,,,,,,
2017-09-29,19.7,,,,,,,,,,,,,
2017-10-02,19.91,,,,,,,,,,,,,
2017-10-03,20.16,,,,,,,,,,,,,
2017-10-04,19.9,,,,,,,,,,,,,
2017-10-05,20.3,,,,,,,,,,,,,
2017-10-06,20.19,,,,,,,,,,,,,
2017-10-09,20.36,,,,,,,,,,,,,
2017-10-10,20.26,,,,,,,,,,,,,
2017-10-11,20.41,,,,,,,,,,,,,
2017-10-12,20.34,,,,,,,,,,,,,
2017-10-13,20.38,,,,,,,,,,,,,
2017-10-16,20.48,,,,,,,,,,,,,
2017-10-17,20.6,,,,,,,,,,,,,
2017-10-18,20.26,,,,,,,,,,,,,
2017-10-19,20.21,,,,,,,,,,,,,
2017-10-20,20.16,,,,,,,,,,,,,
2017-10-23,19.85,,,,,,,,,,,,,
2017-10-24,19.76,,,,,,,,,,,,,
2017-10-25,19.85,,,,,,,,,,,,,
2017-10-26,19.84,,,,,,,,,,,,,
2017-10-27,20.09,,,,,,,,,,,,,
2017-10-30,20.01,,,,,,,,,,,,,
2017-10-31,20.14,,,,,,,,,,,,,
2017-11-01,20.24,,,,,,,,,,,,,
2017-11-02,20.31,,,,,,,,,,,,,
2017-11-03,20.72,,,,,,,,,,,,,
2017-11-06,20.46,,,,,,,,,,,,,
2017-11-07,20.19,,,,,,,,,,,,,
2017-11-08,20.88,,,,,,,,,,,,,
2017-11-09,19.3,,,,,,,,,,,,,
2017-11-10,18.98,,,,,,,,,,,,,
2017-11-13,18.37,,,,,,,,,,,,,
2017-11-14,17.5,,,,,,,,,,,,,
2017-11-15,17.01,,,,,,,,,,,,,
2017-11-16,17.16,,,,,,,,,,,,,
2017-11-17,17.17,,,,,,,,,,,,,
2017-11-20,17.24,,,,,,,,,,,,,
2017-11-21,17.2,,,,,,,,,,,,,
2017-11-22,17.25,,,,,,,,,,,,,
2017-11-24,17.4,,,,,,,,,,,,,
2017-11-27,17.02,,,,,,,,,,,,,
2017-11-28,17.22,,,,,,,,,,,,,
2017-11-29,16.89,,,,,,,,,,,,,
2017-11-30,16.99,,,,,,,,,,,,,
2017-12-01,16.75,,,,,,,,,,,,,
2017-12-04,17.13,,,,,,,,,,,,,
2017-12-05,16.92,,,,,,,,,,,,,
2017-12-06,16.68,,,,,,,,,,,,,
2017-12-07,16.7,,,,,,,,,,,,,
2017-12-08,16.72,,,,,,,,,,,,,
2017-12-11,16.77,,,,,,,,,,,,,
2017-12-12,17.07,,,,,,,,,,,,,
2017-12-13,17.11,,,,,,,,,,,,,
2017-12-14,17.05,,,,,,,,,,,,,
2017-12-15,17.85,,,,,,,,,,,,,
2017-12-18,17.81,,,,,,,,,,,,,
2017-12-19,17.31,,,,,,,,,,,,,
2017-12-20,17.38,,,,,,,,,,,,,
2017-12-21,18.83,,,,,,,,,,,,,
2017-12-22,19.53,,,,,,,,,,,,,
2017-12-26,18.87,,,,,,,,,,,,,
2017-12-27,18.61,,,,,,,,,,,,,
2017-12-28,18.66,,,,,,,,,,,,,
2017-12-29,18.46,,,,,,,,,,,,,
2018-01-02,19.12,,,,,,,,,,,,,
2018-01-03,19.0,,,,,,,,,,,,,
2018-01-04,19.2,,,,,,,,,,,,,
2018-01-05,18.84,,,,,,,,,,,,,
2018-01-08,18.06,,,,,,,,,,,,,
2018-01-09,18.2,,,,,,,,,,,,,
2018-01-10,18.39,,,,,,,,,,,,,
2018-01-11,18.72,,,,,,,,,,,,,
2018-01-12,18.7,,,,,,,,,,,,,
2018-01-16,18.93,,,,,,,,,,,,,
2018-01-17,18.57,,,,,,,,,,,,,
2018-01-18,18.42,,,,,,,,,,,,,
2018-01-19,18.47,,,,,,,,,,,,,
2018-01-22,18.25,,,,,,,,,,,,,
2018-01-23,18.19,,,,,,,,,,,,,
2018-01-24,18.07,,,,,,,,,,,,,
2018-01-25,17.82,,,,,,,,,,,,,
2018-01-26,17.55,,,,,,,,,,,,,
2018-01-29,17.2,,,,,,,,,,,,,
2018-01-30,16.99,,,,,,,,,,,,,
2018-01-31,16.69,,,,,,,,,,,,,
2018-02-01,16.65,,,,,,,,,,,,,
2018-02-02,16.63,,,,,,,,,,,,,
2018-02-05,16.02,,,,,,,,,,,,,
2018-02-06,16.26,,,,,,,,,,,,,
2018-02-07,16.22,,,,,,,,,,,,,
2018-02-08,15.67,,,,,,,,,,,,,
2018-02-09,15.7,,,,,,,,,,,,,
2018-02-12,16.0,,,,,,,,,,,,,
2018-02-13,16.06,,,,,,,,,,,,,
2018-02-14,16.26,,,,,,,,,,,,,
2018-02-15,16.86,,,,,,,,,,,,,
2018-02-16,16.78,,,,,,,,,,,,,
2018-02-20,16.68,,,,,,,,,,,,,
2018-02-21,16.88,,,,,,,,,,,,,
2018-02-22,16.67,,,,,,,,,,,,,
2018-02-23,16.43,,,,,,,,,,,,,
2018-02-26,16.58,,,,,,,,,,,,,
2018-02-27,16.62,,,,,,,,,,,,,
2018-02-28,16.27,,,,,,,,,,,,,
2018-03-01,16.26,,,,,,,,,,,,,
2018-03-02,16.68,,,,,,,,,,,,,
2018-03-05,17.37,,,,,,,,,,,,,
2018-03-06,17.45,,,,,,,,,,,,,
2018-03-07,16.85,,,,,,,,,,,,,
2018-03-08,17.57,,,,,,,,,,,,,
2018-03-09,18.55,,,,,,,,,,,,,
2018-03-12,19.21,,,,,,,,,,,,,
2018-03-13,18.99,,,,,,,,,,,,,
2018-03-14,18.7,,,,,,,,,,,,,
2018-03-15,18.1,,,,,,,,,,,,,
2018-03-16,19.06,,,,,,,,,,,,,
2018-03-19,18.78,,,,,,,,,,,,,
2018-03-20,18.24,,,,,,,,,,,,,
2018-03-21,18.64,,,,,,,,,,,,,
2018-03-22,17.92,,,,,,,,,,,,,
2018-03-23,18.07,,,,,,,,,,,,,
2018-03-26,18.2,,,,,,,,,,,,,
2018-03-27,17.83,,,,,,,,,,,,,
2018-03-28,17.37,,,,,,,,,,,,,
2018-03-29,17.6,,,,,,,,,,,,,
2018-04-02,17.09,,,,,,,,,,,,,
2018-04-03,17.12,,,,,,,,,,,,,
2018-04-04,17.46,,,,,,,,,,,,,
2018-04-05,18.18,,,,,,,,,,,,,
2018-04-06,18.41,,,,,,,,,,,,,
2018-04-09,18.45,,,,,,,,,,,,,
2018-04-10,19.06,,,,,,,,,,,,,
2018-04-11,19.64,,,,,,,,,,,,,
2018-04-12,19.83,,,,,,,,,,,,,
2018-04-13,19.9,,,,,,,,,,,,,
2018-04-16,19.97,,,,,,,,,,,,,
2018-04-17,20.08,,,,,,,,,,,,,
2018-04-18,20.39,,,,,,,,,,,,,
2018-04-19,20.33,,,,,,,,,,,,,
2018-04-20,20.76,,,,,,,,,,,,,
2018-04-23,20.88,,,,,,,,,,,,,
2018-04-24,20.96,,,,,,,,,,,,,
2018-04-25,20.78,,,,,,,,,,,,,
2018-04-26,20.66,,,,,,,,,,,,,
2018-04-27,20.04,,,,,,,,,,,,,
2018-04-30,20.13,,,,,,,,,,,,,
2018-05-01,19.91,,,,,,,,,,,,,
2018-05-02,20.35,,,,,,,,,,,,,
2018-05-03,20.12,,,,,,,,,,,,,
2018-05-04,19.35,,,,,,,,,,,,,
2018-05-07,19.59,,,,,,,,,,,,,
2018-05-08,19.98,,,,,,,,,,,,,
2018-05-09,19.87,,,,,,,,,,,,,
2018-05-10,19.54,,,,,,,,,,,,,
2018-05-11,19.75,,,,,,,,,,,,,
2018-05-14,19.62,,,,,,,,,,,,,
2018-05-15,19.03,,,,,,,,,,,,,
2018-05-16,19.15,,,,,,,,,,,,,
