date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2010-05-14,11.01,,,,,,,,,,,,,
2010-05-17,10.74,,,,,,,,,,,,,
2010-05-18,10.25,,,,,,,,,,,,,
2010-05-19,9.74,,,,,,,,,,,,,
2010-05-20,8.465,,,,,,,,,,,,,
2010-05-21,9.0007,,,,,,,,,,,,,
2010-05-24,9.1,,,,,,,,,,,,,
2010-05-25,9.05,,,,,,,,,,,,,
2010-05-26,9.43,,,,,,,,,,,,,
2010-05-27,10.2,,,,,,,,,,,,,
2010-05-28,10.45,,,,,,,,,,,,,
2010-06-01,10.34,,,,,,,,,,,,,
2010-06-02,9.91,,,,,,,,,,,,,
2010-06-03,9.74,,,,,,,,,,,,,
2010-06-04,9.65,,,,,,,,,,,,,
2010-06-07,9.45,,,,,,,,,,,,,
2010-06-08,8.8,,,,,,,,,,,,,
2010-06-09,8.61,,,,,,,,,,,,,
2010-06-10,9.03,,,,,,,,,,,,,
2010-06-11,9.65,,,,,,,,,,,,,
2010-06-14,10.13,,,,,,,,,,,,,
2010-06-15,10.4,,,,,,,,,,,,,
2010-06-16,10.3201,,,,,,,,,,,,,
2010-06-17,10.51,,,,,,,,,,,,,
2010-06-18,10.62,,,,,,,,,,,,,
2010-06-21,10.83,,,,,,,,,,,,,
2010-06-22,10.89,,,,,,,,,,,,,
2010-06-23,10.9,,,,,,,,,,,,,
2010-06-24,10.85,,,,,,,,,,,,,
2010-06-25,11.0,,,,,,,,,,,,,
2010-06-28,10.67,,,,,,,,,,,,,
2010-06-29,9.96,,,,,,,,,,,,,
2010-06-30,9.7,,,,,,,,,,,,,
2010-07-01,9.8,,,,,,,,,,,,,
2010-07-02,10.2101,,,,,,,,,,,,,
2010-07-06,10.7901,,,,,,,,,,,,,
2010-07-07,12.39,,,,,,,,,,,,,
2010-07-08,12.39,,,,,,,,,,,,,
2010-07-09,12.5,,,,,,,,,,,,,
2010-07-12,12.4,,,,,,,,,,,,,
2010-07-13,12.65,,,,,,,,,,,,,
2010-07-14,12.65,,,,,,,,,,,,,
2010-07-15,12.81,,,,,,,,,,,,,
2010-07-16,12.84,,,,,,,,,,,,,
2010-07-19,13.47,,,,,,,,,,,,,
2010-07-20,14.05,,,,,,,,,,,,,
2010-07-21,14.39,,,,,,,,,,,,,
2010-07-22,14.325,,,,,,,,,,,,,
2010-07-23,14.11,,,,,,,,,,,,,
2010-07-26,14.88,,,,,,,,,,,,,
2010-07-27,15.08,,,,,,,,,,,,,
2010-07-28,14.69,,,,,,,,,,,,,
2010-07-29,14.79,,,,,,,,,,,,,
2010-07-30,14.6899,,,,,,,,,,,,,
