date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2007-08-08,20.9,,,,,,,,,,,,,
2007-08-09,20.5,,,,,,,,,,,,,
2007-08-10,20.02,,,,,,,,,,,,,
2007-08-13,21.0,,,,,,,,,,,,,
2007-08-14,20.5,,,,,,,,,,,,,
2007-08-15,20.4,,,,,,,,,,,,,
2007-08-16,19.55,,,,,,,,,,,,,
2007-08-17,20.59,,,,,,,,,,,,,
2007-08-20,20.6,,,,,,,,,,,,,
2007-08-21,21.0,,,,,,,,,,,,,
2007-08-22,21.13,,,,,,,,,,,,,
2007-08-23,21.4,,,,,,,,,,,,,
2007-08-24,21.06,,,,,,,,,,,,,
2007-08-27,21.0,,,,,,,,,,,,,
2007-08-28,20.9,,,,,,,,,,,,,
2007-08-29,21.04,,,,,,,,,,,,,
2007-08-30,21.11,,,,,,,,,,,,,
2007-08-31,21.0,,,,,,,,,,,,,
2007-09-04,21.06,,,,,,,,,,,,,
2007-09-05,21.2,,,,,,,,,,,,,
2007-09-06,21.5,,,,,,,,,,,,,
2007-09-07,22.35,,,,,,,,,,,,,
2007-09-10,24.38,,,,,,,,,,,,,
2007-09-11,24.8,,,,,,,,,,,,,
2007-09-12,24.59,,,,,,,,,,,,,
2007-09-13,24.79,,,,,,,,,,,,,
2007-09-14,24.85,,,,,,,,,,,,,
2007-09-17,23.43,,,,,,,,,,,,,
2007-09-18,23.41,,,,,,,,,,,,,
2007-09-19,24.51,,,,,,,,,,,,,
2007-09-20,25.27,,,,,,,,,,,,,
2007-09-21,26.0,,,,,,,,,,,,,
2007-09-24,26.64,,,,,,,,,,,,,
2007-09-25,26.6,,,,,,,,,,,,,
2007-09-26,26.35,,,,,,,,,,,,,
2007-09-27,26.03,,,,,,,,,,,,,
2007-09-28,25.66,,,,,,,,,,,,,
