date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2022-12-09,10.0,,,,,,,,,,,,,
2022-12-12,8.5,,,,,,,,,,,,,
2022-12-13,9.24,,,,,,,,,,,,,
2022-12-14,9.0,,,,,,,,,,,,,
2022-12-15,7.7,,,,,,,,,,,,,
2022-12-16,9.3,,,,,,,,,,,,,
2022-12-19,8.47,,,,,,,,,,,,,
2022-12-20,7.5,,,,,,,,,,,,,
2022-12-21,7.54,,,,,,,,,,,,,
2022-12-22,7.72,,,,,,,,,,,,,
2022-12-23,7.58,,,,,,,,,,,,,
2022-12-27,7.71,,,,,,,,,,,,,
2022-12-28,7.5,,,,,,,,,,,,,
2022-12-29,7.58,,,,,,,,,,,,,
2022-12-30,7.55,,,,,,,,,,,,,
2023-01-03,7.65,,,,,,,,,,,,,
2023-01-04,7.73,,,,,,,,,,,,,
2023-01-05,7.37,,,,,,,,,,,,,
2023-01-06,7.55,,,,,,,,,,,,,
2023-01-09,7.65,,,,,,,,,,,,,
2023-01-10,7.84,,,,,,,,,,,,,
2023-01-11,8.01,,,,,,,,,,,,,
2023-01-12,8.13,,,,,,,,,,,,,
2023-01-13,8.29,,,,,,,,,,,,,
2023-01-17,8.35,,,,,,,,,,,,,
2023-01-18,8.17,,,,,,,,,,,,,
2023-01-19,8.0,,,,,,,,,,,,,
2023-01-20,8.32,,,,,,,,,,,,,
2023-01-23,8.54,,,,,,,,,,,,,
2023-01-24,8.79,,,,,,,,,,,,,
2023-01-25,8.94,,,,,,,,,,,,,
2023-01-26,8.93,,,,,,,,,,,,,
2023-01-27,9.15,,,,,,,,,,,,,
2023-01-30,8.95,,,,,,,,,,,,,
2023-01-31,9.2,,,,,,,,,,,,,
2023-02-01,9.49,,,,,,,,,,,,,
2023-02-02,9.72,,,,,,,,,,,,,
2023-02-03,9.76,,,,,,,,,,,,,
2023-02-06,9.66,,,,,,,,,,,,,
2023-02-07,9.75,,,,,,,,,,,,,
2023-02-08,9.58,,,,,,,,,,,,,
2023-02-09,9.62,,,,,,,,,,,,,
2023-02-10,9.82,,,,,,,,,,,,,
2023-02-13,10.16,,,,,,,,,,,,,
2023-02-14,9.73,,,,,,,,,,,,,
2023-02-15,9.9,,,,,,,,,,,,,
2023-02-16,10.02,,,,,,,,,,,,,
2023-02-17,9.92,,,,,,,,,,,,,
2023-02-21,9.55,,,,,,,,,,,,,
2023-02-22,9.47,,,,,,,,,,,,,
2023-02-23,9.81,,,,,,,,,,,,,
2023-02-24,9.67,,,,,,,,,,,,,
2023-02-27,9.8,,,,,,,,,,,,,
2023-02-28,9.74,,,,,,,,,,,,,
2023-03-01,10.0,,,,,,,,,,,,,
2023-03-02,9.99,,,,,,,,,,,,,
2023-03-03,10.0,,,,,,,,,,,,,
2023-03-06,9.6,,,,,,,,,,,,,
2023-03-07,9.55,,,,,,,,,,,,,
2023-03-08,9.33,,,,,,,,,,,,,
2023-03-09,9.14,,,,,,,,,,,,,
2023-03-10,9.02,,,,,,,,,,,,,
2023-03-13,8.66,,,,,,,,,,,,,
2023-03-14,8.61,,,,,,,,,,,,,
2023-03-15,8.29,,,,,,,,,,,,,
2023-03-16,8.35,,,,,,,,,,,,,
2023-03-17,8.09,,,,,,,,,,,,,
2023-03-20,7.79,,,,,,,,,,,,,
2023-03-21,7.94,,,,,,,,,,,,,
2023-03-22,7.82,,,,,,,,,,,,,
2023-03-23,7.44,,,,,,,,,,,,,
2023-03-24,7.26,,,,,,,,,,,,,
2023-03-27,7.66,,,,,,,,,,,,,
2023-03-28,7.84,,,,,,,,,,,,,
2023-03-29,7.72,,,,,,,,,,,,,
2023-03-30,7.95,,,,,,,,,,,,,
2023-03-31,8.04,,,,,,,,,,,,,
2023-04-03,7.94,,,,,,,,,,,,,
2023-04-04,7.59,,,,,,,,,,,,,
2023-04-05,7.49,,,,,,,,,,,,,
2023-04-06,7.47,,,,,,,,,,,,,
2023-04-10,7.7,,,,,,,,,,,,,
2023-04-11,7.69,,,,,,,,,,,,,
2023-04-12,7.72,,,,,,,,,,,,,
2023-04-13,7.74,,,,,,,,,,,,,
2023-04-14,7.59,,,,,,,,,,,,,
2023-04-17,7.63,,,,,,,,,,,,,
2023-04-18,7.56,,,,,,,,,,,,,
2023-04-19,7.84,,,,,,,,,,,,,
2023-04-20,8.0,,,,,,,,,,,,,
2023-04-21,7.87,,,,,,,,,,,,,
2023-04-24,7.76,,,,,,,,,,,,,
2023-04-25,7.47,,,,,,,,,,,,,
2023-04-26,7.6,,,,,,,,,,,,,
2023-04-27,7.83,,,,,,,,,,,,,
2023-04-28,8.07,,,,,,,,,,,,,
2023-05-01,8.08,,,,,,,,,,,,,
2023-05-02,7.86,,,,,,,,,,,,,
2023-05-03,7.88,,,,,,,,,,,,,
2023-05-04,7.73,,,,,,,,,,,,,
2023-05-05,8.02,,,,,,,,,,,,,
2023-05-08,8.39,,,,,,,,,,,,,
2023-05-09,8.64,2023-05-09,1.95,0.0,actual,1.95,4.430769230769231,,,,,,,
2023-05-10,9.94,,,,,1.946043956043956,5.1077982946524365,,,,,,,
2023-05-11,10.25,,,,,1.942087912087912,5.2778249306852265,,,,,,,
2023-05-12,10.24,,,,,1.938131868131868,5.283438226455747,,,,,,,
2023-05-15,10.74,,,,,1.9262637362637365,5.575560499743282,,,,,,,
2023-05-16,10.69,,,,,1.9223076923076925,5.561024409763904,,,,,,,
2023-05-17,10.5,,,,,1.9183516483516485,5.4734490462278735,,,,,,,
2023-05-18,10.79,,,,,1.9143956043956043,5.636243614029045,,,,,,,
2023-05-19,10.86,,,,,1.9104395604395603,5.684555651423641,,,,,,,
2023-05-22,10.92,,,,,1.8985714285714288,5.751693002257336,,,,,,,
