date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2025-10-30,20.0,,,,,,,,,,,,,
2025-10-31,20.275,,,,,,,,,,,,,
2025-11-03,17.23,,,,,,,,,,,,,
2025-11-04,18.89,,,,,,,,,,,,,
2025-11-05,17.7,,,,,,,,,,,,,
2025-11-06,17.85,,,,,,,,,,,,,
2025-11-07,17.86,,,,,,,,,,,,,
2025-11-10,18.01,,,,,,,,,,,,,
2025-11-11,17.17,,,,,,,,,,,,,
2025-11-12,18.04,,,,,,,,,,,,,
2025-11-13,17.27,,,,,,,,,,,,,
2025-11-14,16.82,,,,,,,,,,,,,
2025-11-17,15.02,,,,,,,,,,,,,
2025-11-18,15.09,,,,,,,,,,,,,
2025-11-19,14.12,,,,,,,,,,,,,
2025-11-20,14.23,,,,,,,,,,,,,
2025-11-21,14.96,,,,,,,,,,,,,
2025-11-24,15.29,,,,,,,,,,,,,
2025-11-25,14.93,,,,,,,,,,,,,
2025-11-26,16.39,,,,,,,,,,,,,
2025-11-28,16.69,,,,,,,,,,,,,
2025-12-01,15.62,,,,,,,,,,,,,
2025-12-02,15.77,,,,,,,,,,,,,
2025-12-03,15.75,,,,,,,,,,,,,
2025-12-04,14.66,,,,,,,,,,,,,
2025-12-05,13.99,,,,,,,,,,,,,
2025-12-08,13.93,,,,,,,,,,,,,
2025-12-09,13.75,,,,,,,,,,,,,
2025-12-10,13.97,,,,,,,,,,,,,
2025-12-11,13.92,,,,,,,,,,,,,
2025-12-12,14.55,,,,,,,,,,,,,
2025-12-15,14.635,,,,,,,,,,,,,
2025-12-16,12.9,,,,,,,,,,,,,
2025-12-17,12.9,,,,,,,,,,,,,
2025-12-18,13.77,,,,,,,,,,,,,
2025-12-19,15.11,,,,,,,,,,,,,
2025-12-22,15.9,,,,,,,,,,,,,
2025-12-23,15.9,,,,,,,,,,,,,
2025-12-24,15.84,,,,,,,,,,,,,
2025-12-26,15.53,,,,,,,,,,,,,
2025-12-29,16.5,,,,,,,,,,,,,
2025-12-30,17.39,,,,,,,,,,,,,
2025-12-31,17.08,,,,,,,,,,,,,
2026-01-02,16.25,,,,,,,,,,,,,
2026-01-05,16.6,,,,,,,,,,,,,
2026-01-06,17.0,,,,,,,,,,,,,
2026-01-07,18.06,,,,,,,,,,,,,
