date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2021-10-28,10.86,,,,,,,,,,,,,
2021-10-29,10.95,,,,,,,,,,,,,
2021-11-01,12.78,,,,,,,,,,,,,
2021-11-02,9.97,,,,,,,,,,,,,
2021-11-03,8.43,,,,,,,,,,,,,
2021-11-04,8.44,,,,,,,,,,,,,
2021-11-05,9.04,,,,,,,,,,,,,
2021-11-08,9.81,,,,,,,,,,,,,
2021-11-09,9.17,,,,,,,,,,,,,
2021-11-10,9.49,,,,,,,,,,,,,
2021-11-11,9.88,,,,,,,,,,,,,
2021-11-12,9.12,,,,,,,,,,,,,
2021-11-15,9.2,,,,,,,,,,,,,
2021-11-16,9.04,,,,,,,,,,,,,
2021-11-17,9.04,,,,,,,,,,,,,
2021-11-18,7.98,,,,,,,,,,,,,
2021-11-19,8.02,,,,,,,,,,,,,
2021-11-22,8.74,,,,,,,,,,,,,
2021-11-23,7.96,,,,,,,,,,,,,
2021-11-24,7.93,,,,,,,,,,,,,
2021-11-26,8.0,,,,,,,,,,,,,
2021-11-29,8.32,,,,,,,,,,,,,
2021-11-30,8.12,,,,,,,,,,,,,
2021-12-01,7.77,,,,,,,,,,,,,
2021-12-02,7.5,,,,,,,,,,,,,
2021-12-03,7.41,,,,,,,,,,,,,
2021-12-06,6.53,,,,,,,,,,,,,
2021-12-07,7.24,,,,,,,,,,,,,
2021-12-08,7.21,,,,,,,,,,,,,
2021-12-09,7.94,,,,,,,,,,,,,
2021-12-10,7.79,,,,,,,,,,,,,
2021-12-13,7.65,,,,,,,,,,,,,
2021-12-14,7.52,,,,,,,,,,,,,
2021-12-15,7.81,,,,,,,,,,,,,
2021-12-16,8.22,,,,,,,,,,,,,
2021-12-17,8.16,,,,,,,,,,,,,
2021-12-20,8.06,,,,,,,,,,,,,
2021-12-21,8.05,,,,,,,,,,,,,
2021-12-22,8.27,,,,,,,,,,,,,
2021-12-23,8.83,,,,,,,,,,,,,
2021-12-27,9.31,,,,,,,,,,,,,
2021-12-28,9.29,,,,,,,,,,,,,
2021-12-29,8.92,,,,,,,,,,,,,
2021-12-30,9.17,,,,,,,,,,,,,
2021-12-31,8.76,,,,,,,,,,,,,
2022-01-03,9.25,,,,,,,,,,,,,
2022-01-04,8.99,,,,,,,,,,,,,
2022-01-05,8.83,,,,,,,,,,,,,
2022-01-06,8.67,,,,,,,,,,,,,
2022-01-07,8.74,,,,,,,,,,,,,
2022-01-10,8.66,,,,,,,,,,,,,
2022-01-11,8.74,,,,,,,,,,,,,
2022-01-12,8.53,,,,,,,,,,,,,
2022-01-13,8.66,,,,,,,,,,,,,
2022-01-14,9.1,,,,,,,,,,,,,
2022-01-18,8.9,,,,,,,,,,,,,
2022-01-19,8.0,,,,,,,,,,,,,
2022-01-20,7.65,,,,,,,,,,,,,
2022-01-21,7.06,,,,,,,,,,,,,
2022-01-24,7.37,,,,,,,,,,,,,
2022-01-25,7.2,,,,,,,,,,,,,
2022-01-26,7.26,,,,,,,,,,,,,
2022-01-27,6.99,,,,,,,,,,,,,
2022-01-28,7.08,,,,,,,,,,,,,
2022-01-31,7.38,,,,,,,,,,,,,
2022-02-01,7.46,,,,,,,,,,,,,
2022-02-02,7.54,,,,,,,,,,,,,
2022-02-03,7.3,,,,,,,,,,,,,
2022-02-04,7.12,,,,,,,,,,,,,
2022-02-07,7.37,,,,,,,,,,,,,
2022-02-08,7.48,,,,,,,,,,,,,
2022-02-09,7.21,,,,,,,,,,,,,
2022-02-10,7.52,,,,,,,,,,,,,
2022-02-11,7.65,,,,,,,,,,,,,
2022-02-14,7.03,,,,,,,,,,,,,
2022-02-15,6.59,,,,,,,,,,,,,
2022-02-16,6.48,,,,,,,,,,,,,
2022-02-17,6.15,,,,,,,,,,,,,
2022-02-18,6.15,,,,,,,,,,,,,
2022-02-22,6.15,,,,,,,,,,,,,
2022-02-23,5.99,,,,,,,,,,,,,
2022-02-24,6.13,,,,,,,,,,,,,
2022-02-25,6.35,,,,,,,,,,,,,
