date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2020-07-24,19.01,,,,,,,,,,,,,
2020-07-27,19.57,,,,,,,,,,,,,
2020-07-28,18.93,,,,,,,,,,,,,
2020-07-29,19.27,,,,,,,,,,,,,
2020-07-30,19.04,,,,,,,,,,,,,
2020-07-31,19.39,,,,,,,,,,,,,
2020-08-03,19.12,,,,,,,,,,,,,
2020-08-04,18.58,,,,,,,,,,,,,
2020-08-05,17.5,,,,,,,,,,,,,
2020-08-06,17.62,,,,,,,,,,,,,
2020-08-07,18.23,,,,,,,,,,,,,
2020-08-10,17.74,,,,,,,,,,,,,
2020-08-11,16.05,,,,,,,,,,,,,
2020-08-12,18.23,,,,,,,,,,,,,
2020-08-13,24.97,,,,,,,,,,,,,
2020-08-14,23.88,,,,,,,,,,,,,
2020-08-17,27.0,,,,,,,,,,,,,
2020-08-18,27.73,,,,,,,,,,,,,
2020-08-19,29.21,,,,,,,,,,,,,
2020-08-20,28.23,,,,,,,,,,,,,
2020-08-21,26.86,,,,,,,,,,,,,
2020-08-24,23.54,,,,,,,,,,,,,
2020-08-25,22.92,,,,,,,,,,,,,
2020-08-26,23.0,,,,,,,,,,,,,
2020-08-27,22.42,,,,,,,,,,,,,
2020-08-28,23.71,,,,,,,,,,,,,
2020-08-31,23.4,,,,,,,,,,,,,
2020-09-01,27.27,,,,,,,,,,,,,
2020-09-02,28.47,,,,,,,,,,,,,
2020-09-03,25.48,,,,,,,,,,,,,
2020-09-04,25.28,,,,,,,,,,,,,
2020-09-08,25.92,,,,,,,,,,,,,
2020-09-09,26.62,,,,,,,,,,,,,
2020-09-10,28.35,,,,,,,,,,,,,
2020-09-11,29.81,,,,,,,,,,,,,
2020-09-14,31.21,,,,,,,,,,,,,
2020-09-15,29.62,,,,,,,,,,,,,
2020-09-16,30.14,,,,,,,,,,,,,
2020-09-17,31.71,,,,,,,,,,,,,
2020-09-18,34.7,,,,,,,,,,,,,
2020-09-21,30.96,,,,,,,,,,,,,
2020-09-22,30.64,,,,,,,,,,,,,
2020-09-23,29.52,,,,,,,,,,,,,
2020-09-24,28.41,,,,,,,,,,,,,
2020-09-25,30.68,,,,,,,,,,,,,
2020-09-28,31.52,,,,,,,,,,,,,
2020-09-29,33.32,,,,,,,,,,,,,
2020-09-30,34.91,,,,,,,,,,,,,
2020-10-01,30.94,,,,,,,,,,,,,
