date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2003-10-07,5.7875,,,,,,,,,,,,,
2003-10-08,5.85,,,,,,,,,,,,,
2003-10-09,5.9,,,,,,,,,,,,,
2003-10-10,5.8875,,,,,,,,,,,,,
2003-10-13,5.99,,,,,,,,,,,,,
2003-10-14,5.9,,,,,,,,,,,,,
2003-10-15,5.7975,,,,,,,,,,,,,
2003-10-16,5.7025,,,,,,,,,,,,,
2003-10-17,5.645,,,,,,,,,,,,,
2003-10-20,5.625,,,,,,,,,,,,,
2003-10-21,5.6725,,,,,,,,,,,,,
2003-10-22,5.5725,,,,,,,,,,,,,
2003-10-23,5.465,,,,,,,,,,,,,
2003-10-24,5.535,,,,,,,,,,,,,
2003-10-27,5.525,,,,,,,,,,,,,
2003-10-28,5.685,,,,,,,,,,,,,
2003-10-29,5.645,,,,,,,,,,,,,
2003-10-30,5.565,,,,,,,,,,,,,
2003-10-31,5.44,,,,,,,,,,,,,
2003-11-03,5.645,,,,,,,,,,,,,
2003-11-04,5.64,,,,,,,,,,,,,
2003-11-05,5.5225,,,,,,,,,,,,,
2003-11-06,5.6875,,,,,,,,,,,,,
2003-11-07,5.7125,,,,,,,,,,,,,
2003-11-10,5.5775,,,,,,,,,,,,,
2003-11-11,5.55,,,,,,,,,,,,,
2003-11-12,5.675,,,,,,,,,,,,,
2003-11-13,5.825,,,,,,,,,,,,,
2003-11-14,5.8125,,,,,,,,,,,,,
2003-11-17,5.7175,,,,,,,,,,,,,
2003-11-18,5.8175,,,,,,,,,,,,,
2003-11-19,5.875,,,,,,,,,,,,,
2003-11-20,5.7875,,,,,,,,,,,,,
2003-11-21,5.6375,,,,,,,,,,,,,
2003-11-24,5.74,,,,,,,,,,,,,
2003-11-25,5.63,,,,,,,,,,,,,
2003-11-26,5.5775,,,,,,,,,,,,,
2003-11-28,5.63,,,,,,,,,,,,,
2003-12-01,5.8925,,,,,,,,,,,,,
2003-12-02,5.8975,,,,,,,,,,,,,
2003-12-03,5.8,,,,,,,,,,,,,
2003-12-04,5.8375,,,,,,,,,,,,,
2003-12-05,5.87,,,,,,,,,,,,,
2003-12-08,5.86,,,,,,,,,,,,,
2003-12-09,6.025,,,,,,,,,,,,,
2003-12-10,6.0675,,,,,,,,,,,,,
2003-12-11,6.2125,,,,,,,,,,,,,
2003-12-12,6.175,,,,,,,,,,,,,
2003-12-15,6.185,,,,,,,,,,,,,
2003-12-16,6.21,,,,,,,,,,,,,
2003-12-17,6.345,,,,,,,,,,,,,
2003-12-18,6.45,,,,,,,,,,,,,
2003-12-19,6.4875,,,,,,,,,,,,,
2003-12-22,6.64,,,,,,,,,,,,,
2003-12-23,6.6025,,,,,,,,,,,,,
2003-12-24,6.5425,,,,,,,,,,,,,
2003-12-26,6.4725,,,,,,,,,,,,,
2003-12-29,6.6975,,,,,,,,,,,,,
2003-12-30,6.6425,,,,,,,,,,,,,
2003-12-31,6.665,,,,,,,,,,,,,
2004-01-02,6.85,,,,,,,,,,,,,
2004-01-05,7.335,,,,,,,,,,,,,
2004-01-06,7.7025,,,,,,,,,,,,,
2004-01-07,7.675,,,,,,,,,,,,,
2004-01-08,7.5375,,,,,,,,,,,,,
2004-01-09,7.5525,,,,,,,,,,,,,
2004-01-12,7.6875,,,,,,,,,,,,,
2004-01-13,7.6975,,,,,,,,,,,,,
2004-01-14,7.465,,,,,,,,,,,,,
2004-01-15,7.185,,,,,,,,,,,,,
2004-01-16,7.45,,,,,,,,,,,,,
2004-01-20,7.7475,,,,,,,,,,,,,
2004-01-21,7.5775,,,,,,,,,,,,,
2004-01-22,7.4625,,,,,,,,,,,,,
2004-01-23,7.5,,,,,,,,,,,,,
2004-01-26,7.555,,,,,,,,,,,,,
2004-01-27,7.5025,,,,,,,,,,,,,
2004-01-28,7.34,,,,,,,,,,,,,
2004-01-29,6.85,,,,,,,,,,,,,
2004-01-30,6.69,,,,,,,,,,,,,
2004-02-02,6.78,,,,,,,,,,,,,
2004-02-03,6.9075,,,,,,,,,,,,,
2004-02-04,6.82,,,,,,,,,,,,,
2004-02-05,6.7175,,,,,,,,,,,,,
2004-02-06,6.9175,,,,,,,,,,,,,
2004-02-09,7.0275,,,,,,,,,,,,,
2004-02-10,7.1925,,,,,,,,,,,,,
2004-02-11,7.45,,,,,,,,,,,,,
2004-02-12,7.55,,,,,,,,,,,,,
2004-02-13,7.41,,,,,,,,,,,,,
2004-02-17,7.315,,,,,,,,,,,,,
2004-02-18,7.175,,,,,,,,,,,,,
2004-02-19,6.875,,,,,,,,,,,,,
2004-02-20,6.895,,,,,,,,,,,,,
2004-02-23,6.9075,,,,,,,,,,,,,
2004-02-24,6.815,,,,,,,,,,,,,
2004-02-25,7.0025,,,,,,,,,,,,,
2004-02-26,6.9575,,,,,,,,,,,,,
2004-02-27,7.025,,,,,,,,,,,,,
2004-03-01,7.375,,,,,,,,,,,,,
2004-03-02,7.3725,,,,,,,,,,,,,
2004-03-03,7.4975,,,,,,,,,,,,,
2004-03-04,7.3225,,,,,,,,,,,,,
2004-03-05,7.45,,,,,,,,,,,,,
2004-03-08,7.51,,,,,,,,,,,,,
2004-03-09,7.55,,,,,,,,,,,,,
2004-03-10,7.1425,,,,,,,,,,,,,
2004-03-11,7.0125,,,,,,,,,,,,,
2004-03-12,7.15,,,,,,,,,,,,,
2004-03-15,6.9125,,,,,,,,,,,,,
2004-03-16,6.9875,,,,,,,,,,,,,
2004-03-17,7.12,,,,,,,,,,,,,
2004-03-18,7.42,,,,,,,,,,,,,
2004-03-19,7.2,,,,,,,,,,,,,
2004-03-22,7.075,,,,,,,,,,,,,
2004-03-23,7.0125,,,,,,,,,,,,,
2004-03-24,6.995,,,,,,,,,,,,,
2004-03-25,6.82,,,,,,,,,,,,,
2004-03-26,6.815,,,,,,,,,,,,,
2004-03-29,6.8725,,,,,,,,,,,,,
2004-03-30,7.165,,,,,,,,,,,,,
2004-03-31,7.385,,,,,,,,,,,,,
2004-04-01,7.375,,,,,,,,,,,,,
2004-04-02,7.4675,,,,,,,,,,,,,
2004-04-05,7.46,,,,,,,,,,,,,
