date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2017-01-04,29.9,,,,,,,,,,,,,
2017-01-05,28.4,,,,,,,,,,,,,
2017-01-06,28.87,,,,,,,,,,,,,
2017-01-09,29.33,,,,,,,,,,,,,
2017-01-10,29.22,,,,,,,,,,,,,
2017-01-11,29.69,,,,,,,,,,,,,
2017-01-12,29.18,,,,,,,,,,,,,
2017-01-13,29.09,,,,,,,,,,,,,
2017-01-17,26.35,,,,,,,,,,,,,
2017-01-18,26.19,,,,,,,,,,,,,
2017-01-19,26.01,,,,,,,,,,,,,
2017-01-20,26.05,,,,,,,,,,,,,
2017-01-23,26.0,,,,,,,,,,,,,
2017-01-24,26.83,,,,,,,,,,,,,
2017-01-25,27.23,,,,,,,,,,,,,
2017-01-26,27.53,,,,,,,,,,,,,
2017-01-27,27.77,,,,,,,,,,,,,
2017-01-30,27.06,,,,,,,,,,,,,
2017-01-31,27.14,,,,,,,,,,,,,
2017-02-01,26.48,,,,,,,,,,,,,
2017-02-02,26.49,,,,,,,,,,,,,
2017-02-03,26.97,,,,,,,,,,,,,
2017-02-06,26.6,,,,,,,,,,,,,
2017-02-07,26.72,,,,,,,,,,,,,
2017-02-08,27.12,,,,,,,,,,,,,
2017-02-09,27.53,,,,,,,,,,,,,
2017-02-10,27.34,,,,,,,,,,,,,
2017-02-13,27.66,,,,,,,,,,,,,
2017-02-14,27.55,,,,,,,,,,,,,
2017-02-15,27.71,,,,,,,,,,,,,
2017-02-16,27.73,,,,,,,,,,,,,
2017-02-17,27.02,,,,,,,,,,,,,
2017-02-21,26.88,,,,,,,,,,,,,
2017-02-22,26.73,,,,,,,,,,,,,
2017-02-23,26.22,,,,,,,,,,,,,
2017-02-24,25.92,,,,,,,,,,,,,
2017-02-27,26.0,,,,,,,,,,,,,
2017-02-28,25.54,,,,,,,,,,,,,
2017-03-01,26.03,,,,,,,,,,,,,
2017-03-02,26.8,,,,,,,,,,,,,
2017-03-03,27.01,,,,,,,,,,,,,
2017-03-06,27.1,,,,,,,,,,,,,
2017-03-07,26.37,,,,,,,,,,,,,
2017-03-08,26.26,,,,,,,,,,,,,
2017-03-09,26.02,,,,,,,,,,,,,
2017-03-10,26.0,,,,,,,,,,,,,
2017-03-13,25.75,,,,,,,,,,,,,
2017-03-14,25.78,,,,,,,,,,,,,
2017-03-15,26.46,,,,,,,,,,,,,
2017-03-16,26.59,,,,,,,,,,,,,
2017-03-17,26.63,,,,,,,,,,,,,
2017-03-20,26.45,,,,,,,,,,,,,
2017-03-21,26.18,,,,,,,,,,,,,
2017-03-22,26.17,,,,,,,,,,,,,
2017-03-23,26.25,,,,,,,,,,,,,
2017-03-24,26.22,,,,,,,,,,,,,
2017-03-27,26.17,,,,,,,,,,,,,
2017-03-28,26.14,,,,,,,,,,,,,
2017-03-29,25.68,,,,,,,,,,,,,
2017-03-30,25.71,,,,,,,,,,,,,
2017-03-31,25.67,,,,,,,,,,,,,
2017-04-03,25.78,,,,,,,,,,,,,
2017-04-04,26.13,,,,,,,,,,,,,
