date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2025-08-08,10.73,,,,,,,,,,,,,
2025-08-11,11.49,,,,,,,,,,,,,
2025-08-12,9.81,,,,,,,,,,,,,
2025-08-13,9.91,,,,,,,,,,,,,
2025-08-14,10.11,,,,,,,,,,,,,
2025-08-15,10.6,,,,,,,,,,,,,
2025-08-18,10.92,,,,,,,,,,,,,
2025-08-19,10.92,,,,,,,,,,,,,
2025-08-20,11.67,,,,,,,,,,,,,
2025-08-21,11.5,,,,,,,,,,,,,
2025-08-22,11.28,,,,,,,,,,,,,
2025-08-25,9.45,,,,,,,,,,,,,
2025-08-26,9.7,,,,,,,,,,,,,
2025-08-27,9.3,,,,,,,,,,,,,
2025-08-28,10.0,,,,,,,,,,,,,
2025-08-29,9.99,,,,,,,,,,,,,
2025-09-02,9.95,,,,,,,,,,,,,
2025-09-03,9.62,,,,,,,,,,,,,
2025-09-04,10.49,,,,,,,,,,,,,
2025-09-05,10.6,,,,,,,,,,,,,
2025-09-08,10.145,,,,,,,,,,,,,
2025-09-09,9.81,,,,,,,,,,,,,
2025-09-10,9.73,,,,,,,,,,,,,
2025-09-11,9.48,,,,,,,,,,,,,
2025-09-12,9.64,,,,,,,,,,,,,
2025-09-15,9.9,,,,,,,,,,,,,
2025-09-16,9.8,,,,,,,,,,,,,
2025-09-17,9.2582,,,,,,,,,,,,,
2025-09-18,9.4,,,,,,,,,,,,,
2025-09-19,9.0,,,,,,,,,,,,,
2025-09-22,8.5862,,,,,,,,,,,,,
2025-09-23,7.94,,,,,,,,,,,,,
2025-09-24,8.4979,,,,,,,,,,,,,
2025-09-25,7.8,,,,,,,,,,,,,
2025-09-26,8.3296,,,,,,,,,,,,,
2025-09-29,8.608,,,,,,,,,,,,,
2025-09-30,9.0,,,,,,,,,,,,,
2025-10-01,8.7984,,,,,,,,,,,,,
2025-10-02,8.25,,,,,,,,,,,,,
2025-10-03,8.608,,,,,,,,,,,,,
2025-10-06,8.21,,,,,,,,,,,,,
2025-10-07,8.2,,,,,,,,,,,,,
2025-10-08,8.25,,,,,,,,,,,,,
2025-10-09,8.2,,,,,,,,,,,,,
2025-10-10,8.45,,,,,,,,,,,,,
2025-10-13,8.25,,,,,,,,,,,,,
2025-10-14,8.07,,,,,,,,,,,,,
2025-10-15,7.83,,,,,,,,,,,,,
2025-10-16,8.0843,,,,,,,,,,,,,
2025-10-17,8.35,,,,,,,,,,,,,
2025-10-20,8.48,,,,,,,,,,,,,
2025-10-21,8.4531,,,,,,,,,,,,,
2025-10-22,8.0242,,,,,,,,,,,,,
2025-10-23,6.9,,,,,,,,,,,,,
2025-10-24,7.605,,,,,,,,,,,,,
2025-10-27,7.42,,,,,,,,,,,,,
2025-10-28,6.96,,,,,,,,,,,,,
2025-10-29,6.65,,,,,,,,,,,,,
2025-10-30,6.75,,,,,,,,,,,,,
2025-10-31,6.99,,,,,,,,,,,,,
2025-11-03,7.69,,,,,,,,,,,,,
2025-11-04,8.01,,,,,,,,,,,,,
2025-11-05,7.98,,,,,,,,,,,,,
2025-11-06,8.29,,,,,,,,,,,,,
2025-11-07,8.09,,,,,,,,,,,,,
2025-11-10,8.01,,,,,,,,,,,,,
2025-11-11,8.15,,,,,,,,,,,,,
2025-11-12,8.44,,,,,,,,,,,,,
2025-11-13,8.463,,,,,,,,,,,,,
2025-11-14,8.35,,,,,,,,,,,,,
2025-11-17,9.156,,,,,,,,,,,,,
2025-11-18,9.1254,,,,,,,,,,,,,
2025-11-19,9.27,,,,,,,,,,,,,
2025-11-20,9.97,,,,,,,,,,,,,
2025-11-21,10.2,,,,,,,,,,,,,
2025-11-24,10.42,,,,,,,,,,,,,
2025-11-25,11.75,,,,,,,,,,,,,
2025-11-26,10.0,,,,,,,,,,,,,
2025-11-28,10.3175,,,,,,,,,,,,,
2025-12-01,10.137,,,,,,,,,,,,,
2025-12-02,10.137,,,,,,,,,,,,,
2025-12-03,10.2,,,,,,,,,,,,,
2025-12-04,10.61,,,,,,,,,,,,,
2025-12-05,10.61,,,,,,,,,,,,,
2025-12-08,11.74,,,,,,,,,,,,,
2025-12-09,10.11,,,,,,,,,,,,,
2025-12-10,10.5,,,,,,,,,,,,,
2025-12-11,11.38,,,,,,,,,,,,,
2025-12-12,10.6,,,,,,,,,,,,,
2025-12-15,10.6,,,,,,,,,,,,,
2025-12-16,11.692,,,,,,,,,,,,,
2025-12-17,11.692,,,,,,,,,,,,,
2025-12-18,11.692,,,,,,,,,,,,,
2025-12-19,11.75,,,,,,,,,,,,,
2025-12-22,11.08,,,,,,,,,,,,,
2025-12-23,10.6864,,,,,,,,,,,,,
2025-12-24,11.13,,,,,,,,,,,,,
2025-12-26,11.13,,,,,,,,,,,,,
2025-12-29,11.13,,,,,,,,,,,,,
2025-12-30,11.0,,,,,,,,,,,,,
2025-12-31,10.96,,,,,,,,,,,,,
2026-01-02,10.859,,,,,,,,,,,,,
2026-01-05,10.81,,,,,,,,,,,,,
2026-01-06,10.81,,,,,,,,,,,,,
2026-01-07,10.81,,,,,,,,,,,,,
