date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,59.88,,,,,,,,,,,,,
1999-11-02,59.81,,,,,,,,,,,,,
1999-11-03,58.5,,,,,,,,,,,,,
1999-11-04,59.81,,,,,,,,,,,,,
1999-11-05,61.0,,,,,,,,,,,,,
1999-11-08,62.0,,,,,,,,,,,,,
1999-11-09,59.88,,,,,,,,,,,,,
1999-11-10,58.38,,,,,,,,,,,,,
1999-11-11,58.13,,,,,,,,,,,,,
1999-11-12,60.69,,,,,,,,,,,,,
1999-11-15,60.63,,,,,,,,,,,,,
1999-11-16,61.0,,,,,,,,,,,,,
1999-11-17,59.63,,,,,,,,,,,,,
1999-11-18,59.44,,,,,,,,,,,,,
1999-11-19,59.38,,,,,,,,,,,,,
1999-11-22,58.13,,,,,,,,,,,,,
1999-11-23,57.13,,,,,,,,,,,,,
1999-11-24,56.13,,,,,,,,,,,,,
1999-11-26,56.5,,,,,,,,,,,,,
1999-11-29,54.5,,,,,,,,,,,,,
1999-11-30,55.75,,,,,,,,,,,,,
1999-12-01,55.63,,,,,,,,,,,,,
1999-12-02,54.75,,,,,,,,,,,,,
1999-12-03,55.19,,,,,,,,,,,,,
1999-12-06,51.06,,,,,,,,,,,,,
1999-12-07,48.0,,,,,,,,,,,,,
1999-12-08,47.5,,,,,,,,,,,,,
1999-12-09,48.13,,,,,,,,,,,,,
1999-12-10,47.75,,,,,,,,,,,,,
1999-12-13,47.75,,,,,,,,,,,,,
1999-12-14,46.94,,,,,,,,,,,,,
1999-12-15,45.69,,,,,,,,,,,,,
1999-12-16,43.0,,,,,,,,,,,,,
1999-12-17,43.13,,,,,,,,,,,,,
1999-12-20,43.81,,,,,,,,,,,,,
1999-12-21,43.88,,,,,,,,,,,,,
1999-12-22,43.75,,,,,,,,,,,,,
1999-12-23,44.06,,,,,,,,,,,,,
1999-12-27,44.06,,,,,,,,,,,,,
1999-12-28,44.19,,,,,,,,,,,,,
1999-12-29,44.69,,,,,,,,,,,,,
1999-12-30,44.75,,,,,,,,,,,,,
1999-12-31,44.5,,,,,,,,,,,,,
2000-01-03,42.19,,,,,,,,,,,,,
2000-01-04,40.88,,,,,,,,,,,,,
2000-01-05,41.31,,,,,,,,,,,,,
2000-01-06,43.0,,,,,,,,,,,,,
2000-01-07,43.06,,,,,,,,,,,,,
2000-01-10,41.56,,,,,,,,,,,,,
2000-01-11,41.13,,,,,,,,,,,,,
2000-01-12,42.0,,,,,,,,,,,,,
2000-01-13,45.81,,,,,,,,,,,,,
2000-01-14,46.75,,,,,,,,,,,,,
2000-01-18,45.94,,,,,,,,,,,,,
2000-01-19,45.31,,,,,,,,,,,,,
2000-01-20,44.0,,,,,,,,,,,,,
2000-01-21,43.88,,,,,,,,,,,,,
2000-01-24,43.44,,,,,,,,,,,,,
2000-01-25,44.06,,,,,,,,,,,,,
2000-01-26,45.19,,,,,,,,,,,,,
2000-01-27,46.69,,,,,,,,,,,,,
2000-01-28,45.88,,,,,,,,,,,,,
2000-01-31,48.0,,,,,,,,,,,,,
2000-02-01,48.25,,,,,,,,,,,,,
2000-02-02,46.75,,,,,,,,,,,,,
2000-02-03,45.5,,,,,,,,,,,,,
2000-02-04,44.56,,,,,,,,,,,,,
2000-02-07,44.13,,,,,,,,,,,,,
2000-02-08,45.06,,,,,,,,,,,,,
2000-02-09,44.06,,,,,,,,,,,,,
2000-02-10,42.69,,,,,,,,,,,,,
2000-02-11,42.13,,,,,,,,,,,,,
2000-02-14,41.63,,,,,,,,,,,,,
2000-02-15,43.13,,,,,,,,,,,,,
2000-02-16,42.0,,,,,,,,,,,,,
2000-02-17,41.75,,,,,,,,,,,,,
2000-02-18,40.0,,,,,,,,,,,,,
2000-02-22,39.5,,,,,,,,,,,,,
2000-02-23,39.13,,,,,,,,,,,,,
2000-02-24,38.0,,,,,,,,,,,,,
2000-02-25,37.63,,,,,,,,,,,,,
2000-02-28,39.06,,,,,,,,,,,,,
2000-02-29,38.69,,,,,,,,,,,,,
2000-03-01,38.75,,,,,,,,,,,,,
2000-03-02,38.88,,,,,,,,,,,,,
2000-03-03,38.94,,,,,,,,,,,,,
2000-03-06,38.13,,,,,,,,,,,,,
2000-03-07,36.69,,,,,,,,,,,,,
2000-03-08,36.63,,,,,,,,,,,,,
2000-03-09,37.0,,,,,,,,,,,,,
2000-03-10,37.44,,,,,,,,,,,,,
2000-03-13,37.13,,,,,,,,,,,,,
2000-03-14,36.94,,,,,,,,,,,,,
2000-03-15,40.0,,,,,,,,,,,,,
2000-03-16,44.94,,,,,,,,,,,,,
2000-03-17,43.69,,,,,,,,,,,,,
2000-03-20,42.06,,,,,,,,,,,,,
2000-03-21,44.19,,,,,,,,,,,,,
2000-03-22,44.81,,,,,,,,,,,,,
2000-03-23,45.94,,,,,,,,,,,,,
2000-03-24,45.31,,,,,,,,,,,,,
2000-03-27,43.63,,,,,,,,,,,,,
2000-03-28,44.31,,,,,,,,,,,,,
2000-03-29,44.13,,,,,,,,,,,,,
2000-03-30,44.13,,,,,,,,,,,,,
2000-03-31,45.06,,,,,,,,,,,,,
2000-04-03,47.38,,,,,,,,,,,,,
2000-04-04,45.88,,,,,,,,,,,,,
2000-04-05,45.44,,,,,,,,,,,,,
2000-04-06,45.63,,,,,,,,,,,,,
2000-04-07,44.31,,,,,,,,,,,,,
2000-04-10,45.5,,,,,,,,,,,,,
2000-04-11,46.75,,,,,,,,,,,,,
2000-04-12,47.31,,,,,,,,,,,,,
2000-04-13,46.88,,,,,,,,,,,,,
2000-04-14,44.75,,,,,,,,,,,,,
2000-04-17,44.5,,,,,,,,,,,,,
2000-04-18,45.19,,,,,,,,,,,,,
2000-04-19,43.75,,,,,,,,,,,,,
2000-04-20,44.06,,,,,,,,,,,,,
2000-04-24,45.75,,,,,,,,,,,,,
2000-04-25,47.5,,,,,,,,,,,,,
2000-04-26,46.44,,,,,,,,,,,,,
2000-04-27,44.88,,,,,,,,,,,,,
2000-04-28,43.63,,,,,,,,,,,,,
2000-05-01,43.94,,,,,,,,,,,,,
2000-05-02,43.0,,,,,,,,,,,,,
2000-05-03,42.44,,,,,,,,,,,,,
2000-05-04,41.69,,,,,,,,,,,,,
2000-05-05,41.69,,,,,,,,,,,,,
2000-05-08,43.19,,,,,,,,,,,,,
2000-05-09,43.06,,,,,,,,,,,,,
2000-05-10,43.0,,,,,,,,,,,,,
2000-05-11,44.63,,,,,,,,,,,,,
2000-05-12,45.25,,,,,,,,,,,,,
2000-05-15,45.25,,,,,,,,,,,,,
2000-05-16,44.88,,,,,,,,,,,,,
2000-05-17,44.63,,,,,,,,,,,,,
2000-05-18,45.63,,,,,,,,,,,,,
2000-05-19,44.06,,,,,,,,,,,,,
2000-05-22,45.69,,,,,,,,,,,,,
2000-05-23,47.38,,,,,,,,,,,,,
2000-05-24,48.56,,,,,,,,,,,,,
2000-05-25,47.06,,,,,,,,,,,,,
2000-05-26,48.31,,,,,,,,,,,,,
2000-05-30,49.75,,,,,,,,,,,,,
2000-05-31,50.0,,,,,,,,,,,,,
2000-06-01,53.56,,,,,,,,,,,,,
2000-06-02,56.5,,,,,,,,,,,,,
2000-06-05,54.5,,,,,,,,,,,,,
2000-06-06,53.08,,,,,,,,,,,,,
2000-06-07,55.25,,,,,,,,,,,,,
2000-06-08,54.31,,,,,,,,,,,,,
2000-06-09,54.31,,,,,,,,,,,,,
2000-06-12,55.13,,,,,,,,,,,,,
2000-06-13,54.88,,,,,,,,,,,,,
2000-06-14,55.88,,,,,,,,,,,,,
2000-06-15,53.5,,,,,,,,,,,,,
2000-06-16,51.13,,,,,,,,,,,,,
2000-06-19,51.63,,,,,,,,,,,,,
2000-06-20,51.88,,,,,,,,,,,,,
2000-06-21,52.25,,,,,,,,,,,,,
2000-06-22,51.56,,,,,,,,,,,,,
2000-06-23,51.13,,,,,,,,,,,,,
2000-06-26,51.13,,,,,,,,,,,,,
2000-06-27,50.44,,,,,,,,,,,,,
2000-06-28,50.86,,,,,,,,,,,,,
2000-06-29,49.25,,,,,,,,,,,,,
2000-06-30,46.88,,,,,,,,,,,,,
2000-07-03,48.75,,,,,,,,,,,,,
2000-07-05,48.94,,,,,,,,,,,,,
2000-07-06,48.94,,,,,,,,,,,,,
2000-07-07,51.31,,,,,,,,,,,,,
2000-07-10,50.88,,,,,,,,,,,,,
2000-07-11,51.19,,,,,,,,,,,,,
2000-07-12,51.19,,,,,,,,,,,,,
2000-07-13,49.0,,,,,,,,,,,,,
2000-07-14,51.0,,,,,,,,,,,,,
2000-07-17,50.44,,,,,,,,,,,,,
2000-07-18,50.5,,,,,,,,,,,,,
2000-07-19,50.69,,,,,,,,,,,,,
2000-07-20,52.44,,,,,,,,,,,,,
2000-07-21,52.44,,,,,,,,,,,,,
2000-07-24,53.38,,,,,,,,,,,,,
2000-07-25,53.69,,,,,,,,,,,,,
2000-07-26,51.88,,,,,,,,,,,,,
2000-07-27,52.0,,,,,,,,,,,,,
2000-07-28,50.69,,,,,,,,,,,,,
