date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2017-10-05,30.0,,,,,,,,,,,,,
2017-10-06,25.25,,,,,,,,,,,,,
2017-10-09,24.57,,,,,,,,,,,,,
2017-10-10,26.01,,,,,,,,,,,,,
2017-10-11,25.72,,,,,,,,,,,,,
2017-10-12,24.66,,,,,,,,,,,,,
2017-10-13,24.42,,,,,,,,,,,,,
2017-10-16,26.26,,,,,,,,,,,,,
2017-10-17,24.26,,,,,,,,,,,,,
2017-10-18,23.865,,,,,,,,,,,,,
2017-10-19,23.25,,,,,,,,,,,,,
2017-10-20,23.08,,,,,,,,,,,,,
2017-10-23,23.94,,,,,,,,,,,,,
2017-10-24,24.25,,,,,,,,,,,,,
2017-10-25,22.53,,,,,,,,,,,,,
2017-10-26,22.96,,,,,,,,,,,,,
2017-10-27,23.72,,,,,,,,,,,,,
2017-10-30,24.42,,,,,,,,,,,,,
2017-10-31,25.58,,,,,,,,,,,,,
2017-11-01,26.1,,,,,,,,,,,,,
2017-11-02,24.09,,,,,,,,,,,,,
2017-11-03,25.89,,,,,,,,,,,,,
2017-11-06,24.2,,,,,,,,,,,,,
2017-11-07,22.41,,,,,,,,,,,,,
2017-11-08,23.22,,,,,,,,,,,,,
2017-11-09,22.0,,,,,,,,,,,,,
2017-11-10,24.21,,,,,,,,,,,,,
2017-11-13,25.46,,,,,,,,,,,,,
2017-11-14,24.02,,,,,,,,,,,,,
2017-11-15,24.0,,,,,,,,,,,,,
2017-11-16,24.13,,,,,,,,,,,,,
2017-11-17,25.8,,,,,,,,,,,,,
2017-11-20,27.0,,,,,,,,,,,,,
2017-11-21,27.9,,,,,,,,,,,,,
2017-11-22,29.01,,,,,,,,,,,,,
2017-11-24,28.87,,,,,,,,,,,,,
2017-11-27,28.91,,,,,,,,,,,,,
2017-11-28,28.81,,,,,,,,,,,,,
2017-11-29,27.81,,,,,,,,,,,,,
2017-11-30,28.58,,,,,,,,,,,,,
2017-12-01,30.24,,,,,,,,,,,,,
2017-12-04,29.99,,,,,,,,,,,,,
2017-12-05,28.68,,,,,,,,,,,,,
2017-12-06,27.36,,,,,,,,,,,,,
2017-12-07,28.25,,,,,,,,,,,,,
2017-12-08,29.09,,,,,,,,,,,,,
2017-12-11,27.67,,,,,,,,,,,,,
2017-12-12,27.01,,,,,,,,,,,,,
2017-12-13,27.13,,,,,,,,,,,,,
2017-12-14,28.04,,,,,,,,,,,,,
2017-12-15,28.29,,,,,,,,,,,,,
2017-12-18,30.51,,,,,,,,,,,,,
2017-12-19,29.9,,,,,,,,,,,,,
