date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2010-03-11,18.5,,,,,,,,,,,,,
2010-03-12,18.14,,,,,,,,,,,,,
2010-03-15,17.9,,,,,,,,,,,,,
2010-03-16,17.9,,,,,,,,,,,,,
2010-03-17,18.15,,,,,,,,,,,,,
2010-03-18,18.37,,,,,,,,,,,,,
2010-03-19,18.28,,,,,,,,,,,,,
2010-03-22,18.29,,,,,,,,,,,,,
2010-03-23,18.16,,,,,,,,,,,,,
2010-03-24,18.0,,,,,,,,,,,,,
2010-03-25,18.0,,,,,,,,,,,,,
2010-03-26,18.0,,,,,,,,,,,,,
2010-03-29,18.12,,,,,,,,,,,,,
2010-03-30,18.0,,,,,,,,,,,,,
2010-03-31,17.96,,,,,,,,,,,,,
2010-04-01,18.05,,,,,,,,,,,,,
2010-04-05,18.02,,,,,,,,,,,,,
2010-04-06,17.96,,,,,,,,,,,,,
2010-04-07,18.31,,,,,,,,,,,,,
2010-04-08,18.5,,,,,,,,,,,,,
2010-04-09,19.0,,,,,,,,,,,,,
2010-04-12,19.0,,,,,,,,,,,,,
2010-04-13,19.04,,,,,,,,,,,,,
2010-04-14,19.31,,,,,,,,,,,,,
2010-04-15,19.42,,,,,,,,,,,,,
2010-04-16,19.24,,,,,,,,,,,,,
2010-04-19,19.07,,,,,,,,,,,,,
2010-04-20,19.85,,,,,,,,,,,,,
2010-04-21,20.5,,,,,,,,,,,,,
2010-04-22,20.79,,,,,,,,,,,,,
2010-04-23,20.47,,,,,,,,,,,,,
2010-04-26,20.12,,,,,,,,,,,,,
2010-04-27,20.24,,,,,,,,,,,,,
2010-04-28,20.35,,,,,,,,,,,,,
2010-04-29,20.6,,,,,,,,,,,,,
2010-04-30,20.0,,,,,,,,,,,,,
2010-05-03,19.92,,,,,,,,,,,,,
2010-05-04,19.72,,,,,,,,,,,,,
2010-05-05,19.61,,,,,,,,,,,,,
2010-05-06,19.0,,,,,,,,,,,,,
2010-05-07,18.24,,,,,,,,,,,,,
2010-05-10,19.14,,,,,,,,,,,,,
2010-05-11,18.87,,,,,,,,,,,,,
2010-05-12,19.09,,,,,,,,,,,,,
2010-05-13,19.49,,,,,,,,,,,,,
2010-05-14,19.25,,,,,,,,,,,,,
2010-05-17,19.18,,,,,,,,,,,,,
2010-05-18,19.15,,,,,,,,,,,,,
2010-05-19,19.0,,,,,,,,,,,,,
2010-05-20,17.8,,,,,,,,,,,,,
2010-05-21,17.72,,,,,,,,,,,,,
2010-05-24,17.2,,,,,,,,,,,,,
2010-05-25,16.59,,,,,,,,,,,,,
2010-05-26,16.47,,,,,,,,,,,,,
2010-05-27,16.83,,,,,,,,,,,,,
2010-05-28,16.63,,,,,,,,,,,,,
2010-06-01,16.44,,,,,,,,,,,,,
2010-06-02,16.79,,,,,,,,,,,,,
2010-06-03,16.83,,,,,,,,,,,,,
2010-06-04,16.55,,,,,,,,,,,,,
2010-06-07,16.51,,,,,,,,,,,,,
2010-06-08,15.55,,,,,,,,,,,,,
2010-06-09,16.4,,,,,,,,,,,,,
2010-06-10,17.21,,,,,,,,,,,,,
2010-06-11,17.47,,,,,,,,,,,,,
2010-06-14,17.28,,,,,,,,,,,,,
2010-06-15,17.3,,,,,,,,,,,,,
2010-06-16,17.52,,,,,,,,,,,,,
2010-06-17,17.55,,,,,,,,,,,,,
2010-06-18,18.06,,,,,,,,,,,,,
2010-06-21,18.34,,,,,,,,,,,,,
2010-06-22,18.1,,,,,,,,,,,,,
2010-06-23,18.0,,,,,,,,,,,,,
2010-06-24,17.49,,,,,,,,,,,,,
2010-06-25,17.05,,,,,,,,,,,,,
2010-06-28,17.15,,,,,,,,,,,,,
2010-06-29,15.96,,,,,,,,,,,,,
2010-06-30,15.99,,,,,,,,,,,,,
2010-07-01,15.96,,,,,,,,,,,,,
2010-07-02,16.0,,,,,,,,,,,,,
2010-07-06,16.5,,,,,,,,,,,,,
2010-07-07,16.27,,,,,,,,,,,,,
2010-07-08,16.08,,,,,,,,,,,,,
2010-07-09,16.1,,,,,,,,,,,,,
2010-07-12,16.06,,,,,,,,,,,,,
2010-07-13,16.76,,,,,,,,,,,,,
2010-07-14,16.55,,,,,,,,,,,,,
2010-07-15,16.84,,,,,,,,,,,,,
2010-07-16,16.58,,,,,,,,,,,,,
2010-07-19,16.26,,,,,,,,,,,,,
2010-07-20,16.6,,,,,,,,,,,,,
2010-07-21,16.6,,,,,,,,,,,,,
2010-07-22,16.36,,,,,,,,,,,,,
2010-07-23,16.46,,,,,,,,,,,,,
2010-07-26,16.35,,,,,,,,,,,,,
2010-07-27,16.3,,,,,,,,,,,,,
2010-07-28,16.02,,,,,,,,,,,,,
2010-07-29,16.0,,,,,,,,,,,,,
2010-07-30,16.2,,,,,,,,,,,,,
2010-08-02,16.51,,,,,,,,,,,,,
2010-08-03,16.58,,,,,,,,,,,,,
2010-08-04,16.75,,,,,,,,,,,,,
2010-08-05,16.66,,,,,,,,,,,,,
2010-08-06,16.57,,,,,,,,,,,,,
2010-08-09,17.75,,,,,,,,,,,,,
2010-08-10,17.46,,,,,,,,,,,,,
2010-08-11,16.93,,,,,,,,,,,,,
2010-08-12,16.55,,,,,,,,,,,,,
2010-08-13,16.75,,,,,,,,,,,,,
2010-08-16,17.06,,,,,,,,,,,,,
2010-08-17,17.42,,,,,,,,,,,,,
2010-08-18,17.51,,,,,,,,,,,,,
2010-08-19,17.4,,,,,,,,,,,,,
2010-08-20,17.31,,,,,,,,,,,,,
2010-08-23,17.1,,,,,,,,,,,,,
2010-08-24,16.76,,,,,,,,,,,,,
2010-08-25,16.38,,,,,,,,,,,,,
2010-08-26,16.31,,,,,,,,,,,,,
2010-08-27,16.9,,,,,,,,,,,,,
2010-08-30,16.87,,,,,,,,,,,,,
2010-08-31,16.87,,,,,,,,,,,,,
2010-09-01,17.69,,,,,,,,,,,,,
2010-09-02,17.91,,,,,,,,,,,,,
2010-09-03,18.42,,,,,,,,,,,,,
2010-09-07,18.17,,,,,,,,,,,,,
