date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2019-06-19,25.57,,,,,,,,,,,,,
2019-06-20,26.0,,,,,,,,,,,,,
2019-06-21,27.29,,,,,,,,,,,,,
2019-06-24,25.53,,,,,,,,,,,,,
2019-06-25,25.99,,,,,,,,,,,,,
2019-06-26,26.41,,,,,,,,,,,,,
2019-06-27,28.86,,,,,,,,,,,,,
2019-06-28,29.17,,,,,,,,,,,,,
2019-07-01,28.87,,,,,,,,,,,,,
2019-07-02,28.59,,,,,,,,,,,,,
2019-07-03,28.15,,,,,,,,,,,,,
2019-07-05,28.0,,,,,,,,,,,,,
2019-07-08,27.29,,,,,,,,,,,,,
2019-07-09,26.65,,,,,,,,,,,,,
2019-07-10,26.71,,,,,,,,,,,,,
2019-07-11,27.85,,,,,,,,,,,,,
2019-07-12,26.98,,,,,,,,,,,,,
2019-07-15,26.22,,,,,,,,,,,,,
2019-07-16,26.38,,,,,,,,,,,,,
2019-07-17,24.56,,,,,,,,,,,,,
2019-07-18,23.89,,,,,,,,,,,,,
2019-07-19,23.45,,,,,,,,,,,,,
2019-07-22,23.0,,,,,,,,,,,,,
2019-07-23,25.5,,,,,,,,,,,,,
2019-07-24,25.07,,,,,,,,,,,,,
2019-07-25,23.24,,,,,,,,,,,,,
2019-07-26,23.89,,,,,,,,,,,,,
2019-07-29,23.65,,,,,,,,,,,,,
2019-07-30,24.37,,,,,,,,,,,,,
2019-07-31,24.64,,,,,,,,,,,,,
2019-08-01,25.65,,,,,,,,,,,,,
2019-08-02,26.35,,,,,,,,,,,,,
2019-08-05,25.31,,,,,,,,,,,,,
2019-08-06,26.45,,,,,,,,,,,,,
2019-08-07,26.85,,,,,,,,,,,,,
2019-08-08,27.98,,,,,,,,,,,,,
2019-08-09,28.78,,,,,,,,,,,,,
2019-08-12,28.19,,,,,,,,,,,,,
2019-08-13,30.0,,,,,,,,,,,,,
2019-08-14,30.27,,,,,,,,,,,,,
2019-08-15,30.0,,,,,,,,,,,,,
2019-08-16,30.87,,,,,,,,,,,,,
2019-08-19,31.6,,,,,,,,,,,,,
2019-08-20,32.63,,,,,,,,,,,,,
2019-08-21,31.92,,,,,,,,,,,,,
2019-08-22,31.93,,,,,,,,,,,,,
2019-08-23,31.82,,,,,,,,,,,,,
2019-08-26,35.03,,,,,,,,,,,,,
2019-08-27,33.16,,,,,,,,,,,,,
2019-08-28,34.87,,,,,,,,,,,,,
2019-08-29,37.4,,,,,,,,,,,,,
2019-08-30,37.44,,,,,,,,,,,,,
2019-09-03,37.72,,,,,,,,,,,,,
2019-09-04,36.09,,,,,,,,,,,,,
2019-09-05,36.51,,,,,,,,,,,,,
2019-09-06,35.55,,,,,,,,,,,,,
2019-09-09,33.48,,,,,,,,,,,,,
2019-09-10,28.8,,,,,,,,,,,,,
2019-09-11,28.5,,,,,,,,,,,,,
2019-09-12,27.59,,,,,,,,,,,,,
2019-09-13,26.59,,,,,,,,,,,,,
2019-09-16,23.63,,,,,,,,,,,,,
2019-09-17,24.25,,,,,,,,,,,,,
2019-09-18,22.81,,,,,,,,,,,,,
2019-09-19,22.05,,,,,,,,,,,,,
2019-09-20,23.11,,,,,,,,,,,,,
2019-09-23,25.44,,,,,,,,,,,,,
2019-09-24,24.92,,,,,,,,,,,,,
2019-09-25,22.79,,,,,,,,,,,,,
2019-09-26,21.39,,,,,,,,,,,,,
2019-09-27,20.53,,,,,,,,,,,,,
2019-09-30,21.49,,,,,,,,,,,,,
2019-10-01,22.06,,,,,,,,,,,,,
2019-10-02,21.68,,,,,,,,,,,,,
2019-10-03,21.86,,,,,,,,,,,,,
2019-10-04,21.77,,,,,,,,,,,,,
2019-10-07,21.29,,,,,,,,,,,,,
2019-10-08,21.53,,,,,,,,,,,,,
2019-10-09,20.01,,,,,,,,,,,,,
2019-10-10,20.7,,,,,,,,,,,,,
2019-10-11,20.9,,,,,,,,,,,,,
2019-10-14,20.46,,,,,,,,,,,,,
2019-10-15,21.81,,,,,,,,,,,,,
2019-10-16,22.25,,,,,,,,,,,,,
2019-10-17,22.28,,,,,,,,,,,,,
2019-10-18,22.31,,,,,,,,,,,,,
2019-10-21,22.72,,,,,,,,,,,,,
2019-10-22,22.96,,,,,,,,,,,,,
2019-10-23,22.71,,,,,,,,,,,,,
2019-10-24,22.86,,,,,,,,,,,,,
2019-10-25,24.93,,,,,,,,,,,,,
2019-10-28,25.85,,,,,,,,,,,,,
2019-10-29,29.8,,,,,,,,,,,,,
2019-10-30,29.02,,,,,,,,,,,,,
2019-10-31,28.34,,,,,,,,,,,,,
2019-11-01,28.71,,,,,,,,,,,,,
2019-11-04,30.47,,,,,,,,,,,,,
2019-11-05,30.79,,,,,,,,,,,,,
2019-11-06,28.82,,,,,,,,,,,,,
2019-11-07,28.17,,,,,,,,,,,,,
2019-11-08,29.87,,,,,,,,,,,,,
2019-11-11,29.79,,,,,,,,,,,,,
2019-11-12,27.41,,,,,,,,,,,,,
2019-11-13,26.49,,,,,,,,,,,,,
2019-11-14,25.91,,,,,,,,,,,,,
2019-11-15,23.32,,,,,,,,,,,,,
2019-11-18,23.74,,,,,,,,,,,,,
2019-11-19,23.86,,,,,,,,,,,,,
2019-11-20,24.1,,,,,,,,,,,,,
2019-11-21,22.8,,,,,,,,,,,,,
2019-11-22,22.49,,,,,,,,,,,,,
2019-11-25,23.89,,,,,,,,,,,,,
2019-11-26,24.76,,,,,,,,,,,,,
2019-11-27,24.96,,,,,,,,,,,,,
2019-11-29,24.5,,,,,,,,,,,,,
2019-12-02,25.5,,,,,,,,,,,,,
2019-12-03,24.4,,,,,,,,,,,,,
2019-12-04,25.22,,,,,,,,,,,,,
2019-12-05,25.03,,,,,,,,,,,,,
2019-12-06,28.98,,,,,,,,,,,,,
2019-12-09,27.11,,,,,,,,,,,,,
2019-12-10,25.37,,,,,,,,,,,,,
2019-12-11,23.17,,,,,,,,,,,,,
2019-12-12,23.82,,,,,,,,,,,,,
2019-12-13,24.16,,,,,,,,,,,,,
2019-12-16,24.98,,,,,,,,,,,,,
2019-12-17,26.77,,,,,,,,,,,,,
2019-12-18,27.61,,,,,,,,,,,,,
2019-12-19,28.08,,,,,,,,,,,,,
2019-12-20,29.34,,,,,,,,,,,,,
2019-12-23,26.87,,,,,,,,,,,,,
2019-12-24,28.6,,,,,,,,,,,,,
2019-12-26,27.24,,,,,,,,,,,,,
2019-12-27,26.58,,,,,,,,,,,,,
2019-12-30,27.56,,,,,,,,,,,,,
2019-12-31,28.32,,,,,,,,,,,,,
2020-01-02,26.54,,,,,,,,,,,,,
2020-01-03,25.02,,,,,,,,,,,,,
2020-01-06,24.7,,,,,,,,,,,,,
2020-01-07,24.61,,,,,,,,,,,,,
2020-01-08,25.76,,,,,,,,,,,,,
2020-01-09,25.4,,,,,,,,,,,,,
