date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2006-03-15,24.1,,,,,,,,,,,,,
2006-03-16,24.27,,,,,,,,,,,,,
2006-03-17,25.01,,,,,,,,,,,,,
2006-03-20,24.9,,,,,,,,,,,,,
2006-03-21,24.2,,,,,,,,,,,,,
2006-03-22,24.16,,,,,,,,,,,,,
2006-03-23,24.1,,,,,,,,,,,,,
2006-03-24,24.5,,,,,,,,,,,,,
2006-03-27,24.75,,,,,,,,,,,,,
2006-03-28,24.7,,,,,,,,,,,,,
2006-03-29,24.9,,,,,,,,,,,,,
2006-03-30,25.45,,,,,,,,,,,,,
2006-03-31,25.75,,,,,,,,,,,,,
2006-04-03,24.9,,,,,,,,,,,,,
2006-04-04,24.8,,,,,,,,,,,,,
2006-04-05,24.68,,,,,,,,,,,,,
2006-04-06,24.25,,,,,,,,,,,,,
2006-04-07,24.11,,,,,,,,,,,,,
2006-04-10,24.31,,,,,,,,,,,,,
2006-04-11,24.1,,,,,,,,,,,,,
2006-04-12,24.1,,,,,,,,,,,,,
2006-04-13,24.38,,,,,,,,,,,,,
2006-04-17,24.6,,,,,,,,,,,,,
2006-04-18,24.25,,,,,,,,,,,,,
2006-04-19,24.75,,,,,,,,,,,,,
2006-04-20,25.6,,,,,,,,,,,,,
2006-04-21,25.45,,,,,,,,,,,,,
2006-04-24,25.51,,,,,,,,,,,,,
2006-04-25,25.8,,,,,,,,,,,,,
2006-04-26,25.75,,,,,,,,,,,,,
2006-04-27,25.39,,,,,,,,,,,,,
2006-04-28,24.73,,,,,,,,,,,,,
2006-05-01,25.14,,,,,,,,,,,,,
2006-05-02,24.75,,,,,,,,,,,,,
2006-05-03,24.62,,,,,,,,,,,,,
2006-05-04,24.58,,,,,,,,,,,,,
2006-05-05,24.55,,,,,,,,,,,,,
2006-05-08,24.86,,,,,,,,,,,,,
2006-05-09,24.92,,,,,,,,,,,,,
2006-05-10,24.99,,,,,,,,,,,,,
2006-05-11,25.8,,,,,,,,,,,,,
2006-05-12,25.47,,,,,,,,,,,,,
2006-05-15,25.28,,,,,,,,,,,,,
2006-05-16,25.54,,,,,,,,,,,,,
2006-05-17,25.4,,,,,,,,,,,,,
2006-05-18,25.41,,,,,,,,,,,,,
2006-05-19,25.4,,,,,,,,,,,,,
2006-05-22,25.51,,,,,,,,,,,,,
2006-05-23,25.25,,,,,,,,,,,,,
2006-05-24,25.3,,,,,,,,,,,,,
2006-05-25,25.08,,,,,,,,,,,,,
2006-05-26,25.0,,,,,,,,,,,,,
2006-05-30,24.98,,,,,,,,,,,,,
2006-05-31,25.19,,,,,,,,,,,,,
2006-06-01,26.0,,,,,,,,,,,,,
2006-06-02,26.5,,,,,,,,,,,,,
2006-06-05,26.48,,,,,,,,,,,,,
2006-06-06,26.05,,,,,,,,,,,,,
2006-06-07,25.87,,,,,,,,,,,,,
2006-06-08,25.82,,,,,,,,,,,,,
2006-06-09,24.8,,,,,,,,,,,,,
2006-06-12,24.01,,,,,,,,,,,,,
2006-06-13,23.04,,,,,,,,,,,,,
2006-06-14,22.23,,,,,,,,,,,,,
2006-06-15,22.45,,,,,,,,,,,,,
2006-06-16,23.45,,,,,,,,,,,,,
2006-06-19,22.9,,,,,,,,,,,,,
2006-06-20,23.67,,,,,,,,,,,,,
2006-06-21,24.44,,,,,,,,,,,,,
2006-06-22,24.63,,,,,,,,,,,,,
2006-06-23,25.38,,,,,,,,,,,,,
2006-06-26,26.06,,,,,,,,,,,,,
2006-06-27,26.11,,,,,,,,,,,,,
2006-06-28,25.47,,,,,,,,,,,,,
2006-06-29,25.88,,,,,,,,,,,,,
2006-06-30,23.95,,,,,,,,,,,,,
2006-07-03,23.53,,,,,,,,,,,,,
2006-07-05,23.48,,,,,,,,,,,,,
2006-07-06,23.04,,,,,,,,,,,,,
2006-07-07,23.0,,,,,,,,,,,,,
2006-07-10,23.16,,,,,,,,,,,,,
2006-07-11,23.47,,,,,,,,,,,,,
2006-07-12,23.55,,,,,,,,,,,,,
2006-07-13,23.48,,,,,,,,,,,,,
2006-07-14,23.11,,,,,,,,,,,,,
2006-07-17,23.19,,,,,,,,,,,,,
2006-07-18,23.65,,,,,,,,,,,,,
2006-07-19,24.98,,,,,,,,,,,,,
2006-07-20,25.01,,,,,,,,,,,,,
2006-07-21,25.02,,,,,,,,,,,,,
2006-07-24,25.58,,,,,,,,,,,,,
2006-07-25,26.14,,,,,,,,,,,,,
2006-07-26,25.11,,,,,,,,,,,,,
2006-07-27,25.0,,,,,,,,,,,,,
2006-07-28,25.5,,,,,,,,,,,,,
2006-07-31,25.6,,,,,,,,,,,,,
2006-08-01,25.1,,,,,,,,,,,,,
2006-08-02,25.19,,,,,,,,,,,,,
2006-08-03,25.53,,,,,,,,,,,,,
2006-08-04,24.99,,,,,,,,,,,,,
2006-08-07,24.77,,,,,,,,,,,,,
2006-08-08,24.32,,,,,,,,,,,,,
2006-08-09,23.18,,,,,,,,,,,,,
2006-08-10,23.7,,,,,,,,,,,,,
2006-08-11,23.56,,,,,,,,,,,,,
2006-08-14,23.95,,,,,,,,,,,,,
2006-08-15,24.0,,,,,,,,,,,,,
2006-08-16,23.86,,,,,,,,,,,,,
2006-08-17,23.82,,,,,,,,,,,,,
2006-08-18,23.82,,,,,,,,,,,,,
2006-08-21,23.46,,,,,,,,,,,,,
2006-08-22,23.27,,,,,,,,,,,,,
2006-08-23,22.6,,,,,,,,,,,,,
2006-08-24,22.36,,,,,,,,,,,,,
2006-08-25,22.61,,,,,,,,,,,,,
2006-08-28,22.8,,,,,,,,,,,,,
2006-08-29,22.48,,,,,,,,,,,,,
2006-08-30,22.73,,,,,,,,,,,,,
2006-08-31,22.63,,,,,,,,,,,,,
2006-09-01,22.17,,,,,,,,,,,,,
2006-09-05,23.06,,,,,,,,,,,,,
2006-09-06,23.09,,,,,,,,,,,,,
2006-09-07,24.06,,,,,,,,,,,,,
2006-09-08,23.95,,,,,,,,,,,,,
2006-09-11,24.06,,,,,,,,,,,,,
2006-09-12,23.86,,,,,,,,,,,,,
2006-09-13,23.81,,,,,,,,,,,,,
2006-09-14,23.5,,,,,,,,,,,,,
2006-09-15,23.56,,,,,,,,,,,,,
2006-09-18,23.4,,,,,,,,,,,,,
2006-09-19,23.39,,,,,,,,,,,,,
2006-09-20,24.45,,,,,,,,,,,,,
2006-09-21,24.32,,,,,,,,,,,,,
2006-09-22,24.16,,,,,,,,,,,,,
2006-09-25,23.83,,,,,,,,,,,,,
2006-09-26,23.79,,,,,,,,,,,,,
2006-09-27,24.23,,,,,,,,,,,,,
2006-09-28,24.8,,,,,,,,,,,,,
2006-09-29,24.42,,,,,,,,,,,,,
2006-10-02,23.69,,,,,,,,,,,,,
2006-10-03,23.62,,,,,,,,,,,,,
2006-10-04,24.0,,,,,,,,,,,,,
2006-10-05,24.92,,,,,,,,,,,,,
2006-10-06,24.58,,,,,,,,,,,,,
2006-10-09,24.88,,,,,,,,,,,,,
2006-10-10,24.8,,,,,,,,,,,,,
2006-10-11,24.79,,,,,,,,,,,,,
2006-10-12,24.97,,,,,,,,,,,,,
2006-10-13,24.8,,,,,,,,,,,,,
2006-10-16,24.55,,,,,,,,,,,,,
2006-10-17,24.41,,,,,,,,,,,,,
2006-10-18,24.42,,,,,,,,,,,,,
2006-10-19,24.48,,,,,,,,,,,,,
2006-10-20,24.8,,,,,,,,,,,,,
2006-10-23,24.25,,,,,,,,,,,,,
2006-10-24,23.39,,,,,,,,,,,,,
2006-10-25,23.5,,,,,,,,,,,,,
2006-10-26,24.08,,,,,,,,,,,,,
2006-10-27,23.82,,,,,,,,,,,,,
2006-10-30,24.53,,,,,,,,,,,,,
2006-10-31,24.02,,,,,,,,,,,,,
2006-11-01,23.85,,,,,,,,,,,,,
2006-11-02,24.01,,,,,,,,,,,,,
2006-11-03,23.59,,,,,,,,,,,,,
2006-11-06,23.99,,,,,,,,,,,,,
2006-11-07,24.01,,,,,,,,,,,,,
2006-11-08,24.11,,,,,,,,,,,,,
2006-11-09,23.6,,,,,,,,,,,,,
2006-11-10,24.17,,,,,,,,,,,,,
2006-11-13,24.49,,,,,,,,,,,,,
2006-11-14,25.0,,,,,,,,,,,,,
2006-11-15,25.42,,,,,,,,,,,,,
2006-11-16,25.1,,,,,,,,,,,,,
2006-11-17,24.39,,,,,,,,,,,,,
