date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2024-04-12,34.94,,,,,,,,,,,,,
2024-04-15,35.0,,,,,,,,,,,,,
2024-04-16,34.83,,,,,,,,,,,,,
2024-04-17,33.99,,,,,,,,,,,,,
2024-04-18,33.58,,,,,,,,,,,,,
2024-04-19,33.85,,,,,,,,,,,,,
2024-04-22,33.61,,,,,,,,,,,,,
2024-04-23,33.65,,,,,,,,,,,,,
2024-04-24,33.95,,,,,,,,,,,,,
2024-04-25,33.89,,,,,,,,,,,,,
2024-04-26,34.02,,,,,,,,,,,,,
2024-04-29,34.92,,,,,,,,,,,,,
2024-04-30,35.1,,,,,,,,,,,,,
2024-05-01,34.85,,,,,,,,,,,,,
2024-05-02,35.15,,,,,,,,,,,,,
2024-05-03,35.4,,,,,,,,,,,,,
2024-05-06,36.07,,,,,,,,,,,,,
2024-05-07,35.81,,,,,,,,,,,,,
2024-05-08,35.76,,,,,,,,,,,,,
2024-05-09,36.56,,,,,,,,,,,,,
2024-05-10,36.68,,,,,,,,,,,,,
2024-05-13,36.61,,,,,,,,,,,,,
2024-05-14,36.7,,,,,,,,,,,,,
2024-05-15,37.17,,,,,,,,,,,,,
2024-05-16,36.99,,,,,,,,,,,,,
2024-05-17,37.2,,,,,,,,,,,,,
2024-05-20,38.0,,,,,,,,,,,,,
2024-05-21,40.05,,,,,,,,,,,,,
2024-05-22,40.62,,,,,,,,,,,,,
2024-05-23,42.06,,,,,,,,,,,,,
2024-05-24,41.99,,,,,,,,,,,,,
2024-05-28,39.93,,,,,,,,,,,,,
2024-05-29,38.64,,,,,,,,,,,,,
2024-05-30,39.84,,,,,,,,,,,,,
2024-05-31,38.57,,,,,,,,,,,,,
2024-06-03,38.19,,,,,,,,,,,,,
2024-06-04,39.19,,,,,,,,,,,,,
2024-06-05,38.91,,,,,,,,,,,,,
2024-06-06,39.77,,,,,,,,,,,,,
2024-06-07,38.87,,,,,,,,,,,,,
2024-06-10,39.23,,,,,,,,,,,,,
2024-06-11,39.02,,,,,,,,,,,,,
2024-06-12,41.02,,,,,,,,,,,,,
2024-06-13,41.52,,,,,,,,,,,,,
2024-06-14,41.4,,,,,,,,,,,,,
2024-06-17,41.25,,,,,,,,,,,,,
2024-06-18,41.3,,,,,,,,,,,,,
2024-06-20,41.5,,,,,,,,,,,,,
2024-06-21,41.85,,,,,,,,,,,,,
2024-06-24,40.74,,,,,,,,,,,,,
2024-06-25,40.97,,,,,,,,,,,,,
2024-06-26,40.42,,,,,,,,,,,,,
2024-06-27,41.04,,,,,,,,,,,,,
2024-06-28,42.19,,,,,,,,,,,,,
2024-07-01,41.97,,,,,,,,,,,,,
2024-07-02,42.76,,,,,,,,,,,,,
2024-07-03,42.99,,,,,,,,,,,,,
2024-07-05,42.08,,,,,,,,,,,,,
2024-07-08,43.07,,,,,,,,,,,,,
2024-07-09,43.49,,,,,,,,,,,,,
2024-07-10,43.6,,,,,,,,,,,,,
2024-07-11,44.58,,,,,,,,,,,,,
2024-07-12,43.79,,,,,,,,,,,,,
2024-07-15,43.9,,,,,,,,,,,,,
2024-07-16,45.12,,,,,,,,,,,,,
2024-07-17,44.59,,,,,,,,,,,,,
2024-07-18,44.12,,,,,,,,,,,,,
2024-07-19,44.21,,,,,,,,,,,,,
2024-07-22,44.55,,,,,,,,,,,,,
2024-07-23,44.75,,,,,,,,,,,,,
2024-07-24,44.15,,,,,,,,,,,,,
2024-07-25,44.73,,,,,,,,,,,,,
