date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,33.94,,,,,,,,,,,,,
1999-11-02,34.75,,,,,,,,,,,,,
1999-11-03,34.56,,,,,,,,,,,,,
1999-11-04,34.94,,,,,,,,,,,,,
1999-11-05,35.13,,,,,,,,,,,,,
1999-11-08,34.75,,,,,,,,,,,,,
1999-11-09,34.75,,,,,,,,,,,,,
1999-11-10,34.25,,,,,,,,,,,,,
1999-11-11,33.81,,,,,,,,,,,,,
1999-11-12,34.44,,,,,,,,,,,,,
1999-11-15,34.13,,,,,,,,,,,,,
1999-11-16,34.13,,,,,,,,,,,,,
1999-11-17,33.56,,,,,,,,,,,,,
1999-11-18,33.22,,,,,,,,,,,,,
1999-11-19,32.94,,,,,,,,,,,,,
1999-11-22,32.81,,,,,,,,,,,,,
1999-11-23,31.94,,,,,,,,,,,,,
1999-11-24,32.69,,,,,,,,,,,,,
1999-11-26,32.5,,,,,,,,,,,,,
1999-11-29,31.5,,,,,,,,,,,,,
1999-11-30,31.44,,,,,,,,,,,,,
1999-12-01,31.88,,,,,,,,,,,,,
1999-12-02,31.5,,,,,,,,,,,,,
1999-12-03,31.63,,,,,,,,,,,,,
1999-12-06,30.88,,,,,,,,,,,,,
1999-12-07,30.19,,,,,,,,,,,,,
1999-12-08,29.5,,,,,,,,,,,,,
1999-12-09,28.56,,,,,,,,,,,,,
1999-12-10,28.81,,,,,,,,,,,,,
1999-12-13,28.0,,,,,,,,,,,,,
1999-12-14,27.25,,,,,,,,,,,,,
1999-12-15,27.63,,,,,,,,,,,,,
1999-12-16,26.88,,,,,,,,,,,,,
1999-12-17,27.25,,,,,,,,,,,,,
1999-12-20,26.69,,,,,,,,,,,,,
1999-12-21,27.06,,,,,,,,,,,,,
1999-12-22,26.63,,,,,,,,,,,,,
1999-12-23,27.22,,,,,,,,,,,,,
1999-12-27,27.63,,,,,,,,,,,,,
1999-12-28,27.09,,,,,,,,,,,,,
1999-12-29,27.38,,,,,,,,,,,,,
1999-12-30,27.59,,,,,,,,,,,,,
1999-12-31,27.94,,,,,,,,,,,,,
2000-01-03,25.69,,,,,,,,,,,,,
2000-01-04,25.25,,,,,,,,,,,,,
2000-01-05,25.63,,,,,,,,,,,,,
2000-01-06,26.13,,,,,,,,,,,,,
2000-01-07,26.5,,,,,,,,,,,,,
2000-01-10,24.81,,,,,,,,,,,,,
