date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2014-04-17,20.24,,,,,,,,,,,,,
2014-04-21,22.6099,,,,,,,,,,,,,
2014-04-22,23.15,,,,,,,,,,,,,
2014-04-23,21.41,,,,,,,,,,,,,
2014-04-24,20.44,,,,,,,,,,,,,
2014-04-25,19.21,,,,,,,,,,,,,
2014-04-28,17.51,,,,,,,,,,,,,
2014-04-29,18.3,,,,,,,,,,,,,
2014-04-30,19.56,,,,,,,,,,,,,
2014-05-01,20.22,,,,,,,,,,,,,
2014-05-02,20.03,,,,,,,,,,,,,
2014-05-05,19.75,,,,,,,,,,,,,
2014-05-06,18.57,,,,,,,,,,,,,
2014-05-07,17.55,,,,,,,,,,,,,
2014-05-08,17.97,,,,,,,,,,,,,
2014-05-09,17.86,,,,,,,,,,,,,
2014-05-12,19.52,,,,,,,,,,,,,
2014-05-13,20.06,,,,,,,,,,,,,
2014-05-14,19.55,,,,,,,,,,,,,
2014-05-15,19.72,,,,,,,,,,,,,
2014-05-16,19.75,,,,,,,,,,,,,
2014-05-19,19.55,,,,,,,,,,,,,
2014-05-20,19.07,,,,,,,,,,,,,
2014-05-21,20.25,,,,,,,,,,,,,
2014-05-22,18.05,,,,,,,,,,,,,
2014-05-23,18.07,,,,,,,,,,,,,
2014-05-27,17.95,,,,,,,,,,,,,
2014-05-28,18.369,,,,,,,,,,,,,
2014-05-29,19.15,,,,,,,,,,,,,
2014-05-30,18.52,,,,,,,,,,,,,
2014-06-02,18.35,,,,,,,,,,,,,
2014-06-03,18.32,,,,,,,,,,,,,
2014-06-04,18.78,,,,,,,,,,,,,
2014-06-05,18.96,,,,,,,,,,,,,
2014-06-06,18.54,,,,,,,,,,,,,
2014-06-09,18.65,,,,,,,,,,,,,
2014-06-10,18.91,,,,,,,,,,,,,
2014-06-11,19.21,,,,,,,,,,,,,
2014-06-12,18.94,,,,,,,,,,,,,
2014-06-13,19.21,,,,,,,,,,,,,
2014-06-16,19.31,,,,,,,,,,,,,
2014-06-17,20.8,,,,,,,,,,,,,
2014-06-18,21.23,,,,,,,,,,,,,
2014-06-19,20.12,,,,,,,,,,,,,
2014-06-20,19.88,,,,,,,,,,,,,
2014-06-23,19.48,,,,,,,,,,,,,
2014-06-24,19.87,,,,,,,,,,,,,
2014-06-25,20.34,,,,,,,,,,,,,
2014-06-26,20.47,,,,,,,,,,,,,
2014-06-27,20.64,,,,,,,,,,,,,
2014-06-30,20.48,,,,,,,,,,,,,
2014-07-01,21.37,,,,,,,,,,,,,
2014-07-02,22.0,,,,,,,,,,,,,
2014-07-03,21.04,,,,,,,,,,,,,
2014-07-07,19.92,,,,,,,,,,,,,
2014-07-08,18.94,,,,,,,,,,,,,
2014-07-09,19.55,,,,,,,,,,,,,
2014-07-10,19.28,,,,,,,,,,,,,
2014-07-11,19.3,,,,,,,,,,,,,
2014-07-14,19.25,,,,,,,,,,,,,
2014-07-15,19.1,,,,,,,,,,,,,
2014-07-16,19.03,,,,,,,,,,,,,
2014-07-17,18.91,,,,,,,,,,,,,
2014-07-18,19.04,,,,,,,,,,,,,
2014-07-21,19.16,,,,,,,,,,,,,
2014-07-22,19.51,,,,,,,,,,,,,
2014-07-23,19.32,,,,,,,,,,,,,
2014-07-24,19.64,,,,,,,,,,,,,
2014-07-25,20.16,,,,,,,,,,,,,
2014-07-28,19.59,,,,,,,,,,,,,
2014-07-29,19.56,,,,,,,,,,,,,
2014-07-30,20.41,,,,,,,,,,,,,
2014-07-31,19.56,,,,,,,,,,,,,
2014-08-01,19.04,,,,,,,,,,,,,
2014-08-04,19.63,,,,,,,,,,,,,
2014-08-05,19.48,,,,,,,,,,,,,
2014-08-06,19.2,,,,,,,,,,,,,
2014-08-07,19.24,,,,,,,,,,,,,
2014-08-08,19.53,,,,,,,,,,,,,
2014-08-11,20.0,,,,,,,,,,,,,
2014-08-12,20.09,,,,,,,,,,,,,
2014-08-13,20.32,,,,,,,,,,,,,
2014-08-14,21.46,,,,,,,,,,,,,
2014-08-15,19.95,,,,,,,,,,,,,
2014-08-18,20.0,,,,,,,,,,,,,
2014-08-19,19.66,,,,,,,,,,,,,
2014-08-20,19.36,,,,,,,,,,,,,
2014-08-21,19.52,,,,,,,,,,,,,
2014-08-22,19.42,,,,,,,,,,,,,
2014-08-25,19.38,,,,,,,,,,,,,
2014-08-26,19.52,,,,,,,,,,,,,
2014-08-27,19.38,,,,,,,,,,,,,
2014-08-28,19.5,,,,,,,,,,,,,
2014-08-29,19.92,,,,,,,,,,,,,
2014-09-02,20.0,,,,,,,,,,,,,
2014-09-03,19.89,,,,,,,,,,,,,
2014-09-04,20.35,,,,,,,,,,,,,
2014-09-05,19.81,,,,,,,,,,,,,
2014-09-08,20.12,,,,,,,,,,,,,
2014-09-09,21.49,,,,,,,,,,,,,
2014-09-10,21.49,,,,,,,,,,,,,
2014-09-11,24.34,,,,,,,,,,,,,
2014-09-12,23.81,,,,,,,,,,,,,
2014-09-15,21.05,,,,,,,,,,,,,
2014-09-16,21.55,,,,,,,,,,,,,
2014-09-17,21.08,,,,,,,,,,,,,
2014-09-18,21.44,,,,,,,,,,,,,
2014-09-19,21.01,,,,,,,,,,,,,
2014-09-22,19.81,,,,,,,,,,,,,
2014-09-23,19.59,,,,,,,,,,,,,
2014-09-24,19.97,,,,,,,,,,,,,
