date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,5.5,,,,,,,,,,,,,
1999-11-02,6.313,,,,,,,,,,,,,
1999-11-03,7.125,,,,,,,,,,,,,
1999-11-04,7.313,,,,,,,,,,,,,
1999-11-05,7.125,,,,,,,,,,,,,
1999-11-08,6.25,,,,,,,,,,,,,
1999-11-09,5.875,,,,,,,,,,,,,
1999-11-10,6.25,,,,,,,,,,,,,
1999-11-11,6.313,,,,,,,,,,,,,
1999-11-12,6.625,,,,,,,,,,,,,
1999-11-15,6.25,,,,,,,,,,,,,
1999-11-16,6.125,,,,,,,,,,,,,
1999-11-17,5.938,,,,,,,,,,,,,
1999-11-18,5.75,,,,,,,,,,,,,
1999-11-19,5.563,,,,,,,,,,,,,
1999-11-22,5.438,,,,,,,,,,,,,
1999-11-23,5.875,,,,,,,,,,,,,
1999-11-24,7.0,,,,,,,,,,,,,
1999-11-26,7.0,,,,,,,,,,,,,
1999-11-29,6.75,,,,,,,,,,,,,
1999-11-30,6.688,,,,,,,,,,,,,
1999-12-01,6.25,,,,,,,,,,,,,
1999-12-02,5.813,,,,,,,,,,,,,
1999-12-03,5.0,,,,,,,,,,,,,
1999-12-06,5.125,,,,,,,,,,,,,
1999-12-07,5.188,,,,,,,,,,,,,
1999-12-08,5.0,,,,,,,,,,,,,
1999-12-09,5.5,,,,,,,,,,,,,
1999-12-10,5.375,,,,,,,,,,,,,
1999-12-13,5.5,,,,,,,,,,,,,
1999-12-14,5.188,,,,,,,,,,,,,
1999-12-15,5.438,,,,,,,,,,,,,
1999-12-16,5.75,,,,,,,,,,,,,
1999-12-17,6.125,,,,,,,,,,,,,
1999-12-20,6.5,,,,,,,,,,,,,
1999-12-21,6.5,,,,,,,,,,,,,
1999-12-22,6.438,,,,,,,,,,,,,
1999-12-23,6.75,,,,,,,,,,,,,
1999-12-27,6.688,,,,,,,,,,,,,
1999-12-28,6.438,,,,,,,,,,,,,
1999-12-29,6.5,,,,,,,,,,,,,
1999-12-30,6.625,,,,,,,,,,,,,
1999-12-31,6.438,,,,,,,,,,,,,
2000-01-03,6.62,,,,,,,,,,,,,
2000-01-04,6.375,,,,,,,,,,,,,
2000-01-05,6.375,,,,,,,,,,,,,
2000-01-06,6.469,,,,,,,,,,,,,
2000-01-07,6.5,,,,,,,,,,,,,
2000-01-10,6.375,,,,,,,,,,,,,
2000-01-11,6.375,,,,,,,,,,,,,
2000-01-12,6.25,,,,,,,,,,,,,
2000-01-13,6.188,,,,,,,,,,,,,
2000-01-14,6.813,,,,,,,,,,,,,
2000-01-18,6.75,,,,,,,,,,,,,
2000-01-19,6.625,,,,,,,,,,,,,
2000-01-20,6.438,,,,,,,,,,,,,
2000-01-21,6.25,,,,,,,,,,,,,
2000-01-24,6.188,,,,,,,,,,,,,
2000-01-25,6.25,,,,,,,,,,,,,
2000-01-26,6.25,,,,,,,,,,,,,
2000-01-27,6.0,,,,,,,,,,,,,
2000-01-28,5.5,,,,,,,,,,,,,
2000-01-31,5.688,,,,,,,,,,,,,
2000-02-01,5.688,,,,,,,,,,,,,
2000-02-02,5.75,,,,,,,,,,,,,
2000-02-03,5.875,,,,,,,,,,,,,
2000-02-04,6.063,,,,,,,,,,,,,
2000-02-07,5.75,,,,,,,,,,,,,
2000-02-08,5.938,,,,,,,,,,,,,
2000-02-09,5.5,,,,,,,,,,,,,
2000-02-10,5.625,,,,,,,,,,,,,
2000-02-11,5.5,,,,,,,,,,,,,
2000-02-14,5.75,,,,,,,,,,,,,
2000-02-15,5.813,,,,,,,,,,,,,
